
Spine Part Length Head
 ==================== 
Spine Part Length Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.104352,µm,Spine,Spine Part Length,5,4,1,100000002,610000002761,
0.0914062,µm,Spine,Spine Part Length,4,3,1,100000002,610000002762,
0.08125,µm,Spine,Spine Part Length,3,3,1,100000002,610000002763,
0.129884,µm,Spine,Spine Part Length,2,2,1,100000002,610000002764,
0.15251,µm,Spine,Spine Part Length,1,2,1,100000002,610000002765,
0.19348,µm,Spine,Spine Part Length,1,1,1,100000002,610000002766,
0.167578,µm,Spine,Spine Part Length,1,1,1,100000002,610000002767,
0.152654,µm,Spine,Spine Part Length,0,1,1,100000002,610000002768,
0.19479,µm,Spine,Spine Part Length,6,3,1,100000002,610000002771,
0.17147,µm,Spine,Spine Part Length,6,4,1,100000002,610000002772,
0.20062,µm,Spine,Spine Part Length,6,2,1,100000003,610000002775,
0.146219,µm,Spine,Spine Part Length,6,2,1,100000003,610000002776,
0.148422,µm,Spine,Spine Part Length,6,2,1,100000003,610000002777,
0.210022,µm,Spine,Spine Part Length,0,1,1,100000003,610000002783,
