
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.471405,,Segment,2,24,Image 1,6,1,100000001,510000000505,
4.49691,,Segment,2,22,Image 1,7,1,100000001,510000000507,
2.11891,,Segment,2,20,Image 1,8,1,100000001,510000000513,
11.8606,,Segment,2,19,Image 1,7,1,100000001,510000000526,
9.48498,,Segment,2,18,Image 1,7,1,100000001,510000000541,
9.57914,,Segment,2,20,Image 1,7,1,100000001,510000000546,
1.27975,,Segment,2,13,Image 1,6,1,100000001,510000000559,
1.46308,,Segment,2,12,Image 1,5,1,100000001,510000000579,
1,,Segment,2,11,Image 1,4,1,100000001,510000000588,
1.36788,,Segment,2,10,Image 1,4,1,100000001,510000000603,
0.950958,,Segment,2,9,Image 1,4,1,100000001,510000000620,
1.45376,,Segment,2,17,Image 1,5,1,100000001,510000000642,
3.65401,,Segment,2,14,Image 1,6,1,100000001,510000000661,
5.96518,,Segment,2,13,Image 1,5,1,100000001,510000000666,
1.56125,,Segment,2,12,Image 1,4,1,100000001,510000000673,
0.829156,,Segment,2,3,Image 1,2,1,100000002,510000000704,
1.46703,,Segment,2,2,Image 1,2,1,100000002,510000000765,
1.32288,,Segment,2,1,Image 1,1,1,100000002,510000000792,
14.5151,,Segment,2,0,Image 1,1,1,100000002,510000000800,
1.09545,,Segment,2,3,Image 1,3,1,100000002,510000000813,
1.85852,,Segment,2,8,Image 1,7,1,100000001,510000000826,
0.927025,,Segment,2,7,Image 1,6,1,100000001,510000000833,
1.15758,,Segment,2,5,Image 1,4,1,100000001,510000000853,
0.489898,,Segment,2,4,Image 1,3,1,100000001,510000000857,
1.50755,,Segment,2,3,Image 1,2,1,100000001,510000000909,
0.661717,,Segment,2,2,Image 1,1,1,100000001,510000000921,
0.471405,,Segment,2,1,Image 1,1,1,100000001,510000000923,
1.10554,,Segment,2,0,Image 1,1,1,100000001,510000000943,
0.816497,,Segment,2,8,Image 1,6,1,100000001,510000000945,
4.34045,,Segment,2,16,Image 1,5,1,100000001,510000000981,
3.47678,,Segment,2,15,Image 1,4,1,100000001,510000001009,
3.71155,,Segment,2,14,Image 1,4,1,100000001,510000001046,
1.64768,,Segment,2,16,Image 1,4,1,100000001,510000001061,
1.23075,,Segment,2,6,Image 1,4,1,100000001,510000001124,
12.7083,,Segment,2,13,Image 1,6,1,100000001,510000001139,
17.1136,,Segment,2,12,Image 1,5,1,100000001,510000001154,
1.15757,,Segment,2,11,Image 1,5,1,100000001,510000001206,
5,,Segment,2,14,Image 1,6,1,100000001,510000001211,
16.8119,,Segment,2,13,Image 1,5,1,100000001,510000001223,
0.816497,,Segment,2,14,Image 1,5,1,100000001,510000001225,
0.832993,,Segment,2,6,Image 1,4,1,100000001,510000001231,
1.24722,,Segment,2,7,Image 1,5,1,100000001,510000001233,
2.03961,,Segment,2,5,Image 1,2,1,100000001,510000001237,
0.829156,,Segment,2,5,Image 1,3,1,100000001,510000001241,
23.1233,,Segment,2,5,Image 1,3,1,100000001,510000001244,
2.00691,,Segment,2,15,Image 1,5,1,100000001,510000001260,
1.27322,,Segment,2,12,Image 1,6,1,100000001,510000001275,
1.06426,,Segment,2,14,Image 1,6,1,100000001,510000001318,
1.86529,,Segment,2,13,Image 1,5,1,100000001,510000001330,
0,,Segment,2,7,Image 1,6,1,100000000,510000001348,
0.655555,,Segment,2,6,Image 1,5,1,100000000,510000001358,
4.73333,,Segment,2,5,Image 1,5,1,100000000,510000001376,
4.52462,,Segment,2,4,Image 1,4,1,100000000,510000001381,
5.35413,,Segment,2,3,Image 1,3,1,100000000,510000001383,
32.93,,Segment,2,2,Image 1,3,1,100000000,510000001424,
39.8214,,Segment,2,1,Image 1,2,1,100000000,510000001437,
0.829156,,Segment,2,0,Image 1,1,1,100000000,510000001445,
0.5,,Segment,2,6,Image 1,6,1,100000000,510000001474,
10.0399,,Segment,2,5,Image 1,4,1,100000001,510000001493,
1.81708,,Segment,2,2,Image 1,3,1,100000001,510000001531,
3.31662,,Segment,2,1,Image 1,2,1,100000001,510000001538,
2.71293,,Segment,2,0,Image 1,1,1,100000001,510000001549,
2.78277,,Segment,2,12,Image 1,2,1,100000003,510000001570,
2.57682,,Segment,2,11,Image 1,2,1,100000003,510000001579,
5.17687,,Segment,2,10,Image 1,1,1,100000003,510000001583,
4.78166,,Segment,2,9,Image 1,1,1,100000003,510000001601,
1.17803,,Segment,2,8,Image 1,1,1,100000003,510000001614,
1.21288,,Segment,2,7,Image 1,1,1,100000003,510000001624,
0.831479,,Segment,2,6,Image 1,1,1,100000003,510000001632,
28.5543,,Segment,2,5,Image 1,1,1,100000003,510000001638,
2.76002,,Segment,2,4,Image 1,1,1,100000003,510000001656,
