
Spine Center Intensity StdDev Ch=2 Img=1
 ==================== 
Spine Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
11.5,,Spine,2,6,Image 1,3,1,100000002,610000001990,
4.5,,Spine,2,4,Image 1,3,1,100000002,610000001991,
10,,Spine,2,4,Image 1,3,1,100000002,610000001992,
1,,Spine,2,5,Image 1,4,1,100000002,610000001993,
7.5,,Spine,2,2,Image 1,2,1,100000002,610000001994,
25,,Spine,2,0,Image 1,1,1,100000002,610000001995,
46,,Spine,2,3,Image 1,1,1,100000002,610000001999,
49,,Spine,2,3,Image 1,1,1,100000002,610000002000,
3.5,,Spine,2,3,Image 1,2,1,100000002,610000002001,
6,,Spine,2,2,Image 1,1,1,100000002,610000002002,
