
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,1/10µm,Segment,15,5,1,100000000,510000005348,
0,1/10µm,Segment,14,4,1,100000000,510000005352,
2.8259,1/10µm,Segment,13,4,1,100000000,510000005381,
0,1/10µm,Segment,16,5,1,100000000,510000005389,
0,1/10µm,Segment,15,4,1,100000000,510000005397,
0,1/10µm,Segment,16,4,1,100000000,510000005405,
0,1/10µm,Segment,14,5,1,100000000,510000005413,
0,1/10µm,Segment,11,4,1,100000000,510000005420,
0,1/10µm,Segment,9,3,1,100000000,510000005439,
0,1/10µm,Segment,8,3,1,100000000,510000005472,
0,1/10µm,Segment,11,3,1,100000000,510000005477,
0,1/10µm,Segment,10,4,1,100000000,510000005483,
2.69177,1/10µm,Segment,9,4,1,100000000,510000005497,
4.96421,1/10µm,Segment,1,2,1,100000000,510000005527,
5.66135,1/10µm,Segment,0,1,1,100000000,510000005553,
0,1/10µm,Segment,6,3,1,100000000,510000005593,
5.78586,1/10µm,Segment,3,2,1,100000001,510000005597,
1.67949,1/10µm,Segment,1,1,1,100000000,510000005652,
3.55033,1/10µm,Segment,0,1,1,100000000,510000005666,
0,1/10µm,Segment,2,2,1,100000000,510000005674,
0,1/10µm,Segment,3,3,1,100000000,510000005693,
2.66021,1/10µm,Segment,1,2,1,100000000,510000005709,
2.7166,1/10µm,Segment,1,1,1,100000002,510000005725,
0,1/10µm,Segment,0,1,1,100000002,510000005740,
0,1/10µm,Segment,1,1,1,100000000,510000005742,
0,1/10µm,Segment,11,5,1,100000000,510000005759,
0,1/10µm,Segment,10,4,1,100000000,510000005778,
0,1/10µm,Segment,1,1,1,100000001,510000005784,
0,1/10µm,Segment,1,2,1,100000002,510000005787,
12.3493,1/10µm,Segment,6,1,1,100000000,510000005813,
0,1/10µm,Segment,5,1,1,100000000,510000005831,
0,1/10µm,Segment,6,2,1,100000000,510000005840,
0,1/10µm,Segment,3,2,1,100000000,510000005845,
21.7728,1/10µm,Segment,1,2,1,100000000,510000005851,
0,1/10µm,Segment,12,3,1,100000000,510000005857,
0,1/10µm,Segment,11,4,1,100000000,510000005880,
0,1/10µm,Segment,11,5,1,100000000,510000005896,
2.24949,1/10µm,Segment,3,2,1,100000000,510000005916,
0,1/10µm,Segment,2,1,1,100000000,510000005922,
0,1/10µm,Segment,1,1,1,100000000,510000005926,
0,1/10µm,Segment,2,2,1,100000000,510000005936,
0,1/10µm,Segment,2,1,1,100000002,510000005943,
0,1/10µm,Segment,3,1,1,100000000,510000005947,
3.82065,1/10µm,Segment,2,2,1,100000002,510000005956,
0,1/10µm,Segment,3,2,1,100000000,510000005972,
9.35892,1/10µm,Segment,2,1,1,100000000,510000005978,
0,1/10µm,Segment,8,4,1,100000000,510000005980,
0,1/10µm,Segment,7,4,1,100000000,510000005982,
0,1/10µm,Segment,7,2,1,100000000,510000005984,
0,1/10µm,Segment,5,3,1,100000000,510000005995,
2.21931,1/10µm,Segment,1,1,1,100000003,510000006013,
0,1/10µm,Segment,4,2,1,100000000,510000006016,
3.15457,1/10µm,Segment,3,1,1,100000000,510000006027,
10.7169,1/10µm,Segment,4,1,1,100000000,510000006029,
2.69675,1/10µm,Segment,1,1,1,100000003,510000006079,
0,1/10µm,Segment,0,1,1,100000003,510000006106,
2.1934,1/10µm,Segment,3,1,1,100000003,510000006160,
0,1/10µm,Segment,2,1,1,100000003,510000006180,
0,1/10µm,Segment,1,1,1,100000003,510000006192,
0,1/10µm,Segment,0,1,1,100000003,510000006201,
2.13498,1/10µm,Segment,0,1,1,100000002,510000006229,
1.31014,1/10µm,Segment,3,2,1,100000003,510000006258,
