
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
35.0625,,Segment,2,15,Image 1,2,1,100000000,510000002481,
79.5,,Segment,2,14,Image 1,2,1,100000000,510000002496,
65.0625,,Segment,2,13,Image 1,3,1,100000002,510000002500,
30.5625,,Segment,2,13,Image 1,3,1,100000002,510000002503,
56.0312,,Segment,2,25,Image 1,2,1,100000000,510000002505,
21.0625,,Segment,2,10,Image 1,6,1,100000001,510000002509,
143.516,,Segment,2,18,Image 1,5,1,100000000,510000002512,
70.0625,,Segment,2,14,Image 1,4,1,100000002,510000002523,
51.0625,,Segment,2,14,Image 1,3,1,100000002,510000002531,
18,,Segment,2,20,Image 1,2,1,100000000,510000002533,
24.0625,,Segment,2,19,Image 1,2,1,100000000,510000002545,
41.625,,Segment,2,21,Image 1,3,1,100000000,510000002558,
81.0625,,Segment,2,24,Image 1,3,1,100000000,510000002564,
60.5625,,Segment,2,9,Image 1,4,1,100000001,510000002569,
52.0625,,Segment,2,15,Image 1,7,1,100000001,510000002577,
102.516,,Segment,2,14,Image 1,6,1,100000001,510000002580,
34.0625,,Segment,2,15,Image 1,6,1,100000001,510000002586,
60.0625,,Segment,2,9,Image 1,3,1,100000003,510000002609,
50.0625,,Segment,2,8,Image 1,3,1,100000003,510000002643,
88.5625,,Segment,2,7,Image 1,3,1,100000003,510000002654,
96.5625,,Segment,2,6,Image 1,3,1,100000003,510000002669,
97.125,,Segment,2,4,Image 1,2,1,100000003,510000002688,
90.0039,,Segment,2,3,Image 1,2,1,100000003,510000002690,
95.0625,,Segment,2,2,Image 1,2,1,100000003,510000002738,
116.031,,Segment,2,1,Image 1,2,1,100000003,510000002750,
64.0625,,Segment,2,19,Image 1,4,1,100000000,510000002752,
31.0312,,Segment,2,12,Image 1,7,1,100000001,510000002756,
51.0625,,Segment,2,11,Image 1,6,1,100000001,510000002767,
78.0625,,Segment,2,15,Image 1,2,1,100000002,510000002774,
11.0625,,Segment,2,8,Image 1,5,1,100000001,510000002778,
32.5312,,Segment,2,12,Image 1,6,1,100000001,510000002781,
53.0312,,Segment,2,23,Image 1,3,1,100000000,510000002785,
12.125,,Segment,2,5,Image 1,4,1,100000000,510000002788,
68.0625,,Segment,2,14,Image 1,6,1,100000001,510000002792,
22.5312,,Segment,2,13,Image 1,6,1,100000001,510000002795,
100.062,,Segment,2,12,Image 1,5,1,100000001,510000002797,
43.125,,Segment,2,9,Image 1,4,1,100000003,510000002802,
31.5156,,Segment,2,13,Image 1,5,1,100000001,510000002807,
26.5625,,Segment,2,11,Image 1,4,1,100000002,510000002816,
58.0625,,Segment,2,10,Image 1,4,1,100000002,510000002819,
66.0312,,Segment,2,9,Image 1,4,1,100000002,510000002823,
63.0156,,Segment,2,8,Image 1,3,1,100000002,510000002827,
50.0625,,Segment,2,7,Image 1,3,1,100000002,510000002875,
80.0625,,Segment,2,5,Image 1,2,1,100000002,510000002884,
84.0312,,Segment,2,4,Image 1,2,1,100000002,510000002888,
114.531,,Segment,2,3,Image 1,2,1,100000002,510000002893,
95.5625,,Segment,2,2,Image 1,2,1,100000002,510000002908,
54.0625,,Segment,2,20,Image 1,1,1,100000000,510000002918,
38.0312,,Segment,2,13,Image 1,5,1,100000002,510000002922,
43.5312,,Segment,2,12,Image 1,4,1,100000002,510000002925,
77.5312,,Segment,2,11,Image 1,3,1,100000002,510000002930,
77.0625,,Segment,2,10,Image 1,2,1,100000002,510000002940,
65.0312,,Segment,2,9,Image 1,2,1,100000002,510000002945,
31.5312,,Segment,2,8,Image 1,2,1,100000002,510000002952,
55.0625,,Segment,2,7,Image 1,2,1,100000002,510000002958,
94.0625,,Segment,2,6,Image 1,2,1,100000002,510000002980,
57.625,,Segment,2,4,Image 1,2,1,100000002,510000002998,
38.0625,,Segment,2,3,Image 1,2,1,100000002,510000003010,
108.062,,Segment,2,2,Image 1,2,1,100000002,510000003021,
95.5625,,Segment,2,1,Image 1,2,1,100000002,510000003042,
106.062,,Segment,2,0,Image 1,1,1,100000002,510000003053,
41.0312,,Segment,2,9,Image 1,5,1,100000003,510000003056,
59.125,,Segment,2,8,Image 1,4,1,100000003,510000003098,
67.5312,,Segment,2,13,Image 1,7,1,100000001,510000003105,
74.5625,,Segment,2,6,Image 1,3,1,100000002,510000003113,
33.0078,,Segment,2,13,Image 1,4,1,100000002,510000003115,
28.0625,,Segment,2,8,Image 1,5,1,100000002,510000003135,
44.125,,Segment,2,7,Image 1,5,1,100000002,510000003145,
29.0625,,Segment,2,10,Image 1,4,1,100000002,510000003153,
62.5625,,Segment,2,9,Image 1,3,1,100000002,510000003160,
90.0312,,Segment,2,9,Image 1,4,1,100000003,510000003163,
29.0312,,Segment,2,10,Image 1,5,1,100000002,510000003167,
27.0312,,Segment,2,11,Image 1,5,1,100000002,510000003169,
29.0625,,Segment,2,12,Image 1,3,1,100000002,510000003171,
51.125,,Segment,2,9,Image 1,3,1,100000002,510000003185,
130.062,,Segment,2,7,Image 1,2,1,100000002,510000003192,
83.0625,,Segment,2,6,Image 1,2,1,100000002,510000003202,
58.5625,,Segment,2,8,Image 1,7,1,100000003,510000003211,
69.0625,,Segment,2,7,Image 1,6,1,100000003,510000003225,
72.0625,,Segment,2,6,Image 1,6,1,100000003,510000003238,
38.0625,,Segment,2,5,Image 1,5,1,100000003,510000003249,
51.0625,,Segment,2,3,Image 1,4,1,100000003,510000003259,
96.0625,,Segment,2,2,Image 1,3,1,100000003,510000003303,
79.5625,,Segment,2,6,Image 1,3,1,100000001,510000003308,
51.125,,Segment,2,5,Image 1,3,1,100000001,510000003325,
54.0625,,Segment,2,4,Image 1,3,1,100000001,510000003359,
47.0625,,Segment,2,3,Image 1,3,1,100000001,510000003380,
37.0312,,Segment,2,6,Image 1,4,1,100000001,510000003382,
41.5312,,Segment,2,13,Image 1,4,1,100000002,510000003393,
44.0625,,Segment,2,12,Image 1,4,1,100000002,510000003407,
79.125,,Segment,2,11,Image 1,3,1,100000002,510000003420,
73.0625,,Segment,2,10,Image 1,2,1,100000002,510000003432,
56.0625,,Segment,2,9,Image 1,2,1,100000002,510000003435,
94.125,,Segment,2,8,Image 1,1,1,100000002,510000003453,
90.0625,,Segment,2,7,Image 1,1,1,100000002,510000003459,
53.0625,,Segment,2,6,Image 1,1,1,100000002,510000003468,
71.0625,,Segment,2,5,Image 1,1,1,100000002,510000003474,
112.031,,Segment,2,4,Image 1,1,1,100000002,510000003476,
76.0312,,Segment,2,3,Image 1,1,1,100000002,510000003478,
61.0312,,Segment,2,2,Image 1,1,1,100000002,510000003482,
