
Spine Number of Voxel Ch=2 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
65,,Spine,2,8,Image 1,4,1,100000003,610000029977,
33,,Spine,2,10,Image 1,6,1,100000003,610000029978,
115,,Spine,2,10,Image 1,5,1,100000003,610000029979,
137,,Spine,2,11,Image 1,5,1,100000003,610000029980,
124,,Spine,2,11,Image 1,5,1,100000003,610000029981,
122,,Spine,2,7,Image 1,4,1,100000003,610000029982,
89,,Spine,2,17,Image 1,3,1,100000003,610000029983,
63,,Spine,2,16,Image 1,4,1,100000003,610000029984,
72,,Spine,2,11,Image 1,2,1,100000003,610000029985,
215,,Spine,2,11,Image 1,2,1,100000003,610000029986,
166,,Spine,2,11,Image 1,2,1,100000003,610000029987,
225,,Spine,2,10,Image 1,2,1,100000003,610000029988,
232,,Spine,2,10,Image 1,2,1,100000003,610000029989,
313,,Spine,2,11,Image 1,4,1,100000003,610000029990,
154,,Spine,2,11,Image 1,4,1,100000003,610000029991,
173,,Spine,2,11,Image 1,3,1,100000003,610000029992,
242,,Spine,2,10,Image 1,3,1,100000003,610000029993,
190,,Spine,2,10,Image 1,3,1,100000003,610000029994,
223,,Spine,2,10,Image 1,3,1,100000003,610000029995,
261,,Spine,2,10,Image 1,3,1,100000003,610000029996,
727,,Spine,2,8,Image 1,2,1,100000003,610000029997,
261,,Spine,2,7,Image 1,2,1,100000003,610000029998,
75,,Spine,2,7,Image 1,3,1,100000003,610000029999,
190,,Spine,2,7,Image 1,4,1,100000003,610000030000,
37,,Spine,2,9,Image 1,5,1,100000003,610000030001,
107,,Spine,2,11,Image 1,4,1,100000003,610000030002,
96,,Spine,2,10,Image 1,4,1,100000003,610000030003,
109,,Spine,2,10,Image 1,5,1,100000003,610000030004,
54,,Spine,2,6,Image 1,4,1,100000003,610000030005,
131,,Spine,2,5,Image 1,3,1,100000003,610000030006,
174,,Spine,2,5,Image 1,3,1,100000003,610000030007,
403,,Spine,2,3,Image 1,2,1,100000003,610000030008,
91,,Spine,2,4,Image 1,4,1,100000003,610000030009,
99,,Spine,2,4,Image 1,4,1,100000003,610000030010,
143,,Spine,2,4,Image 1,4,1,100000003,610000030011,
73,,Spine,2,4,Image 1,4,1,100000003,610000030012,
47,,Spine,2,4,Image 1,4,1,100000003,610000030013,
134,,Spine,2,4,Image 1,4,1,100000003,610000030014,
116,,Spine,2,6,Image 1,3,1,100000003,610000030015,
192,,Spine,2,3,Image 1,3,1,100000003,610000030016,
279,,Spine,2,2,Image 1,2,1,100000003,610000030017,
276,,Spine,2,1,Image 1,2,1,100000003,610000030018,
143,,Spine,2,1,Image 1,2,1,100000003,610000030019,
145,,Spine,2,2,Image 1,1,1,100000003,610000030020,
61,,Spine,2,7,Image 1,7,1,100000004,610000030028,
73,,Spine,2,6,Image 1,5,1,100000004,610000030029,
27,,Spine,2,13,Image 1,7,1,100000004,610000030030,
57,,Spine,2,13,Image 1,7,1,100000004,610000030031,
77,,Spine,2,12,Image 1,7,1,100000004,610000030032,
96,,Spine,2,12,Image 1,7,1,100000004,610000030033,
115,,Spine,2,12,Image 1,8,1,100000004,610000030034,
74,,Spine,2,11,Image 1,7,1,100000004,610000030035,
64,,Spine,2,11,Image 1,7,1,100000004,610000030036,
39,,Spine,2,10,Image 1,7,1,100000004,610000030037,
108,,Spine,2,6,Image 1,5,1,100000004,610000030038,
98,,Spine,2,4,Image 1,4,1,100000004,610000030039,
58,,Spine,2,12,Image 1,4,1,100000004,610000030040,
72,,Spine,2,14,Image 1,4,1,100000004,610000030041,
55,,Spine,2,14,Image 1,3,1,100000004,610000030042,
61,,Spine,2,14,Image 1,3,1,100000004,610000030043,
83,,Spine,2,13,Image 1,3,1,100000004,610000030044,
45,,Spine,2,11,Image 1,3,1,100000004,610000030045,
56,,Spine,2,10,Image 1,2,1,100000004,610000030046,
72,,Spine,2,9,Image 1,2,1,100000004,610000030047,
114,,Spine,2,5,Image 1,2,1,100000004,610000030048,
101,,Spine,2,5,Image 1,2,1,100000004,610000030049,
100,,Spine,2,5,Image 1,2,1,100000004,610000030050,
