
Spine Center Intensity Mean Ch=1 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.66667,,Spine,1,1,Image 1,2,1,100000003,610000029802,
1,,Spine,1,1,Image 1,2,1,100000003,610000029804,
1,,Spine,1,0,Image 1,1,1,100000005,610000029810,
3,,Spine,1,0,Image 1,1,1,100000003,610000029813,
7,,Spine,1,2,Image 1,3,1,100000003,610000029816,
0.5,,Spine,1,0,Image 1,1,1,100000003,610000029819,
0.333333,,Spine,1,3,Image 1,2,1,100000004,610000029824,
2,,Spine,1,13,Image 1,3,1,100000004,610000029828,
18,,Spine,1,0,Image 1,1,1,100000005,610000029833,
61.8,,Spine,1,11,Image 1,4,1,100000003,610000029837,
2.33333,,Spine,1,10,Image 1,6,1,100000003,610000029842,
1,,Spine,1,0,Image 1,1,1,100000005,610000029846,
0.666667,,Spine,1,0,Image 1,1,1,100000004,610000029852,
0.666667,,Spine,1,11,Image 1,4,1,100000003,610000029864,
4.5,,Spine,1,0,Image 1,1,1,100000003,610000029871,
0,,Spine,1,0,Image 1,1,1,100000005,610000029878,
1.33333,,Spine,1,4,Image 1,4,1,100000003,610000029888,
54,,Spine,1,7,Image 1,2,1,100000004,610000029891,
0.666667,,Spine,1,2,Image 1,2,1,100000003,610000029898,
2.33333,,Spine,1,6,Image 1,3,1,100000003,610000029900,
1.33333,,Spine,1,10,Image 1,5,1,100000003,610000029907,
3.5,,Spine,1,0,Image 1,1,1,100000003,610000029935,
3.5,,Spine,1,12,Image 1,6,1,100000003,610000029948,
1,,Spine,1,11,Image 1,6,1,100000003,610000029949,
10,,Spine,1,11,Image 1,7,1,100000003,610000029950,
3.5,,Spine,1,10,Image 1,6,1,100000003,610000029951,
15.5,,Spine,1,10,Image 1,6,1,100000003,610000029952,
10,,Spine,1,10,Image 1,6,1,100000003,610000029953,
5,,Spine,1,10,Image 1,6,1,100000003,610000029954,
1,,Spine,1,8,Image 1,5,1,100000003,610000029955,
2.5,,Spine,1,4,Image 1,3,1,100000003,610000029956,
0,,Spine,1,3,Image 1,3,1,100000003,610000029957,
1.5,,Spine,1,3,Image 1,4,1,100000003,610000029958,
3,,Spine,1,3,Image 1,4,1,100000003,610000029959,
11,,Spine,1,26,Image 1,10,1,100000003,610000029960,
8,,Spine,1,26,Image 1,10,1,100000003,610000029961,
2.5,,Spine,1,21,Image 1,10,1,100000003,610000029962,
0,,Spine,1,19,Image 1,10,1,100000003,610000029963,
1.5,,Spine,1,18,Image 1,8,1,100000003,610000029964,
0,,Spine,1,17,Image 1,9,1,100000003,610000029965,
0.5,,Spine,1,18,Image 1,7,1,100000003,610000029966,
2.5,,Spine,1,18,Image 1,7,1,100000003,610000029967,
13,,Spine,1,15,Image 1,8,1,100000003,610000029968,
0,,Spine,1,14,Image 1,7,1,100000003,610000029969,
1,,Spine,1,13,Image 1,8,1,100000003,610000029970,
1.5,,Spine,1,13,Image 1,8,1,100000003,610000029971,
3.5,,Spine,1,13,Image 1,8,1,100000003,610000029972,
33,,Spine,1,12,Image 1,7,1,100000003,610000029973,
0,,Spine,1,14,Image 1,7,1,100000003,610000029974,
0.5,,Spine,1,14,Image 1,7,1,100000003,610000029975,
17,,Spine,1,10,Image 1,6,1,100000003,610000029976,
12.5,,Spine,1,8,Image 1,4,1,100000003,610000029977,
0.5,,Spine,1,10,Image 1,6,1,100000003,610000029978,
1.5,,Spine,1,10,Image 1,5,1,100000003,610000029979,
2.5,,Spine,1,11,Image 1,5,1,100000003,610000029980,
1.5,,Spine,1,11,Image 1,5,1,100000003,610000029981,
2,,Spine,1,7,Image 1,4,1,100000003,610000029982,
5,,Spine,1,17,Image 1,3,1,100000003,610000029983,
0,,Spine,1,16,Image 1,4,1,100000003,610000029984,
2.5,,Spine,1,11,Image 1,2,1,100000003,610000029985,
1.5,,Spine,1,11,Image 1,2,1,100000003,610000029986,
1,,Spine,1,11,Image 1,2,1,100000003,610000029987,
0.5,,Spine,1,10,Image 1,2,1,100000003,610000029988,
2.5,,Spine,1,10,Image 1,2,1,100000003,610000029989,
2,,Spine,1,11,Image 1,4,1,100000003,610000029990,
6.5,,Spine,1,11,Image 1,4,1,100000003,610000029991,
5,,Spine,1,11,Image 1,3,1,100000003,610000029992,
0,,Spine,1,10,Image 1,3,1,100000003,610000029993,
0,,Spine,1,10,Image 1,3,1,100000003,610000029994,
1,,Spine,1,10,Image 1,3,1,100000003,610000029995,
1.5,,Spine,1,10,Image 1,3,1,100000003,610000029996,
2.5,,Spine,1,8,Image 1,2,1,100000003,610000029997,
2.5,,Spine,1,7,Image 1,2,1,100000003,610000029998,
2,,Spine,1,7,Image 1,3,1,100000003,610000029999,
0.5,,Spine,1,7,Image 1,4,1,100000003,610000030000,
0.5,,Spine,1,9,Image 1,5,1,100000003,610000030001,
0,,Spine,1,11,Image 1,4,1,100000003,610000030002,
1.5,,Spine,1,10,Image 1,4,1,100000003,610000030003,
1,,Spine,1,10,Image 1,5,1,100000003,610000030004,
