
Spine Center Intensity Mean Ch=5 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
78,,Spine,5,5,Image 1,2,1,100000000,610000008664,
75,,Spine,5,4,Image 1,2,1,100000000,610000008665,
67.5,,Spine,5,4,Image 1,2,1,100000000,610000008666,
71,,Spine,5,2,Image 1,2,1,100000000,610000008667,
32.5,,Spine,5,3,Image 1,2,1,100000000,610000008668,
90.5,,Spine,5,3,Image 1,1,1,100000000,610000008669,
96,,Spine,5,1,Image 1,1,1,100000000,610000008670,
101.5,,Spine,5,1,Image 1,1,1,100000000,610000008671,
48.5,,Spine,5,0,Image 1,1,1,100000000,610000008672,
76.5,,Spine,5,0,Image 1,1,1,100000000,610000008673,
76,,Spine,5,0,Image 1,1,1,100000000,610000008674,
64,,Spine,5,3,Image 1,2,1,100000000,610000008677,
37,,Spine,5,3,Image 1,2,1,100000000,610000008678,
104.5,,Spine,5,0,Image 1,1,1,100000000,610000008679,
66,,Spine,5,3,Image 1,2,1,100000001,610000008680,
76.5,,Spine,5,6,Image 1,5,1,100000001,610000008681,
42,,Spine,5,5,Image 1,5,1,100000001,610000008682,
48,,Spine,5,6,Image 1,3,1,100000001,610000008683,
29.5,,Spine,5,6,Image 1,2,1,100000001,610000008684,
66,,Spine,5,7,Image 1,3,1,100000001,610000008685,
32,,Spine,5,9,Image 1,3,1,100000001,610000008686,
94,,Spine,5,9,Image 1,2,1,100000001,610000008687,
50.5,,Spine,5,9,Image 1,2,1,100000001,610000008688,
68.5,,Spine,5,8,Image 1,2,1,100000001,610000008689,
30,,Spine,5,8,Image 1,2,1,100000001,610000008690,
72,,Spine,5,6,Image 1,2,1,100000001,610000008691,
48,,Spine,5,6,Image 1,1,1,100000001,610000008692,
41.5,,Spine,5,5,Image 1,5,1,100000001,610000008693,
81.5,,Spine,5,3,Image 1,2,1,100000001,610000008694,
44.5,,Spine,5,2,Image 1,3,1,100000001,610000008695,
125.5,,Spine,5,0,Image 1,1,1,100000001,610000008696,
86,,Spine,5,4,Image 1,3,1,100000001,610000008703,
82.5,,Spine,5,4,Image 1,3,1,100000001,610000008704,
84.5,,Spine,5,2,Image 1,2,1,100000001,610000008705,
64,,Spine,5,9,Image 1,3,1,100000001,610000008706,
48.5,,Spine,5,9,Image 1,3,1,100000001,610000008707,
68.5,,Spine,5,8,Image 1,1,1,100000001,610000008708,
32,,Spine,5,8,Image 1,1,1,100000001,610000008709,
73,,Spine,5,6,Image 1,1,1,100000001,610000008710,
48,,Spine,5,12,Image 1,5,1,100000001,610000008711,
54.5,,Spine,5,13,Image 1,6,1,100000001,610000008712,
68,,Spine,5,8,Image 1,3,1,100000001,610000008713,
68,,Spine,5,8,Image 1,3,1,100000001,610000008714,
86.5,,Spine,5,0,Image 1,1,1,100000001,610000008715,
48.5,,Spine,5,5,Image 1,2,1,100000002,610000008719,
30.5,,Spine,5,3,Image 1,2,1,100000002,610000008720,
8.5,,Spine,5,2,Image 1,1,1,100000002,610000008721,
42.5,,Spine,5,1,Image 1,2,1,100000002,610000008722,
59.5,,Spine,5,0,Image 1,1,1,100000002,610000008723,
51,,Spine,5,2,Image 1,2,1,100000002,610000008724,
67.5,,Spine,5,2,Image 1,2,1,100000002,610000008725,
58,,Spine,5,0,Image 1,1,1,100000002,610000008726,
61.5,,Spine,5,0,Image 1,1,1,100000002,610000008727,
103,,Spine,5,2,Image 1,1,1,100000002,610000008729,
84,,Spine,5,2,Image 1,1,1,100000002,610000008730,
38,,Spine,5,0,Image 1,1,1,100000002,610000008731,
47.5,,Spine,5,2,Image 1,3,1,100000002,610000008732,
46,,Spine,5,1,Image 1,2,1,100000002,610000008733,
44.5,,Spine,5,3,Image 1,2,1,100000002,610000008734,
44.5,,Spine,5,3,Image 1,2,1,100000002,610000008735,
67.5,,Spine,5,1,Image 1,1,1,100000002,610000008736,
67,,Spine,5,5,Image 1,2,1,100000002,610000008737,
36,,Spine,5,2,Image 1,1,1,100000002,610000008738,
66,,Spine,5,1,Image 1,1,1,100000002,610000008739,
86.5,,Spine,5,8,Image 1,3,1,100000003,610000008740,
54.5,,Spine,5,14,Image 1,3,1,100000003,610000008741,
74,,Spine,5,10,Image 1,2,1,100000003,610000008742,
75.5,,Spine,5,10,Image 1,2,1,100000003,610000008743,
101,,Spine,5,9,Image 1,2,1,100000003,610000008744,
35,,Spine,5,10,Image 1,2,1,100000003,610000008745,
10,,Spine,5,9,Image 1,3,1,100000003,610000008746,
80,,Spine,5,6,Image 1,1,1,100000003,610000008747,
72,,Spine,5,6,Image 1,1,1,100000003,610000008748,
97.5,,Spine,5,10,Image 1,4,1,100000003,610000008749,
