
Segment Center Intensity Median Ch=4 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
13.125,,Segment,4,14,Image 1,6,1,100000002,510000002106,
58.125,,Segment,4,13,Image 1,6,1,100000002,510000002120,
42.625,,Segment,4,12,Image 1,5,1,100000002,510000002123,
47.0625,,Segment,4,12,Image 1,7,1,100000002,510000002126,
51.125,,Segment,4,10,Image 1,6,1,100000002,510000002131,
124.031,,Segment,4,11,Image 1,5,1,100000002,510000002133,
93.0625,,Segment,4,11,Image 1,6,1,100000002,510000002137,
87.625,,Segment,4,12,Image 1,6,1,100000002,510000002140,
134.008,,Segment,4,8,Image 1,3,1,100000002,510000002143,
194.008,,Segment,4,7,Image 1,2,1,100000002,510000002154,
23.125,,Segment,4,5,Image 1,1,1,100000002,510000002158,
0.125,,Segment,4,6,Image 1,3,1,100000002,510000002160,
155.062,,Segment,4,4,Image 1,2,1,100000002,510000002162,
9.03125,,Segment,4,3,Image 1,3,1,100000001,510000002171,
44.0625,,Segment,4,2,Image 1,2,1,100000001,510000002180,
124.562,,Segment,4,1,Image 1,1,1,100000001,510000002185,
45.125,,Segment,4,0,Image 1,1,1,100000001,510000002196,
10.5156,,Segment,4,3,Image 1,2,1,100000001,510000002213,
92.125,,Segment,4,2,Image 1,2,1,100000001,510000002253,
80.5625,,Segment,4,1,Image 1,2,1,100000001,510000002272,
28.5312,,Segment,4,3,Image 1,4,1,100000001,510000002276,
43.0625,,Segment,4,2,Image 1,3,1,100000001,510000002283,
61.625,,Segment,4,3,Image 1,2,1,100000001,510000002309,
20.5312,,Segment,4,3,Image 1,3,1,100000001,510000002314,
24.0312,,Segment,4,2,Image 1,1,1,100000001,510000002316,
129.062,,Segment,4,3,Image 1,2,1,100000002,510000002326,
173.531,,Segment,4,2,Image 1,2,1,100000002,510000002335,
40.0625,,Segment,4,1,Image 1,2,1,100000002,510000002339,
40.0625,,Segment,4,10,Image 1,3,1,100000001,510000002351,
28.0625,,Segment,4,9,Image 1,2,1,100000001,510000002360,
28.5312,,Segment,4,8,Image 1,2,1,100000001,510000002363,
47.0625,,Segment,4,7,Image 1,2,1,100000001,510000002373,
68.0625,,Segment,4,6,Image 1,2,1,100000001,510000002384,
88.5625,,Segment,4,5,Image 1,2,1,100000001,510000002405,
84.0625,,Segment,4,4,Image 1,2,1,100000001,510000002410,
67.125,,Segment,4,3,Image 1,2,1,100000001,510000002450,
84.5625,,Segment,4,1,Image 1,1,1,100000001,510000002462,
105.062,,Segment,4,0,Image 1,1,1,100000001,510000002562,
47.5625,,Segment,4,11,Image 1,3,1,100000001,510000002590,
37.5625,,Segment,4,11,Image 1,2,1,100000001,510000002594,
22.0156,,Segment,4,9,Image 1,3,1,100000001,510000002596,
17.0625,,Segment,4,8,Image 1,5,1,100000001,510000002603,
55.625,,Segment,4,6,Image 1,3,1,100000001,510000002617,
65.0625,,Segment,4,5,Image 1,3,1,100000001,510000002647,
64.0312,,Segment,4,8,Image 1,3,1,100000001,510000002652,
35.0625,,Segment,4,9,Image 1,4,1,100000001,510000002658,
112.031,,Segment,4,8,Image 1,3,1,100000001,510000002663,
94.0312,,Segment,4,7,Image 1,3,1,100000001,510000002674,
82.0625,,Segment,4,9,Image 1,3,1,100000001,510000002689,
39.0625,,Segment,4,8,Image 1,4,1,100000001,510000002693,
32.5625,,Segment,4,8,Image 1,4,1,100000001,510000002696,
16.125,,Segment,4,7,Image 1,3,1,100000001,510000002698,
31.0625,,Segment,4,7,Image 1,3,1,100000001,510000002717,
