
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.939929,0.976694,0.850452,µm,Spine,Spine Part Mean Diameter,3,4,1,100000001,610000007606,
1.05547,1.04167,0,µm,Spine,Spine Part Mean Diameter,3,4,1,100000001,610000007879,
1.25455,1.28352,0,µm,Spine,Spine Part Mean Diameter,3,4,1,100000001,610000007880,
0.929522,0.71121,0,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000007640,
0.929522,0.828844,0,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000007884,
0.474491,0.428385,0.416667,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000007293,
0.536228,0.440674,0.41869,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000007361,
0.596228,1.48396,0.570672,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000007508,
0.596228,1.30273,0.570672,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000007513,
0.596228,0.981878,0,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000007517,
0.867019,0.851809,0,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000007659,
0.91574,0.915276,0,µm,Spine,Spine Part Mean Diameter,4,2,1,100000003,610000007918,
0.707122,0.481182,0.416667,µm,Spine,Spine Part Mean Diameter,4,3,1,100000003,610000007398,
0.859987,0.600255,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000003,610000007637,
1.24879,1.21094,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000003,610000007913,
0.859987,0.677083,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000003,610000007919,
0.521765,0.539035,0.46503,µm,Spine,Spine Part Mean Diameter,4,4,1,100000001,610000007254,
0.626863,0.459925,0.416667,µm,Spine,Spine Part Mean Diameter,4,4,1,100000001,610000007342,
0.442736,0.416667,0.416667,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007354,
0.485695,0.696808,0.84107,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007406,
0.455036,0.727941,0.753271,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007413,
1.11057,0.524984,0.821519,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007634,
1.44035,0.48664,0.758464,µm,Spine,Spine Part Mean Diameter,5,2,1,100000003,610000007662,
1.60128,1.17125,0,µm,Spine,Spine Part Mean Diameter,5,2,1,100000003,610000007768,
0.7775,0.657839,0,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007887,
1.38207,1.05469,0,µm,Spine,Spine Part Mean Diameter,5,2,1,100000003,610000007910,
0.550324,0.442708,0.416667,µm,Spine,Spine Part Mean Diameter,5,3,1,100000002,610000007458,
0.877524,0.641836,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000007519,
1.4325,0.684558,1.06066,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000007525,
0.416667,0.416667,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000003,610000007905,
1.23111,0.625,1.08258,µm,Spine,Spine Part Mean Diameter,6,1,1,100000002,610000007597,
1.23111,1.31249,0,µm,Spine,Spine Part Mean Diameter,6,1,1,100000002,610000007883,
0.569267,0.445964,0.416667,µm,Spine,Spine Part Mean Diameter,6,2,1,100000002,610000007238,
0.568448,0.47694,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000000,610000007858,
