
Segment Intensity Median Ch=4 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
85.125,,Segment,4,1,Image 1,2,1,100000004,510000003552,
78.125,,Segment,4,0,Image 1,1,1,100000004,510000003597,
34.625,,Segment,4,6,Image 1,4,1,100000004,510000003614,
48.125,,Segment,4,5,Image 1,3,1,100000004,510000003626,
10.0625,,Segment,4,3,Image 1,1,1,100000000,510000003629,
40.125,,Segment,4,5,Image 1,3,1,100000000,510000003668,
87.125,,Segment,4,4,Image 1,2,1,100000000,510000003678,
78.125,,Segment,4,3,Image 1,2,1,100000000,510000003687,
73.125,,Segment,4,2,Image 1,2,1,100000000,510000003706,
81.125,,Segment,4,0,Image 1,1,1,100000000,510000003742,
43.125,,Segment,4,10,Image 1,3,1,100000003,510000003760,
62.5625,,Segment,4,8,Image 1,4,1,100000001,510000003762,
26.625,,Segment,4,6,Image 1,3,1,100000004,510000003766,
14.125,,Segment,4,2,Image 1,3,1,100000000,510000003774,
22.0625,,Segment,4,1,Image 1,2,1,100000000,510000003778,
64.125,,Segment,4,6,Image 1,3,1,100000000,510000003787,
20.5625,,Segment,4,3,Image 1,3,1,100000000,510000003792,
62.125,,Segment,4,4,Image 1,1,1,100000000,510000003856,
65.125,,Segment,4,3,Image 1,1,1,100000000,510000003879,
80.125,,Segment,4,2,Image 1,1,1,100000000,510000003893,
42.0625,,Segment,4,2,Image 1,2,1,100000000,510000003919,
70.125,,Segment,4,9,Image 1,4,1,100000003,510000003953,
33.125,,Segment,4,5,Image 1,3,1,100000000,510000003956,
48.125,,Segment,4,6,Image 1,1,1,100000001,510000003996,
65.125,,Segment,4,5,Image 1,1,1,100000001,510000004008,
20.125,,Segment,4,2,Image 1,2,1,100000000,510000004013,
60.125,,Segment,4,4,Image 1,3,1,100000000,510000004016,
42.0625,,Segment,4,6,Image 1,2,1,100000001,510000004028,
61.125,,Segment,4,5,Image 1,2,1,100000001,510000004070,
65.125,,Segment,4,4,Image 1,2,1,100000001,510000004081,
38.0625,,Segment,4,7,Image 1,3,1,100000003,510000004088,
61.125,,Segment,4,4,Image 1,4,1,100000000,510000004104,
