
Spine Terminal Pt Intensity Center Ch=1 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
63,,Spine,1,5,Image 1,1,,610000003871,
40,,Spine,1,0,Image 1,1,,610000003871,
51,,Spine,1,2,Image 1,1,,610000003872,
99,,Spine,1,3,Image 1,1,,610000003873,
44,,Spine,1,0,Image 1,1,,610000003873,
59,,Spine,1,3,Image 1,1,,610000003874,
52,,Spine,1,0,Image 1,1,,610000003874,
89,,Spine,1,5,Image 1,1,,610000003875,
63,,Spine,1,0,Image 1,1,,610000003875,
69,,Spine,1,0,Image 1,1,,610000003876,
60,,Spine,1,6,Image 1,1,,610000003876,
75,,Spine,1,0,Image 1,1,,610000003877,
54,,Spine,1,6,Image 1,1,,610000003877,
60,,Spine,1,2,Image 1,1,,610000003878,
47,,Spine,1,5,Image 1,1,,610000003879,
94,,Spine,1,5,Image 1,1,,610000003880,
61,,Spine,1,2,Image 1,1,,610000003881,
92,,Spine,1,2,Image 1,1,,610000003882,
95,,Spine,1,1,Image 1,1,,610000003883,
48,,Spine,1,1,Image 1,1,,610000003884,
11,,Spine,1,4,Image 1,1,,610000003885,
50,,Spine,1,1,Image 1,1,,610000003886,
65,,Spine,1,1,Image 1,1,,610000003887,
76,,Spine,1,0,Image 1,1,,610000003888,
82,,Spine,1,0,Image 1,1,,610000003889,
90,,Spine,1,0,Image 1,1,,610000003890,
51,,Spine,1,0,Image 1,1,,610000003891,
121,,Spine,1,1,Image 1,1,,610000003892,
119,,Spine,1,1,Image 1,1,,610000003893,
141,,Spine,1,2,Image 1,1,,610000003894,
74,,Spine,1,2,Image 1,1,,610000003895,
85,,Spine,1,2,Image 1,1,,610000003896,
47,,Spine,1,2,Image 1,1,,610000003897,
66,,Spine,1,2,Image 1,1,,610000003898,
91,,Spine,1,2,Image 1,1,,610000003899,
140,,Spine,1,2,Image 1,1,,610000003900,
