
Segment Number of Voxel Ch=1 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
115,,Segment,1,5,Image 1,3,1,100000002,510000002381,
135,,Segment,1,8,Image 1,3,1,100000001,510000002387,
164,,Segment,1,7,Image 1,3,1,100000001,510000002395,
87,,Segment,1,6,Image 1,2,1,100000001,510000002397,
275,,Segment,1,5,Image 1,2,1,100000001,510000002406,
150,,Segment,1,4,Image 1,1,1,100000002,510000002409,
322,,Segment,1,5,Image 1,3,1,100000001,510000002425,
444,,Segment,1,4,Image 1,2,1,100000001,510000002435,
1142,,Segment,1,3,Image 1,1,1,100000001,510000002478,
701,,Segment,1,2,Image 1,1,1,100000001,510000002497,
385,,Segment,1,1,Image 1,1,1,100000001,510000002511,
495,,Segment,1,0,Image 1,1,1,100000001,510000002526,
105,,Segment,1,5,Image 1,2,1,100000002,510000002536,
277,,Segment,1,5,Image 1,3,1,100000002,510000002540,
404,,Segment,1,4,Image 1,3,1,100000002,510000002551,
211,,Segment,1,8,Image 1,4,1,100000001,510000002560,
110,,Segment,1,5,Image 1,2,1,100000001,510000002564,
122,,Segment,1,7,Image 1,2,1,100000001,510000002567,
99,,Segment,1,7,Image 1,4,1,100000003,510000002573,
208,,Segment,1,6,Image 1,3,1,100000003,510000002581,
254,,Segment,1,5,Image 1,2,1,100000003,510000002586,
708,,Segment,1,4,Image 1,2,1,100000003,510000002621,
96,,Segment,1,3,Image 1,2,1,100000003,510000002623,
258,,Segment,1,2,Image 1,2,1,100000003,510000002631,
158,,Segment,1,1,Image 1,1,1,100000003,510000002640,
426,,Segment,1,0,Image 1,1,1,100000003,510000002662,
190,,Segment,1,4,Image 1,3,1,100000002,510000002669,
129,,Segment,1,6,Image 1,3,1,100000001,510000002674,
439,,Segment,1,4,Image 1,1,1,100000001,510000002680,
138,,Segment,1,7,Image 1,3,1,100000003,510000002682,
868,,Segment,1,0,Image 1,1,1,100000003,510000002736,
204,,Segment,1,6,Image 1,3,1,100000001,510000002769,
161,,Segment,1,5,Image 1,2,1,100000001,510000002771,
426,,Segment,1,4,Image 1,2,1,100000001,510000002792,
891,,Segment,1,3,Image 1,2,1,100000001,510000002824,
123,,Segment,1,2,Image 1,2,1,100000001,510000002828,
606,,Segment,1,1,Image 1,1,1,100000001,510000002844,
196,,Segment,1,6,Image 1,4,1,100000003,510000002860,
307,,Segment,1,5,Image 1,3,1,100000003,510000002870,
408,,Segment,1,4,Image 1,3,1,100000001,510000002902,
275,,Segment,1,3,Image 1,2,1,100000001,510000002913,
157,,Segment,1,2,Image 1,2,1,100000001,510000002921,
351,,Segment,1,1,Image 1,2,1,100000001,510000002937,
986,,Segment,1,0,Image 1,1,1,100000001,510000002974,
242,,Segment,1,4,Image 1,2,1,100000003,510000002992,
1062,,Segment,1,3,Image 1,2,1,100000003,510000003042,
1023,,Segment,1,1,Image 1,1,1,100000003,510000003059,
638,,Segment,1,0,Image 1,1,1,100000003,510000003065,
152,,Segment,1,5,Image 1,3,1,100000001,510000003071,
633,,Segment,1,6,Image 1,1,1,100000003,510000003105,
107,,Segment,1,6,Image 1,3,1,100000003,510000003108,
211,,Segment,1,6,Image 1,2,1,100000001,510000003111,
90,,Segment,1,4,Image 1,3,1,100000001,510000003113,
