
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
11.492,8887.3,µm^3,Cumulative Volume,Image 1,1,,
11.628,8940.01,µm^3,Cumulative Volume,Image 1,1,,
11.764,8991.06,µm^3,Cumulative Volume,Image 1,1,,
11.9,9041.06,µm^3,Cumulative Volume,Image 1,1,,
12.036,9090.58,µm^3,Cumulative Volume,Image 1,1,,
12.172,9138.54,µm^3,Cumulative Volume,Image 1,1,,
12.308,9185.16,µm^3,Cumulative Volume,Image 1,1,,
12.444,9228.98,µm^3,Cumulative Volume,Image 1,1,,
12.58,9270.53,µm^3,Cumulative Volume,Image 1,1,,
12.716,9310.55,µm^3,Cumulative Volume,Image 1,1,,
12.852,9348.87,µm^3,Cumulative Volume,Image 1,1,,
12.988,9386.01,µm^3,Cumulative Volume,Image 1,1,,
13.124,9421.51,µm^3,Cumulative Volume,Image 1,1,,
13.26,9455.68,µm^3,Cumulative Volume,Image 1,1,,
13.396,9488.59,µm^3,Cumulative Volume,Image 1,1,,
13.532,9519.52,µm^3,Cumulative Volume,Image 1,1,,
13.668,9549.04,µm^3,Cumulative Volume,Image 1,1,,
13.804,9577.12,µm^3,Cumulative Volume,Image 1,1,,
13.94,9604.39,µm^3,Cumulative Volume,Image 1,1,,
14.076,9630.67,µm^3,Cumulative Volume,Image 1,1,,
14.212,9656.4,µm^3,Cumulative Volume,Image 1,1,,
14.348,9681.94,µm^3,Cumulative Volume,Image 1,1,,
14.484,9706.84,µm^3,Cumulative Volume,Image 1,1,,
14.62,9731.29,µm^3,Cumulative Volume,Image 1,1,,
14.756,9754.96,µm^3,Cumulative Volume,Image 1,1,,
14.892,9778.06,µm^3,Cumulative Volume,Image 1,1,,
15.028,9800.75,µm^3,Cumulative Volume,Image 1,1,,
15.164,9822.64,µm^3,Cumulative Volume,Image 1,1,,
15.3,9843.92,µm^3,Cumulative Volume,Image 1,1,,
15.436,9864.21,µm^3,Cumulative Volume,Image 1,1,,
15.572,9883.88,µm^3,Cumulative Volume,Image 1,1,,
15.708,9903.34,µm^3,Cumulative Volume,Image 1,1,,
15.844,9922.46,µm^3,Cumulative Volume,Image 1,1,,
15.98,9941.51,µm^3,Cumulative Volume,Image 1,1,,
16.116,9959.9,µm^3,Cumulative Volume,Image 1,1,,
16.252,9978.39,µm^3,Cumulative Volume,Image 1,1,,
16.388,9996.71,µm^3,Cumulative Volume,Image 1,1,,
16.524,10014.5,µm^3,Cumulative Volume,Image 1,1,,
16.66,10032.7,µm^3,Cumulative Volume,Image 1,1,,
16.796,10050.9,µm^3,Cumulative Volume,Image 1,1,,
16.932,10068.6,µm^3,Cumulative Volume,Image 1,1,,
17.068,10085.8,µm^3,Cumulative Volume,Image 1,1,,
17.204,10103.1,µm^3,Cumulative Volume,Image 1,1,,
17.34,10120.1,µm^3,Cumulative Volume,Image 1,1,,
17.476,10136.3,µm^3,Cumulative Volume,Image 1,1,,
17.612,10152.3,µm^3,Cumulative Volume,Image 1,1,,
17.748,10167.4,µm^3,Cumulative Volume,Image 1,1,,
17.884,10181.2,µm^3,Cumulative Volume,Image 1,1,,
18.02,10194.3,µm^3,Cumulative Volume,Image 1,1,,
18.156,10206.9,µm^3,Cumulative Volume,Image 1,1,,
18.292,10218.7,µm^3,Cumulative Volume,Image 1,1,,
18.428,10229.8,µm^3,Cumulative Volume,Image 1,1,,
18.564,10240.7,µm^3,Cumulative Volume,Image 1,1,,
18.7,10251.2,µm^3,Cumulative Volume,Image 1,1,,
18.836,10261.1,µm^3,Cumulative Volume,Image 1,1,,
18.972,10270.8,µm^3,Cumulative Volume,Image 1,1,,
19.108,10280.3,µm^3,Cumulative Volume,Image 1,1,,
19.244,10289.2,µm^3,Cumulative Volume,Image 1,1,,
19.38,10298,µm^3,Cumulative Volume,Image 1,1,,
19.516,10306.7,µm^3,Cumulative Volume,Image 1,1,,
19.652,10315,µm^3,Cumulative Volume,Image 1,1,,
19.788,10322.8,µm^3,Cumulative Volume,Image 1,1,,
19.924,10330.5,µm^3,Cumulative Volume,Image 1,1,,
20.06,10338,µm^3,Cumulative Volume,Image 1,1,,
20.196,10345.1,µm^3,Cumulative Volume,Image 1,1,,
20.332,10352.1,µm^3,Cumulative Volume,Image 1,1,,
20.468,10358.9,µm^3,Cumulative Volume,Image 1,1,,
