
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
5.78,123.394,µm^3,Volume Outside,Image 1,1,,
5.916,122.453,µm^3,Volume Outside,Image 1,1,,
6.052,122.621,µm^3,Volume Outside,Image 1,1,,
6.188,122.422,µm^3,Volume Outside,Image 1,1,,
6.324,121.976,µm^3,Volume Outside,Image 1,1,,
6.46,121.203,µm^3,Volume Outside,Image 1,1,,
6.596,120.338,µm^3,Volume Outside,Image 1,1,,
6.732,120.974,µm^3,Volume Outside,Image 1,1,,
6.868,121.504,µm^3,Volume Outside,Image 1,1,,
7.004,121.841,µm^3,Volume Outside,Image 1,1,,
7.14,121.977,µm^3,Volume Outside,Image 1,1,,
7.276,121.535,µm^3,Volume Outside,Image 1,1,,
7.412,120.66,µm^3,Volume Outside,Image 1,1,,
7.548,120.608,µm^3,Volume Outside,Image 1,1,,
7.684,119.156,µm^3,Volume Outside,Image 1,1,,
7.82,116.508,µm^3,Volume Outside,Image 1,1,,
7.956,113.441,µm^3,Volume Outside,Image 1,1,,
8.092,109.476,µm^3,Volume Outside,Image 1,1,,
8.228,107.293,µm^3,Volume Outside,Image 1,1,,
8.364,106.763,µm^3,Volume Outside,Image 1,1,,
8.5,104.766,µm^3,Volume Outside,Image 1,1,,
8.636,103.234,µm^3,Volume Outside,Image 1,1,,
8.772,99.2456,µm^3,Volume Outside,Image 1,1,,
8.908,95.4501,µm^3,Volume Outside,Image 1,1,,
9.044,92.7482,µm^3,Volume Outside,Image 1,1,,
9.18,88.6701,µm^3,Volume Outside,Image 1,1,,
9.316,85.2824,µm^3,Volume Outside,Image 1,1,,
9.452,80.2757,µm^3,Volume Outside,Image 1,1,,
9.588,76.114,µm^3,Volume Outside,Image 1,1,,
9.724,72.8906,µm^3,Volume Outside,Image 1,1,,
9.86,68.3043,µm^3,Volume Outside,Image 1,1,,
9.996,65.0733,µm^3,Volume Outside,Image 1,1,,
10.132,61.5771,µm^3,Volume Outside,Image 1,1,,
10.268,59.1029,µm^3,Volume Outside,Image 1,1,,
10.404,56.0882,µm^3,Volume Outside,Image 1,1,,
10.54,53.9351,µm^3,Volume Outside,Image 1,1,,
10.676,52.6427,µm^3,Volume Outside,Image 1,1,,
10.812,50.6611,µm^3,Volume Outside,Image 1,1,,
10.948,49.5,µm^3,Volume Outside,Image 1,1,,
11.084,47.7699,µm^3,Volume Outside,Image 1,1,,
11.22,46.6975,µm^3,Volume Outside,Image 1,1,,
11.356,46.1466,µm^3,Volume Outside,Image 1,1,,
11.492,44.7367,µm^3,Volume Outside,Image 1,1,,
11.628,43.7011,µm^3,Volume Outside,Image 1,1,,
11.764,42.0934,µm^3,Volume Outside,Image 1,1,,
11.9,41.0173,µm^3,Volume Outside,Image 1,1,,
12.036,40.4516,µm^3,Volume Outside,Image 1,1,,
12.172,39.2288,µm^3,Volume Outside,Image 1,1,,
12.308,38.4784,µm^3,Volume Outside,Image 1,1,,
12.444,37.2527,µm^3,Volume Outside,Image 1,1,,
12.58,36.668,µm^3,Volume Outside,Image 1,1,,
12.716,36.3938,µm^3,Volume Outside,Image 1,1,,
12.852,35.6011,µm^3,Volume Outside,Image 1,1,,
12.988,35.2276,µm^3,Volume Outside,Image 1,1,,
13.124,34.3607,µm^3,Volume Outside,Image 1,1,,
13.26,33.9276,µm^3,Volume Outside,Image 1,1,,
13.396,33.8621,µm^3,Volume Outside,Image 1,1,,
13.532,33.2495,µm^3,Volume Outside,Image 1,1,,
13.668,33.0834,µm^3,Volume Outside,Image 1,1,,
13.804,32.464,µm^3,Volume Outside,Image 1,1,,
13.94,32.1239,µm^3,Volume Outside,Image 1,1,,
14.076,31.3296,µm^3,Volume Outside,Image 1,1,,
14.212,30.9387,µm^3,Volume Outside,Image 1,1,,
14.348,30.8965,µm^3,Volume Outside,Image 1,1,,
14.484,30.2737,µm^3,Volume Outside,Image 1,1,,
14.62,29.6746,µm^3,Volume Outside,Image 1,1,,
14.756,28.2841,µm^3,Volume Outside,Image 1,1,,
14.892,27.1547,µm^3,Volume Outside,Image 1,1,,
15.028,26.3308,µm^3,Volume Outside,Image 1,1,,
15.164,25.1994,µm^3,Volume Outside,Image 1,1,,
15.3,24.3188,µm^3,Volume Outside,Image 1,1,,
15.436,23.1734,µm^3,Volume Outside,Image 1,1,,
15.572,22.5097,µm^3,Volume Outside,Image 1,1,,
15.708,22.2849,µm^3,Volume Outside,Image 1,1,,
15.844,21.796,µm^3,Volume Outside,Image 1,1,,
15.98,21.5032,µm^3,Volume Outside,Image 1,1,,
16.116,20.5932,µm^3,Volume Outside,Image 1,1,,
16.252,20.526,µm^3,Volume Outside,Image 1,1,,
16.388,20.0984,µm^3,Volume Outside,Image 1,1,,
16.524,19.3045,µm^3,Volume Outside,Image 1,1,,
16.66,19.3865,µm^3,Volume Outside,Image 1,1,,
16.796,19.0831,µm^3,Volume Outside,Image 1,1,,
16.932,18.4079,µm^3,Volume Outside,Image 1,1,,
17.068,18.5837,µm^3,Volume Outside,Image 1,1,,
17.204,18.5093,µm^3,Volume Outside,Image 1,1,,
17.34,18.064,µm^3,Volume Outside,Image 1,1,,
17.476,17.3681,µm^3,Volume Outside,Image 1,1,,
17.612,17.4332,µm^3,Volume Outside,Image 1,1,,
17.748,17.1391,µm^3,Volume Outside,Image 1,1,,
17.884,16.5903,µm^3,Volume Outside,Image 1,1,,
18.02,16.7437,µm^3,Volume Outside,Image 1,1,,
18.156,16.6887,µm^3,Volume Outside,Image 1,1,,
18.292,16.2514,µm^3,Volume Outside,Image 1,1,,
18.428,15.632,µm^3,Volume Outside,Image 1,1,,
18.564,15.7372,µm^3,Volume Outside,Image 1,1,,
18.7,15.5763,µm^3,Volume Outside,Image 1,1,,
18.836,15.049,µm^3,Volume Outside,Image 1,1,,
18.972,15.1166,µm^3,Volume Outside,Image 1,1,,
19.108,14.9002,µm^3,Volume Outside,Image 1,1,,
19.244,14.3852,µm^3,Volume Outside,Image 1,1,,
19.38,14.5103,µm^3,Volume Outside,Image 1,1,,
19.516,14.49,µm^3,Volume Outside,Image 1,1,,
19.652,14.1393,µm^3,Volume Outside,Image 1,1,,
19.788,13.6158,µm^3,Volume Outside,Image 1,1,,
19.924,13.7024,µm^3,Volume Outside,Image 1,1,,
20.06,13.5246,µm^3,Volume Outside,Image 1,1,,
20.196,13.0797,µm^3,Volume Outside,Image 1,1,,
20.332,13.1819,µm^3,Volume Outside,Image 1,1,,
20.468,13.116,µm^3,Volume Outside,Image 1,1,,
20.604,12.7919,µm^3,Volume Outside,Image 1,1,,
20.74,12.301,µm^3,Volume Outside,Image 1,1,,
20.876,12.3348,µm^3,Volume Outside,Image 1,1,,
21.012,12.1687,µm^3,Volume Outside,Image 1,1,,
21.148,11.764,µm^3,Volume Outside,Image 1,1,,
21.284,11.8751,µm^3,Volume Outside,Image 1,1,,
21.42,11.6617,µm^3,Volume Outside,Image 1,1,,
21.556,11.2269,µm^3,Volume Outside,Image 1,1,,
21.692,11.344,µm^3,Volume Outside,Image 1,1,,
21.828,11.2764,µm^3,Volume Outside,Image 1,1,,
21.964,10.9443,µm^3,Volume Outside,Image 1,1,,
22.1,10.4956,µm^3,Volume Outside,Image 1,1,,
22.236,10.5146,µm^3,Volume Outside,Image 1,1,,
22.372,10.3523,µm^3,Volume Outside,Image 1,1,,
22.508,10.0181,µm^3,Volume Outside,Image 1,1,,
22.644,10.0617,µm^3,Volume Outside,Image 1,1,,
22.78,9.88294,µm^3,Volume Outside,Image 1,1,,
22.916,9.5293,µm^3,Volume Outside,Image 1,1,,
23.052,9.60197,µm^3,Volume Outside,Image 1,1,,
23.188,9.50352,µm^3,Volume Outside,Image 1,1,,
23.324,9.21453,µm^3,Volume Outside,Image 1,1,,
23.46,8.83765,µm^3,Volume Outside,Image 1,1,,
23.596,8.82202,µm^3,Volume Outside,Image 1,1,,
23.732,8.65301,µm^3,Volume Outside,Image 1,1,,
23.868,8.35683,µm^3,Volume Outside,Image 1,1,,
24.004,8.39739,µm^3,Volume Outside,Image 1,1,,
24.14,8.34247,µm^3,Volume Outside,Image 1,1,,
24.276,8.06107,µm^3,Volume Outside,Image 1,1,,
24.412,7.68758,µm^3,Volume Outside,Image 1,1,,
24.548,7.67786,µm^3,Volume Outside,Image 1,1,,
24.684,7.52364,µm^3,Volume Outside,Image 1,1,,
24.82,7.20169,µm^3,Volume Outside,Image 1,1,,
24.956,7.1907,µm^3,Volume Outside,Image 1,1,,
25.092,7.04705,µm^3,Volume Outside,Image 1,1,,
25.228,6.75678,µm^3,Volume Outside,Image 1,1,,
25.364,6.75171,µm^3,Volume Outside,Image 1,1,,
25.5,6.67609,µm^3,Volume Outside,Image 1,1,,
25.636,6.48131,µm^3,Volume Outside,Image 1,1,,
25.772,6.15682,µm^3,Volume Outside,Image 1,1,,
