
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.00195312,,Segment,1,3,Image 1,2,1,100000000,510000000965,
1.00195,,Segment,1,2,Image 1,1,1,100000000,510000000996,
1.00781,,Segment,1,1,Image 1,1,1,100000000,510000001008,
0.00390625,,Segment,1,6,Image 1,4,1,100000001,510000001018,
1.50195,,Segment,1,5,Image 1,3,1,100000001,510000001027,
0.501953,,Segment,1,4,Image 1,3,1,100000001,510000001052,
2.00195,,Segment,1,3,Image 1,2,1,100000001,510000001056,
0.501953,,Segment,1,5,Image 1,2,1,100000002,510000001059,
0.503906,,Segment,1,4,Image 1,3,1,100000000,510000001066,
0,,Segment,1,6,Image 1,5,1,100000001,510000001068,
0,,Segment,1,4,Image 1,3,1,100000002,510000001070,
0.501953,,Segment,1,5,Image 1,3,1,100000001,510000001073,
0.000976562,,Segment,1,6,Image 1,3,1,100000002,510000001082,
1.00391,,Segment,1,5,Image 1,3,1,100000002,510000001103,
1.00195,,Segment,1,6,Image 1,4,1,100000002,510000001112,
1.00391,,Segment,1,4,Image 1,2,1,100000001,510000001157,
0.503906,,Segment,1,5,Image 1,4,1,100000001,510000001166,
2.00195,,Segment,1,8,Image 1,3,1,100000002,510000001169,
2.00781,,Segment,1,3,Image 1,2,1,100000001,510000001195,
0.00195312,,Segment,1,2,Image 1,2,1,100000001,510000001216,
1.00195,,Segment,1,1,Image 1,1,1,100000001,510000001233,
1.00195,,Segment,1,0,Image 1,1,1,100000001,510000001245,
0.000976562,,Segment,1,6,Image 1,3,1,100000001,510000001259,
1.00781,,Segment,1,3,Image 1,3,1,100000001,510000001274,
1.00195,,Segment,1,7,Image 1,1,1,100000002,510000001283,
4.00391,,Segment,1,4,Image 1,4,1,100000002,510000001299,
1.00391,,Segment,1,3,Image 1,3,1,100000002,510000001313,
1.00195,,Segment,1,2,Image 1,2,1,100000002,510000001323,
1.00391,,Segment,1,1,Image 1,2,1,100000002,510000001340,
3.00391,,Segment,1,4,Image 1,3,1,100000002,510000001354,
2.00391,,Segment,1,6,Image 1,2,1,100000002,510000001359,
0.500977,,Segment,1,3,Image 1,1,1,100000000,510000001362,
1.00781,,Segment,1,2,Image 1,3,1,100000001,510000001390,
1.00195,,Segment,1,1,Image 1,2,1,100000001,510000001402,
0.00195312,,Segment,1,5,Image 1,4,1,100000000,510000001429,
1.50195,,Segment,1,4,Image 1,3,1,100000000,510000001436,
1.00195,,Segment,1,3,Image 1,2,1,100000000,510000001442,
1.00098,,Segment,1,2,Image 1,2,1,100000000,510000001449,
1.00195,,Segment,1,6,Image 1,4,1,100000000,510000001456,
1.00195,,Segment,1,5,Image 1,3,1,100000000,510000001463,
1.00098,,Segment,1,4,Image 1,4,1,100000001,510000001465,
3.00781,,Segment,1,4,Image 1,3,1,100000002,510000001472,
1,,Segment,1,6,Image 1,3,1,100000000,510000001474,
1,,Segment,1,5,Image 1,2,1,100000002,510000001479,
2.00781,,Segment,1,3,Image 1,2,1,100000002,510000001488,
1.00391,,Segment,1,2,Image 1,1,1,100000002,510000001493,
4.01562,,Segment,1,1,Image 1,1,1,100000002,510000001501,
1.00781,,Segment,1,0,Image 1,1,1,100000002,510000001529,
1.00781,,Segment,1,3,Image 1,3,1,100000001,510000001540,
0.00195312,,Segment,1,2,Image 1,2,1,100000001,510000001552,
4.00391,,Segment,1,2,Image 1,2,1,100000002,510000001557,
0.501953,,Segment,1,2,Image 1,1,1,100000001,510000001572,
1.00195,,Segment,1,4,Image 1,2,1,100000002,510000001577,
2.00781,,Segment,1,2,Image 1,3,1,100000000,510000001599,
1.00195,,Segment,1,2,Image 1,3,1,100000002,510000001617,
2.00391,,Segment,1,1,Image 1,2,1,100000002,510000001621,
1.00781,,Segment,1,0,Image 1,1,1,100000000,510000001666,
1,,Segment,1,3,Image 1,2,1,100000001,510000001682,
1.00195,,Segment,1,3,Image 1,3,1,100000000,510000001688,
2,,Segment,1,4,Image 1,2,1,100000000,510000001691,
6.03125,,Segment,1,3,Image 1,3,1,100000002,510000001702,
1.01562,,Segment,1,2,Image 1,1,1,100000001,510000001710,
1.00391,,Segment,1,1,Image 1,2,1,100000001,510000001721,
0.00390625,,Segment,1,1,Image 1,1,1,100000000,510000001743,
1.00195,,Segment,1,0,Image 1,1,1,100000000,510000001759,
5.00391,,Segment,1,0,Image 1,1,1,100000001,510000001788,
1.00391,,Segment,1,1,Image 1,2,1,100000000,510000001803,
2.00391,,Segment,1,0,Image 1,1,1,100000001,510000001808,
0.500977,,Segment,1,0,Image 1,1,1,100000002,510000001814,
10.5156,,Segment,1,0,Image 1,1,1,100000001,510000001823,
