
Spine Position Z
 ==================== 
Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1442.95,µm,Spine,Spine Position,8,4,1,100000002,610000008638,
1444.68,µm,Spine,Spine Position,0,1,1,100000000,610000008643,
1459.71,µm,Spine,Spine Position,0,1,1,100000003,610000008647,
1457.42,µm,Spine,Spine Position,1,1,1,100000002,610000008653,
1440.56,µm,Spine,Spine Position,0,1,1,100000001,610000008656,
1442.95,µm,Spine,Spine Position,8,4,1,100000002,610000008659,
1456.55,µm,Spine,Spine Position,0,1,1,100000004,610000008661,
1447.71,µm,Spine,Spine Position,1,1,1,100000003,610000008664,
1455.67,µm,Spine,Spine Position,11,1,1,100000002,610000008668,
1442.6,µm,Spine,Spine Position,0,1,1,100000000,610000008671,
1445.02,µm,Spine,Spine Position,0,1,1,100000001,610000008673,
1458.16,µm,Spine,Spine Position,1,1,1,100000002,610000008676,
1440.02,µm,Spine,Spine Position,1,1,1,100000000,610000008681,
1442.68,µm,Spine,Spine Position,0,1,1,100000000,610000008688,
1444.23,µm,Spine,Spine Position,4,1,1,100000003,610000008691,
1442.94,µm,Spine,Spine Position,0,1,1,100000000,610000008693,
1458.13,µm,Spine,Spine Position,2,2,1,100000002,610000008695,
1439.25,µm,Spine,Spine Position,2,2,1,100000000,610000008699,
1442.12,µm,Spine,Spine Position,5,2,1,100000003,610000008701,
1442.47,µm,Spine,Spine Position,0,1,1,100000000,610000008704,
1441.68,µm,Spine,Spine Position,0,1,1,100000000,610000008712,
1448.37,µm,Spine,Spine Position,2,1,1,100000002,610000008714,
1440.67,µm,Spine,Spine Position,0,1,1,100000000,610000008717,
1449.58,µm,Spine,Spine Position,2,2,1,100000000,610000008719,
1440.6,µm,Spine,Spine Position,0,1,1,100000001,610000008722,
1440.37,µm,Spine,Spine Position,0,1,1,100000000,610000008727,
1452.58,µm,Spine,Spine Position,11,5,1,100000001,610000008731,
1442.94,µm,Spine,Spine Position,0,1,1,100000000,610000008733,
1453.63,µm,Spine,Spine Position,6,4,1,100000002,610000008737,
1439.2,µm,Spine,Spine Position,3,2,1,100000000,610000008742,
1439.15,µm,Spine,Spine Position,5,2,1,100000003,610000008747,
1452.48,µm,Spine,Spine Position,4,2,1,100000002,610000008750,
1447.49,µm,Spine,Spine Position,0,1,1,100000001,610000008753,
1457.47,µm,Spine,Spine Position,6,4,1,100000002,610000008756,
1440.95,µm,Spine,Spine Position,0,1,1,100000000,610000008759,
1445.37,µm,Spine,Spine Position,3,1,1,100000003,610000008762,
1440.76,µm,Spine,Spine Position,5,2,1,100000002,610000008765,
1441.94,µm,Spine,Spine Position,4,3,1,100000001,610000008768,
1441.3,µm,Spine,Spine Position,0,1,1,100000000,610000008771,
1454.51,µm,Spine,Spine Position,6,4,1,100000002,610000008775,
1448.25,µm,Spine,Spine Position,0,1,1,100000000,610000008783,
1443.12,µm,Spine,Spine Position,0,1,1,100000000,610000008787,
1441.56,µm,Spine,Spine Position,0,1,1,100000001,610000008791,
1452.79,µm,Spine,Spine Position,1,1,1,100000002,610000008794,
1442.18,µm,Spine,Spine Position,0,1,1,100000000,610000008799,
1440.34,µm,Spine,Spine Position,1,1,1,100000000,610000008804,
1440.36,µm,Spine,Spine Position,0,1,1,100000000,610000008808,
1457.71,µm,Spine,Spine Position,7,3,1,100000002,610000008810,
1440,µm,Spine,Spine Position,1,1,1,100000000,610000008819,
1439.3,µm,Spine,Spine Position,2,2,1,100000000,610000008822,
1453.99,µm,Spine,Spine Position,6,4,1,100000002,610000008825,
1448.37,µm,Spine,Spine Position,1,2,1,100000003,610000008827,
1444.9,µm,Spine,Spine Position,5,1,1,100000005,610000008832,
1453.44,µm,Spine,Spine Position,0,1,1,100000003,610000008837,
1442.94,µm,Spine,Spine Position,0,1,1,100000000,610000008839,
1456.62,µm,Spine,Spine Position,1,1,1,100000002,610000008842,
1444.78,µm,Spine,Spine Position,0,1,1,100000000,610000008844,
1441.18,µm,Spine,Spine Position,1,1,1,100000000,610000008847,
1442.94,µm,Spine,Spine Position,0,1,1,100000000,610000008858,
1441.94,µm,Spine,Spine Position,0,1,1,100000000,610000008864,
1442.44,µm,Spine,Spine Position,0,1,1,100000000,610000008883,
1440.74,µm,Spine,Spine Position,2,1,1,100000000,610000008943,
1439.29,µm,Spine,Spine Position,2,1,1,100000000,610000008944,
1440.15,µm,Spine,Spine Position,1,1,1,100000000,610000008945,
1439.21,µm,Spine,Spine Position,3,2,1,100000000,610000008947,
1439.21,µm,Spine,Spine Position,3,2,1,100000000,610000008948,
1439.54,µm,Spine,Spine Position,2,2,1,100000000,610000008949,
1441.15,µm,Spine,Spine Position,2,2,1,100000000,610000008950,
1441.32,µm,Spine,Spine Position,2,2,1,100000000,610000008951,
1440.71,µm,Spine,Spine Position,0,1,1,100000000,610000008952,
1440.68,µm,Spine,Spine Position,0,1,1,100000000,610000008953,
1440.96,µm,Spine,Spine Position,0,1,1,100000000,610000008954,
1456.93,µm,Spine,Spine Position,2,2,1,100000000,610000008955,
1445.02,µm,Spine,Spine Position,2,2,1,100000000,610000008956,
1441.97,µm,Spine,Spine Position,1,1,1,100000000,610000008957,
1445.82,µm,Spine,Spine Position,3,4,1,100000000,610000008958,
1443.06,µm,Spine,Spine Position,3,4,1,100000000,610000008959,
1440.56,µm,Spine,Spine Position,3,3,1,100000000,610000008960,
1439.25,µm,Spine,Spine Position,2,3,1,100000000,610000008961,
1439.28,µm,Spine,Spine Position,2,3,1,100000000,610000008962,
1443.52,µm,Spine,Spine Position,1,1,1,100000000,610000008964,
1444.95,µm,Spine,Spine Position,0,1,1,100000000,610000008966,
1444.04,µm,Spine,Spine Position,0,1,1,100000000,610000008969,
1443.4,µm,Spine,Spine Position,0,1,1,100000000,610000008970,
1442.96,µm,Spine,Spine Position,0,1,1,100000000,610000008971,
1442.38,µm,Spine,Spine Position,2,1,1,100000001,610000008973,
1442.06,µm,Spine,Spine Position,0,1,1,100000001,610000008974,
1445.22,µm,Spine,Spine Position,4,2,1,100000001,610000008975,
1447.08,µm,Spine,Spine Position,4,2,1,100000001,610000008976,
1454.55,µm,Spine,Spine Position,5,2,1,100000001,610000008977,
1442.29,µm,Spine,Spine Position,1,1,1,100000001,610000008978,
1441.59,µm,Spine,Spine Position,0,1,1,100000001,610000008979,
1441.59,µm,Spine,Spine Position,0,1,1,100000001,610000008980,
1441.16,µm,Spine,Spine Position,0,1,1,100000001,610000008981,
1442.8,µm,Spine,Spine Position,1,2,1,100000001,610000008982,
1445.43,µm,Spine,Spine Position,6,3,1,100000001,610000008983,
1446.1,µm,Spine,Spine Position,1,2,1,100000001,610000008984,
1446.1,µm,Spine,Spine Position,1,2,1,100000001,610000008985,
1439.89,µm,Spine,Spine Position,4,2,1,100000001,610000008986,
1444.56,µm,Spine,Spine Position,2,1,1,100000001,610000008987,
1447.9,µm,Spine,Spine Position,4,3,1,100000001,610000008988,
1447.15,µm,Spine,Spine Position,0,1,1,100000001,610000008989,
1450.23,µm,Spine,Spine Position,1,2,1,100000001,610000008991,
1447.51,µm,Spine,Spine Position,0,1,1,100000001,610000008992,
1447.4,µm,Spine,Spine Position,0,1,1,100000001,610000008993,
1446.06,µm,Spine,Spine Position,0,1,1,100000001,610000008994,
1445.28,µm,Spine,Spine Position,0,1,1,100000001,610000008995,
1444.22,µm,Spine,Spine Position,0,1,1,100000001,610000008996,
1444.22,µm,Spine,Spine Position,0,1,1,100000001,610000008997,
1457.51,µm,Spine,Spine Position,4,2,1,100000002,610000009000,
1447.27,µm,Spine,Spine Position,13,3,1,100000002,610000009001,
1446.18,µm,Spine,Spine Position,11,2,1,100000002,610000009002,
1445.4,µm,Spine,Spine Position,9,2,1,100000002,610000009003,
1445.4,µm,Spine,Spine Position,9,2,1,100000002,610000009004,
1451.27,µm,Spine,Spine Position,16,2,1,100000002,610000009005,
1455.58,µm,Spine,Spine Position,11,2,1,100000002,610000009006,
1453.51,µm,Spine,Spine Position,10,1,1,100000002,610000009007,
1452.77,µm,Spine,Spine Position,10,1,1,100000002,610000009008,
1450.9,µm,Spine,Spine Position,9,1,1,100000002,610000009009,
1450.19,µm,Spine,Spine Position,9,1,1,100000002,610000009010,
1449.14,µm,Spine,Spine Position,8,1,1,100000002,610000009011,
1448.79,µm,Spine,Spine Position,7,1,1,100000002,610000009012,
1448.79,µm,Spine,Spine Position,7,1,1,100000002,610000009013,
1450.47,µm,Spine,Spine Position,4,2,1,100000002,610000009014,
1452.84,µm,Spine,Spine Position,3,2,1,100000002,610000009015,
1451.63,µm,Spine,Spine Position,2,2,1,100000002,610000009016,
1451.63,µm,Spine,Spine Position,2,2,1,100000002,610000009017,
1455.7,µm,Spine,Spine Position,1,1,1,100000002,610000009018,
1456.5,µm,Spine,Spine Position,1,1,1,100000002,610000009019,
1456.17,µm,Spine,Spine Position,0,1,1,100000002,610000009020,
1441.26,µm,Spine,Spine Position,6,4,1,100000002,610000009022,
1442.91,µm,Spine,Spine Position,8,4,1,100000002,610000009023,
1442.91,µm,Spine,Spine Position,8,4,1,100000002,610000009024,
1441.26,µm,Spine,Spine Position,6,3,1,100000002,610000009025,
1443.74,µm,Spine,Spine Position,5,3,1,100000002,610000009026,
1444.53,µm,Spine,Spine Position,5,3,1,100000002,610000009027,
1444.91,µm,Spine,Spine Position,5,3,1,100000002,610000009028,
1444.34,µm,Spine,Spine Position,3,1,1,100000002,610000009029,
1450.57,µm,Spine,Spine Position,6,3,1,100000002,610000009030,
1446.09,µm,Spine,Spine Position,5,2,1,100000002,610000009031,
1452.49,µm,Spine,Spine Position,4,2,1,100000002,610000009032,
1458.8,µm,Spine,Spine Position,5,3,1,100000002,610000009033,
1456.45,µm,Spine,Spine Position,5,2,1,100000002,610000009034,
1456.33,µm,Spine,Spine Position,5,2,1,100000002,610000009035,
1456.6,µm,Spine,Spine Position,5,2,1,100000002,610000009036,
1449.54,µm,Spine,Spine Position,2,2,1,100000002,610000009037,
1457.2,µm,Spine,Spine Position,1,1,1,100000002,610000009038,
1454.72,µm,Spine,Spine Position,6,5,1,100000003,610000009040,
1452.76,µm,Spine,Spine Position,5,5,1,100000003,610000009041,
1452.16,µm,Spine,Spine Position,4,4,1,100000003,610000009042,
1452.98,µm,Spine,Spine Position,4,4,1,100000003,610000009043,
1454.08,µm,Spine,Spine Position,10,6,1,100000003,610000009044,
1451.44,µm,Spine,Spine Position,4,3,1,100000003,610000009045,
1439.98,µm,Spine,Spine Position,5,3,1,100000003,610000009046,
1439.91,µm,Spine,Spine Position,5,2,1,100000003,610000009047,
1449.24,µm,Spine,Spine Position,1,2,1,100000003,610000009048,
1449.89,µm,Spine,Spine Position,1,2,1,100000003,610000009049,
1450.9,µm,Spine,Spine Position,1,2,1,100000003,610000009050,
1451.92,µm,Spine,Spine Position,0,1,1,100000003,610000009051,
1460.44,µm,Spine,Spine Position,6,1,1,100000003,610000009052,
1453.82,µm,Spine,Spine Position,4,2,1,100000003,610000009053,
1459.55,µm,Spine,Spine Position,5,3,1,100000003,610000009054,
1456.74,µm,Spine,Spine Position,1,1,1,100000003,610000009055,
1439.71,µm,Spine,Spine Position,7,2,1,100000003,610000009056,
1439.38,µm,Spine,Spine Position,7,2,1,100000003,610000009057,
1439.45,µm,Spine,Spine Position,7,2,1,100000003,610000009058,
1439.45,µm,Spine,Spine Position,7,2,1,100000003,610000009059,
1439.22,µm,Spine,Spine Position,6,2,1,100000003,610000009060,
1442.63,µm,Spine,Spine Position,5,2,1,100000003,610000009061,
1441.19,µm,Spine,Spine Position,5,2,1,100000003,610000009062,
1446.06,µm,Spine,Spine Position,3,1,1,100000003,610000009063,
1456.63,µm,Spine,Spine Position,1,1,1,100000003,610000009064,
1443.73,µm,Spine,Spine Position,4,2,1,100000003,610000009066,
1444.67,µm,Spine,Spine Position,2,2,1,100000003,610000009067,
1439.25,µm,Spine,Spine Position,5,2,1,100000003,610000009068,
1439.65,µm,Spine,Spine Position,5,2,1,100000003,610000009069,
1443.88,µm,Spine,Spine Position,4,1,1,100000003,610000009070,
1455.12,µm,Spine,Spine Position,2,2,1,100000003,610000009072,
1455.77,µm,Spine,Spine Position,2,2,1,100000003,610000009073,
1458.02,µm,Spine,Spine Position,1,2,1,100000003,610000009074,
1451.37,µm,Spine,Spine Position,2,3,1,100000004,610000009075,
1454.81,µm,Spine,Spine Position,1,1,1,100000005,610000009082,
1442.91,µm,Spine,Spine Position,4,2,1,100000005,610000009084,
1455.59,µm,Spine,Spine Position,6,3,1,100000005,610000009085,
1453.5,µm,Spine,Spine Position,1,2,1,100000005,610000009086,
