
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19441.1,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000009091,
19458,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,,610000009091,
19458.2,µm,Spine,Spine Terminal Pt Distance from Origin,13,3,1,,610000009091,
19441.4,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000009092,
19422.2,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,,610000009092,
19446.4,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000009092,
19458.7,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,,610000009092,
19458.1,µm,Spine,Spine Terminal Pt Distance from Origin,11,2,1,,610000009092,
19443.1,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000009093,
19454.9,µm,Spine,Spine Terminal Pt Distance from Origin,9,2,1,,610000009093,
19449.9,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,,610000009093,
19436.7,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,,610000009093,
19403.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000009094,
19437.2,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009094,
19454.4,µm,Spine,Spine Terminal Pt Distance from Origin,9,2,1,,610000009094,
19432.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,,610000009094,
19449.2,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000009095,
19429.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,,610000009095,
19436.1,µm,Spine,Spine Terminal Pt Distance from Origin,10,6,1,,610000009095,
19441.9,µm,Spine,Spine Terminal Pt Distance from Origin,16,2,1,,610000009095,
19442.1,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,,610000009096,
19448,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009096,
19438,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,,610000009096,
