
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.23453,µm,Spine,12,7,1,100000000,610000007956,
0.182312,µm,Spine,8,4,1,100000000,610000007957,
0.233759,µm,Spine,7,4,1,100000000,610000007958,
0.322243,µm,Spine,7,4,1,100000000,610000007959,
0.324135,µm,Spine,6,4,1,100000000,610000007960,
0.192969,µm,Spine,5,5,1,100000000,610000007961,
0.243593,µm,Spine,3,3,1,100000000,610000007962,
0.332349,µm,Spine,3,3,1,100000000,610000007963,
0.238429,µm,Spine,3,3,1,100000000,610000007964,
0.26068,µm,Spine,1,2,1,100000000,610000007965,
0.43144,µm,Spine,1,1,1,100000000,610000007966,
0.303635,µm,Spine,1,1,1,100000000,610000007967,
0.317842,µm,Spine,0,1,1,100000000,610000007969,
0.24375,µm,Spine,4,4,1,100000000,610000007972,
0.273406,µm,Spine,4,3,1,100000000,610000007973,
0.261523,µm,Spine,0,1,1,100000000,610000007975,
0.278548,µm,Spine,0,1,1,100000000,610000007976,
0.4415,µm,Spine,0,1,1,100000000,610000007977,
0.166279,µm,Spine,2,2,1,100000000,610000007978,
0.179695,µm,Spine,2,2,1,100000000,610000007979,
0.337834,µm,Spine,1,1,1,100000000,610000007980,
0.226053,µm,Spine,1,1,1,100000000,610000007982,
0.301421,µm,Spine,0,1,1,100000000,610000007983,
0.281419,µm,Spine,0,1,1,100000000,610000007984,
0.264996,µm,Spine,0,1,1,100000000,610000007985,
0.324583,µm,Spine,0,1,1,100000000,610000007986,
0.283842,µm,Spine,0,1,1,100000000,610000007990,
0.199034,µm,Spine,20,4,1,100000001,610000007994,
0.261712,µm,Spine,20,4,1,100000001,610000007995,
0.282436,µm,Spine,19,5,1,100000001,610000007996,
0.280439,µm,Spine,15,3,1,100000001,610000007997,
0.322349,µm,Spine,16,4,1,100000001,610000007998,
0.230953,µm,Spine,13,2,1,100000001,610000007999,
0.186762,µm,Spine,13,2,1,100000001,610000008000,
0.24375,µm,Spine,12,3,1,100000001,610000008001,
0.213281,µm,Spine,11,3,1,100000001,610000008002,
0.208832,µm,Spine,15,3,1,100000001,610000008003,
0.310841,µm,Spine,11,3,1,100000001,610000008004,
0.327067,µm,Spine,11,3,1,100000001,610000008005,
0.35993,µm,Spine,8,2,1,100000001,610000008006,
0.342773,µm,Spine,6,2,1,100000001,610000008007,
0.321727,µm,Spine,7,3,1,100000001,610000008008,
0.277143,µm,Spine,7,3,1,100000001,610000008009,
0.253143,µm,Spine,7,4,1,100000001,610000008010,
0.365273,µm,Spine,5,2,1,100000001,610000008011,
0.258906,µm,Spine,4,3,1,100000001,610000008012,
0.183733,µm,Spine,19,5,1,100000001,610000008013,
0.178832,µm,Spine,17,4,1,100000001,610000008014,
0.321139,µm,Spine,17,4,1,100000001,610000008015,
0.206934,µm,Spine,14,3,1,100000001,610000008016,
0.286375,µm,Spine,11,4,1,100000001,610000008017,
0.1625,µm,Spine,14,4,1,100000001,610000008018,
0.186222,µm,Spine,15,3,1,100000001,610000008019,
0.192969,µm,Spine,15,3,1,100000001,610000008020,
0.325171,µm,Spine,12,3,1,100000001,610000008021,
0.286555,µm,Spine,18,5,1,100000001,610000008022,
0.263939,µm,Spine,16,3,1,100000001,610000008023,
0.190285,µm,Spine,16,3,1,100000001,610000008024,
0.223155,µm,Spine,13,3,1,100000001,610000008025,
0.18916,µm,Spine,11,4,1,100000001,610000008026,
