
Segment Volume
 ==================== 
Segment Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.0872135,µm^3,Segment,0,1,1,100000003,510000002371,
0.0373264,µm^3,Segment,0,1,1,100000037,510000002377,
0.232604,µm^3,Segment,1,1,1,100000037,510000002386,
0.262761,µm^3,Segment,0,1,1,100000003,510000002400,
0.0294852,µm^3,Segment,3,2,1,100000003,510000008547,
0.0203076,µm^3,Segment,6,2,1,100000003,510000008548,
0.0409782,µm^3,Segment,1,1,1,100000003,510000008549,
0.0160521,µm^3,Segment,,,1,100000038,510000009011,
0.020672,µm^3,Segment,,,1,100000038,510000009012,
0.0110276,µm^3,Segment,,,1,100000038,510000009013,
0.0258609,µm^3,Segment,,,1,100000053,510000009452,
0.133835,µm^3,Segment,0,1,1,,,
