
Spine Part Volume Neck
 ==================== 
Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.00411621,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003397,
0,µm^3,Spine,Spine Part Volume,,,1,100000014,610000003399,
0.00696521,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003403,
0.0214547,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003406,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000037,610000003410,
0.0192627,µm^3,Spine,Spine Part Volume,,,1,100000015,610000003412,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003418,
0.0172998,µm^3,Spine,Spine Part Volume,,,1,100000016,610000003420,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003426,
0.00436514,µm^3,Spine,Spine Part Volume,2,1,1,100000037,610000003429,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003431,
0,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000003433,
0,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003435,
0.0215241,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003440,
0.0081216,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003443,
0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003447,
0.00945735,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003452,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003454,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003456,
0.0143189,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003462,
0.0142606,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003468,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003470,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000037,610000003474,
0.0044204,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003479,
0,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000003481,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003486,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003490,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003494,
0.015448,µm^3,Spine,Spine Part Volume,1,1,1,100000037,610000003502,
0.00370742,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003505,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003507,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003509,
