
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
113.005,,Spine,1,3,Image 1,3,1,100000001,610000003940,
119.643,,Spine,1,0,Image 1,1,1,100000000,610000003942,
100.925,,Spine,1,1,Image 1,1,1,100000001,610000003944,
178.125,,Spine,1,0,Image 1,1,1,100000000,610000003953,
87.5403,,Spine,1,1,Image 1,2,1,100000001,610000003956,
176.932,,Spine,1,0,Image 1,1,1,100000000,610000003965,
125.699,,Spine,1,0,Image 1,1,1,100000000,610000003967,
175.162,,Spine,1,0,Image 1,1,1,100000000,610000003978,
130.543,,Spine,1,2,Image 1,2,1,100000000,610000003985,
48.6226,,Spine,1,6,Image 1,5,1,100000000,610000003988,
73.5897,,Spine,1,6,Image 1,5,1,100000000,610000003989,
50.3358,,Spine,1,3,Image 1,3,1,100000000,610000003990,
99.5143,,Spine,1,2,Image 1,3,1,100000000,610000003991,
79.9328,,Spine,1,2,Image 1,3,1,100000000,610000003992,
45.037,,Spine,1,2,Image 1,3,1,100000000,610000003993,
64.9919,,Spine,1,2,Image 1,3,1,100000000,610000003994,
76.2978,,Spine,1,2,Image 1,2,1,100000000,610000003995,
78.8467,,Spine,1,1,Image 1,2,1,100000000,610000003996,
75.5848,,Spine,1,5,Image 1,2,1,100000000,610000003997,
74.0821,,Spine,1,5,Image 1,2,1,100000000,610000003998,
85.9444,,Spine,1,5,Image 1,2,1,100000000,610000003999,
37.4522,,Spine,1,4,Image 1,2,1,100000000,610000004000,
129.479,,Spine,1,2,Image 1,2,1,100000000,610000004001,
106.43,,Spine,1,0,Image 1,1,1,100000000,610000004003,
145.42,,Spine,1,0,Image 1,1,1,100000000,610000004004,
44.6538,,Spine,1,6,Image 1,3,1,100000000,610000004005,
69.9044,,Spine,1,4,Image 1,1,1,100000000,610000004006,
76.2959,,Spine,1,4,Image 1,2,1,100000000,610000004007,
56.4022,,Spine,1,3,Image 1,2,1,100000000,610000004008,
57.5608,,Spine,1,2,Image 1,1,1,100000000,610000004009,
44.0082,,Spine,1,4,Image 1,3,1,100000000,610000004010,
89.4777,,Spine,1,3,Image 1,2,1,100000000,610000004011,
75.2291,,Spine,1,3,Image 1,2,1,100000000,610000004012,
109.69,,Spine,1,3,Image 1,2,1,100000000,610000004013,
103.091,,Spine,1,3,Image 1,2,1,100000000,610000004014,
88.14,,Spine,1,0,Image 1,1,1,100000000,610000004019,
