
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
39.835,245891,µm^3,Cumulative Volume Outside,Image 1,1,,
40.145,247109,µm^3,Cumulative Volume Outside,Image 1,1,,
40.455,248275,µm^3,Cumulative Volume Outside,Image 1,1,,
40.765,249394,µm^3,Cumulative Volume Outside,Image 1,1,,
41.075,250471,µm^3,Cumulative Volume Outside,Image 1,1,,
41.385,251508,µm^3,Cumulative Volume Outside,Image 1,1,,
41.695,252503,µm^3,Cumulative Volume Outside,Image 1,1,,
42.005,253455,µm^3,Cumulative Volume Outside,Image 1,1,,
42.315,254358,µm^3,Cumulative Volume Outside,Image 1,1,,
42.625,255198,µm^3,Cumulative Volume Outside,Image 1,1,,
42.935,256009,µm^3,Cumulative Volume Outside,Image 1,1,,
43.245,256782,µm^3,Cumulative Volume Outside,Image 1,1,,
43.555,257508,µm^3,Cumulative Volume Outside,Image 1,1,,
43.865,258183,µm^3,Cumulative Volume Outside,Image 1,1,,
44.175,258804,µm^3,Cumulative Volume Outside,Image 1,1,,
44.485,259372,µm^3,Cumulative Volume Outside,Image 1,1,,
44.795,259889,µm^3,Cumulative Volume Outside,Image 1,1,,
45.105,260356,µm^3,Cumulative Volume Outside,Image 1,1,,
