
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
5,,Segment,1,2,Image 1,1,1,100000005,510000015471,
4,,Segment,1,6,Image 1,3,1,100000003,510000015476,
5,,Segment,1,11,Image 1,3,1,100000003,510000015490,
3,,Segment,1,10,Image 1,2,1,100000003,510000015521,
1,,Segment,1,15,Image 1,5,1,100000003,510000015524,
7,,Segment,1,12,Image 1,3,1,100000003,510000015528,
44,,Segment,1,3,Image 1,1,1,100000005,510000015540,
4,,Segment,1,11,Image 1,2,1,100000003,510000015548,
4,,Segment,1,4,Image 1,3,1,100000005,510000015555,
7,,Segment,1,3,Image 1,3,1,100000005,510000015557,
2,,Segment,1,6,Image 1,2,1,100000003,510000015575,
4,,Segment,1,5,Image 1,2,1,100000003,510000015599,
5,,Segment,1,4,Image 1,2,1,100000003,510000015611,
4,,Segment,1,2,Image 1,2,1,100000005,510000015614,
5,,Segment,1,8,Image 1,3,1,100000003,510000015623,
46,,Segment,1,7,Image 1,2,1,100000003,510000015639,
7,,Segment,1,11,Image 1,4,1,100000003,510000015642,
1,,Segment,1,4,Image 1,4,1,100000005,510000015644,
2,,Segment,1,6,Image 1,3,1,100000003,510000015651,
3,,Segment,1,3,Image 1,2,1,100000004,510000015665,
6,,Segment,1,2,Image 1,2,1,100000004,510000015700,
7,,Segment,1,1,Image 1,2,1,100000004,510000015714,
3,,Segment,1,0,Image 1,1,1,100000004,510000015737,
9,,Segment,1,0,Image 1,1,1,100000005,510000015761,
9,,Segment,1,3,Image 1,3,1,100000003,510000015771,
1,,Segment,1,2,Image 1,1,1,100000005,510000015778,
3,,Segment,1,1,Image 1,1,1,100000005,510000015817,
6,,Segment,1,0,Image 1,1,1,100000005,510000015835,
2,,Segment,1,9,Image 1,2,1,100000003,510000015837,
5,,Segment,1,8,Image 1,2,1,100000003,510000015840,
2,,Segment,1,9,Image 1,3,1,100000003,510000015844,
7,,Segment,1,5,Image 1,3,1,100000004,510000015848,
70,,Segment,1,4,Image 1,3,1,100000004,510000015862,
70,,Segment,1,3,Image 1,3,1,100000004,510000015891,
3,,Segment,1,2,Image 1,2,1,100000004,510000015906,
3,,Segment,1,1,Image 1,2,1,100000004,510000015911,
