
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
40.5625,,Segment,3,4,Image 1,4,1,100000004,510000014423,
25.5625,,Segment,3,7,Image 1,3,1,100000004,510000014426,
85.125,,Segment,3,6,Image 1,2,1,100000004,510000014430,
61.125,,Segment,3,5,Image 1,2,1,100000004,510000014439,
80.125,,Segment,3,4,Image 1,2,1,100000004,510000014456,
66.125,,Segment,3,3,Image 1,2,1,100000004,510000014465,
61.625,,Segment,3,6,Image 1,3,1,100000004,510000014467,
84.625,,Segment,3,5,Image 1,3,1,100000004,510000014472,
43.125,,Segment,3,4,Image 1,3,1,100000004,510000014486,
60.125,,Segment,3,4,Image 1,2,1,100000004,510000014499,
43.125,,Segment,3,2,Image 1,2,1,100000004,510000014503,
38.125,,Segment,3,19,Image 1,5,1,100000003,510000014521,
29.625,,Segment,3,18,Image 1,4,1,100000003,510000014525,
47.125,,Segment,3,17,Image 1,4,1,100000003,510000014529,
51.125,,Segment,3,16,Image 1,4,1,100000003,510000014536,
79.125,,Segment,3,15,Image 1,4,1,100000003,510000014591,
83.125,,Segment,3,14,Image 1,4,1,100000003,510000014594,
52.625,,Segment,3,12,Image 1,4,1,100000003,510000014599,
55.125,,Segment,3,11,Image 1,3,1,100000003,510000014607,
50.0625,,Segment,3,10,Image 1,3,1,100000003,510000014609,
65.125,,Segment,3,9,Image 1,3,1,100000003,510000014618,
63.125,,Segment,3,21,Image 1,5,1,100000003,510000014636,
46.125,,Segment,3,20,Image 1,4,1,100000003,510000014641,
41.0625,,Segment,3,19,Image 1,4,1,100000003,510000014645,
44.0625,,Segment,3,21,Image 1,6,1,100000003,510000014651,
43.625,,Segment,3,20,Image 1,5,1,100000003,510000014659,
56.125,,Segment,3,21,Image 1,4,1,100000003,510000014664,
25.5625,,Segment,3,13,Image 1,6,1,100000003,510000014669,
34.0625,,Segment,3,12,Image 1,6,1,100000003,510000014675,
37.0625,,Segment,3,11,Image 1,6,1,100000003,510000014686,
47.125,,Segment,3,10,Image 1,6,1,100000003,510000014703,
64.125,,Segment,3,9,Image 1,6,1,100000003,510000014717,
35.0625,,Segment,3,6,Image 1,5,1,100000003,510000014729,
41.625,,Segment,3,5,Image 1,4,1,100000003,510000014743,
41.0625,,Segment,3,4,Image 1,3,1,100000003,510000014766,
38.0625,,Segment,3,3,Image 1,2,1,100000003,510000014787,
46.0625,,Segment,3,2,Image 1,2,1,100000003,510000014807,
48.0625,,Segment,3,1,Image 1,2,1,100000003,510000014821,
62.125,,Segment,3,0,Image 1,1,1,100000003,510000014858,
25.625,,Segment,3,10,Image 1,7,1,100000003,510000014883,
40.0625,,Segment,3,7,Image 1,2,1,100000003,510000014932,
46.125,,Segment,3,6,Image 1,2,1,100000003,510000014964,
69.125,,Segment,3,5,Image 1,1,1,100000003,510000014969,
87.125,,Segment,3,4,Image 1,1,1,100000003,510000014971,
80.125,,Segment,3,3,Image 1,1,1,100000003,510000014978,
33.125,,Segment,3,2,Image 1,1,1,100000003,510000014997,
58.5625,,Segment,3,1,Image 1,1,1,100000003,510000015010,
36.0625,,Segment,3,11,Image 1,7,1,100000003,510000015030,
17.125,,Segment,3,18,Image 1,5,1,100000003,510000015036,
39.0625,,Segment,3,12,Image 1,7,1,100000003,510000015038,
32.5625,,Segment,3,17,Image 1,5,1,100000003,510000015047,
42.125,,Segment,3,16,Image 1,5,1,100000003,510000015060,
43.125,,Segment,3,3,Image 1,3,1,100000005,510000015094,
18.0625,,Segment,3,5,Image 1,2,1,100000003,510000015102,
46.125,,Segment,3,4,Image 1,2,1,100000003,510000015156,
25.0625,,Segment,3,2,Image 1,3,1,100000005,510000015185,
48.0625,,Segment,3,8,Image 1,6,1,100000003,510000015193,
43.125,,Segment,3,6,Image 1,4,1,100000003,510000015218,
