
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.351644,µm,Spine,1,1,1,100000004,610000017828,
0.354492,µm,Spine,0,1,1,100000004,610000017829,
0.324208,µm,Spine,1,1,1,100000004,610000017830,
0.248828,µm,Spine,0,1,1,100000004,610000017831,
0.257531,µm,Spine,8,6,1,100000005,610000017832,
0.239944,µm,Spine,8,6,1,100000005,610000017833,
0.386781,µm,Spine,3,2,1,100000005,610000017834,
0.284375,µm,Spine,3,2,1,100000005,610000017835,
0.174046,µm,Spine,3,3,1,100000005,610000017836,
0.297411,µm,Spine,3,3,1,100000005,610000017837,
0.238717,µm,Spine,2,3,1,100000005,610000017838,
0.279297,µm,Spine,0,1,1,100000005,610000017839,
0.30051,µm,Spine,0,1,1,100000005,610000017840,
0.4802,µm,Spine,0,1,1,100000005,610000017841,
0.234787,µm,Spine,2,1,1,100000005,610000017842,
0.418248,µm,Spine,1,1,1,100000005,610000017849,
0.233053,µm,Spine,2,2,1,100000005,610000017850,
0.273655,µm,Spine,1,1,1,100000005,610000017851,
0.373039,µm,Spine,1,1,1,100000005,610000017852,
0.1625,µm,Spine,0,1,1,100000005,610000017854,
0.31675,µm,Spine,0,1,1,100000005,610000017855,
0.300047,µm,Spine,2,1,1,100000005,610000017856,
0.30769,µm,Spine,0,1,1,100000005,610000017857,
0.259937,µm,Spine,0,1,1,100000005,610000017858,
0.273435,µm,Spine,0,1,1,100000005,610000017859,
