
Spine Center Intensity Min Ch=2 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
95,,Spine,2,0,Image 1,1,1,100000002,610000007194,
77,,Spine,2,0,Image 1,1,1,100000002,610000007209,
68,,Spine,2,6,Image 1,3,1,100000000,610000007258,
66,,Spine,2,6,Image 1,3,1,100000000,610000007259,
11,,Spine,2,5,Image 1,3,1,100000000,610000007260,
18,,Spine,2,5,Image 1,3,1,100000000,610000007261,
53,,Spine,2,5,Image 1,3,1,100000000,610000007262,
18,,Spine,2,4,Image 1,4,1,100000000,610000007263,
22,,Spine,2,2,Image 1,1,1,100000000,610000007264,
51,,Spine,2,0,Image 1,1,1,100000000,610000007265,
39,,Spine,2,0,Image 1,1,1,100000000,610000007266,
27,,Spine,2,0,Image 1,1,1,100000000,610000007267,
36,,Spine,2,7,Image 1,6,1,100000000,610000007271,
27,,Spine,2,7,Image 1,6,1,100000000,610000007272,
9,,Spine,2,10,Image 1,6,1,100000000,610000007273,
53,,Spine,2,9,Image 1,6,1,100000000,610000007274,
25,,Spine,2,5,Image 1,3,1,100000000,610000007275,
52,,Spine,2,4,Image 1,3,1,100000000,610000007276,
25,,Spine,2,4,Image 1,3,1,100000000,610000007277,
13,,Spine,2,4,Image 1,3,1,100000000,610000007278,
22,,Spine,2,5,Image 1,5,1,100000000,610000007279,
29,,Spine,2,5,Image 1,5,1,100000000,610000007280,
33,,Spine,2,4,Image 1,4,1,100000000,610000007281,
32,,Spine,2,2,Image 1,2,1,100000000,610000007282,
52,,Spine,2,13,Image 1,4,1,100000000,610000007283,
53,,Spine,2,13,Image 1,4,1,100000000,610000007284,
6,,Spine,2,20,Image 1,8,1,100000000,610000007285,
12,,Spine,2,19,Image 1,9,1,100000000,610000007286,
18,,Spine,2,16,Image 1,6,1,100000000,610000007287,
22,,Spine,2,15,Image 1,6,1,100000000,610000007288,
12,,Spine,2,15,Image 1,6,1,100000000,610000007289,
50,,Spine,2,15,Image 1,6,1,100000000,610000007290,
26,,Spine,2,17,Image 1,6,1,100000000,610000007291,
24,,Spine,2,16,Image 1,5,1,100000000,610000007292,
62,,Spine,2,13,Image 1,5,1,100000000,610000007293,
77,,Spine,2,12,Image 1,4,1,100000000,610000007294,
66,,Spine,2,12,Image 1,4,1,100000000,610000007295,
40,,Spine,2,12,Image 1,4,1,100000000,610000007296,
32,,Spine,2,14,Image 1,6,1,100000000,610000007297,
53,,Spine,2,13,Image 1,6,1,100000000,610000007298,
68,,Spine,2,13,Image 1,5,1,100000000,610000007299,
34,,Spine,2,12,Image 1,5,1,100000000,610000007300,
31,,Spine,2,12,Image 1,5,1,100000000,610000007301,
60,,Spine,2,9,Image 1,4,1,100000000,610000007302,
67,,Spine,2,9,Image 1,4,1,100000000,610000007303,
77,,Spine,2,9,Image 1,3,1,100000000,610000007304,
42,,Spine,2,6,Image 1,2,1,100000000,610000007305,
31,,Spine,2,4,Image 1,2,1,100000000,610000007306,
56,,Spine,2,3,Image 1,1,1,100000000,610000007307,
46,,Spine,2,2,Image 1,1,1,100000000,610000007308,
31,,Spine,2,3,Image 1,3,1,100000000,610000007309,
22,,Spine,2,2,Image 1,2,1,100000000,610000007310,
54,,Spine,2,1,Image 1,2,1,100000000,610000007311,
88,,Spine,2,0,Image 1,1,1,100000000,610000007312,
44,,Spine,2,4,Image 1,3,1,100000000,610000007314,
45,,Spine,2,4,Image 1,3,1,100000000,610000007315,
38,,Spine,2,5,Image 1,3,1,100000000,610000007316,
19,,Spine,2,5,Image 1,2,1,100000000,610000007317,
34,,Spine,2,3,Image 1,2,1,100000000,610000007318,
18,,Spine,2,3,Image 1,2,1,100000000,610000007319,
45,,Spine,2,2,Image 1,1,1,100000000,610000007320,
8,,Spine,2,1,Image 1,1,1,100000000,610000007321,
28,,Spine,2,3,Image 1,2,1,100000000,610000007322,
26,,Spine,2,3,Image 1,2,1,100000000,610000007323,
57,,Spine,2,3,Image 1,2,1,100000000,610000007324,
38,,Spine,2,2,Image 1,2,1,100000000,610000007325,
49,,Spine,2,2,Image 1,2,1,100000000,610000007326,
15,,Spine,2,0,Image 1,1,1,100000000,610000007327,
62,,Spine,2,0,Image 1,1,1,100000000,610000007332,
80,,Spine,2,0,Image 1,1,1,100000000,610000007334,
110,,Spine,2,0,Image 1,1,1,100000000,610000007335,
62,,Spine,2,0,Image 1,1,1,100000000,610000007336,
23,,Spine,2,3,Image 1,4,1,100000000,610000007338,
14,,Spine,2,1,Image 1,2,1,100000000,610000007339,
10,,Spine,2,9,Image 1,5,1,100000001,610000007341,
20,,Spine,2,8,Image 1,3,1,100000001,610000007342,
82,,Spine,2,8,Image 1,3,1,100000001,610000007343,
20,,Spine,2,7,Image 1,3,1,100000001,610000007344,
13,,Spine,2,8,Image 1,3,1,100000001,610000007345,
13,,Spine,2,8,Image 1,3,1,100000001,610000007346,
15,,Spine,2,6,Image 1,2,1,100000001,610000007347,
80,,Spine,2,5,Image 1,2,1,100000001,610000007348,
54,,Spine,2,3,Image 1,1,1,100000001,610000007349,
22,,Spine,2,3,Image 1,3,1,100000001,610000007350,
34,,Spine,2,3,Image 1,3,1,100000001,610000007351,
38,,Spine,2,3,Image 1,4,1,100000001,610000007352,
63,,Spine,2,2,Image 1,3,1,100000001,610000007353,
51,,Spine,2,2,Image 1,2,1,100000001,610000007354,
42,,Spine,2,0,Image 1,1,1,100000001,610000007366,
41,,Spine,2,0,Image 1,1,1,100000001,610000007367,
16,,Spine,2,3,Image 1,3,1,100000002,610000007368,
15,,Spine,2,2,Image 1,2,1,100000002,610000007369,
23,,Spine,2,2,Image 1,2,1,100000002,610000007370,
74,,Spine,2,1,Image 1,2,1,100000002,610000007371,
13,,Spine,2,10,Image 1,5,1,100000002,610000007372,
20,,Spine,2,9,Image 1,4,1,100000002,610000007373,
42,,Spine,2,9,Image 1,4,1,100000002,610000007374,
47,,Spine,2,8,Image 1,3,1,100000002,610000007375,
14,,Spine,2,9,Image 1,3,1,100000002,610000007376,
36,,Spine,2,9,Image 1,2,1,100000002,610000007377,
42,,Spine,2,6,Image 1,1,1,100000002,610000007378,
59,,Spine,2,6,Image 1,1,1,100000002,610000007379,
11,,Spine,2,4,Image 1,1,1,100000002,610000007380,
26,,Spine,2,4,Image 1,2,1,100000002,610000007381,
68,,Spine,2,4,Image 1,2,1,100000002,610000007382,
56,,Spine,2,2,Image 1,1,1,100000002,610000007383,
42,,Spine,2,2,Image 1,2,1,100000002,610000007384,
28,,Spine,2,2,Image 1,1,1,100000002,610000007387,
63,,Spine,2,2,Image 1,1,1,100000002,610000007388,
53,,Spine,2,1,Image 1,1,1,100000002,610000007389,
29,,Spine,2,1,Image 1,1,1,100000002,610000007390,
26,,Spine,2,0,Image 1,1,1,100000002,610000007391,
27,,Spine,2,5,Image 1,3,1,100000002,610000007400,
6,,Spine,2,5,Image 1,3,1,100000002,610000007401,
35,,Spine,2,5,Image 1,3,1,100000002,610000007402,
46,,Spine,2,8,Image 1,2,1,100000002,610000007403,
13,,Spine,2,8,Image 1,2,1,100000002,610000007404,
64,,Spine,2,8,Image 1,2,1,100000002,610000007405,
43,,Spine,2,8,Image 1,2,1,100000002,610000007406,
35,,Spine,2,12,Image 1,3,1,100000002,610000007407,
25,,Spine,2,12,Image 1,3,1,100000002,610000007408,
6,,Spine,2,9,Image 1,4,1,100000002,610000007409,
36,,Spine,2,8,Image 1,4,1,100000002,610000007410,
28,,Spine,2,6,Image 1,2,1,100000002,610000007411,
19,,Spine,2,6,Image 1,3,1,100000002,610000007412,
25,,Spine,2,6,Image 1,3,1,100000002,610000007413,
37,,Spine,2,3,Image 1,2,1,100000002,610000007414,
30,,Spine,2,9,Image 1,3,1,100000002,610000007415,
45,,Spine,2,9,Image 1,3,1,100000002,610000007416,
35,,Spine,2,8,Image 1,3,1,100000002,610000007417,
59,,Spine,2,8,Image 1,3,1,100000002,610000007418,
19,,Spine,2,7,Image 1,2,1,100000002,610000007419,
37,,Spine,2,7,Image 1,3,1,100000002,610000007420,
97,,Spine,2,5,Image 1,2,1,100000002,610000007421,
43,,Spine,2,4,Image 1,2,1,100000002,610000007422,
98,,Spine,2,4,Image 1,1,1,100000002,610000007423,
18,,Spine,2,3,Image 1,1,1,100000002,610000007424,
35,,Spine,2,2,Image 1,2,1,100000002,610000007425,
64,,Spine,2,2,Image 1,2,1,100000002,610000007426,
48,,Spine,2,2,Image 1,2,1,100000002,610000007427,
66,,Spine,2,2,Image 1,2,1,100000002,610000007428,
53,,Spine,2,0,Image 1,1,1,100000002,610000007429,
39,,Spine,2,0,Image 1,1,1,100000002,610000007430,
39,,Spine,2,0,Image 1,1,1,100000002,610000007431,
40,,Spine,2,7,Image 1,3,1,100000002,610000007432,
40,,Spine,2,5,Image 1,3,1,100000002,610000007433,
51,,Spine,2,5,Image 1,3,1,100000002,610000007434,
42,,Spine,2,5,Image 1,5,1,100000002,610000007435,
47,,Spine,2,5,Image 1,5,1,100000002,610000007436,
47,,Spine,2,4,Image 1,4,1,100000002,610000007437,
39,,Spine,2,1,Image 1,2,1,100000002,610000007438,
75,,Spine,2,2,Image 1,2,1,100000002,610000007439,
45,,Spine,2,6,Image 1,4,1,100000002,610000007440,
14,,Spine,2,6,Image 1,4,1,100000002,610000007441,
45,,Spine,2,7,Image 1,4,1,100000002,610000007442,
36,,Spine,2,7,Image 1,3,1,100000002,610000007443,
34,,Spine,2,6,Image 1,3,1,100000002,610000007444,
0,,Spine,2,0,Image 1,1,1,100000002,610000007445,
54,,Spine,2,0,Image 1,1,1,100000002,610000007446,
0,,Spine,2,0,Image 1,1,1,100000002,610000007447,
82,,Spine,2,0,Image 1,1,1,100000002,610000007448,
106,,Spine,2,0,Image 1,1,1,100000002,610000007449,
42,,Spine,2,0,Image 1,1,1,100000002,610000007450,
32,,Spine,2,1,Image 1,2,1,100000002,610000007451,
23,,Spine,2,10,Image 1,7,1,100000003,610000007454,
18,,Spine,2,10,Image 1,8,1,100000003,610000007455,
48,,Spine,2,10,Image 1,8,1,100000003,610000007456,
30,,Spine,2,10,Image 1,8,1,100000003,610000007457,
30,,Spine,2,10,Image 1,8,1,100000003,610000007458,
41,,Spine,2,9,Image 1,6,1,100000003,610000007459,
35,,Spine,2,7,Image 1,5,1,100000003,610000007460,
35,,Spine,2,7,Image 1,5,1,100000003,610000007461,
36,,Spine,2,6,Image 1,5,1,100000003,610000007462,
40,,Spine,2,6,Image 1,5,1,100000003,610000007463,
24,,Spine,2,6,Image 1,5,1,100000003,610000007464,
73,,Spine,2,5,Image 1,5,1,100000003,610000007465,
14,,Spine,2,7,Image 1,4,1,100000003,610000007466,
81,,Spine,2,8,Image 1,3,1,100000003,610000007467,
5,,Spine,2,7,Image 1,3,1,100000003,610000007468,
37,,Spine,2,6,Image 1,4,1,100000003,610000007469,
57,,Spine,2,2,Image 1,3,1,100000003,610000007470,
43,,Spine,2,1,Image 1,2,1,100000003,610000007471,
12,,Spine,2,4,Image 1,2,1,100000003,610000007472,
38,,Spine,2,2,Image 1,2,1,100000003,610000007473,
48,,Spine,2,1,Image 1,1,1,100000003,610000007474,
18,,Spine,2,1,Image 1,1,1,100000003,610000007475,
38,,Spine,2,1,Image 1,2,1,100000003,610000007476,
57,,Spine,2,1,Image 1,2,1,100000003,610000007477,
61,,Spine,2,1,Image 1,2,1,100000003,610000007478,
46,,Spine,2,0,Image 1,1,1,100000003,610000007481,
