
Spine Center Intensity Max Ch=1 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Spine,1,15,Image 1,6,1,100000000,610000007288,
4,,Spine,1,15,Image 1,6,1,100000000,610000007289,
1,,Spine,1,15,Image 1,6,1,100000000,610000007290,
2,,Spine,1,17,Image 1,6,1,100000000,610000007291,
1,,Spine,1,16,Image 1,5,1,100000000,610000007292,
2,,Spine,1,13,Image 1,5,1,100000000,610000007293,
2,,Spine,1,12,Image 1,4,1,100000000,610000007294,
1,,Spine,1,12,Image 1,4,1,100000000,610000007295,
1,,Spine,1,12,Image 1,4,1,100000000,610000007296,
3,,Spine,1,14,Image 1,6,1,100000000,610000007297,
13,,Spine,1,13,Image 1,6,1,100000000,610000007298,
1,,Spine,1,13,Image 1,5,1,100000000,610000007299,
8,,Spine,1,12,Image 1,5,1,100000000,610000007300,
2,,Spine,1,12,Image 1,5,1,100000000,610000007301,
6,,Spine,1,9,Image 1,4,1,100000000,610000007302,
5,,Spine,1,9,Image 1,4,1,100000000,610000007303,
4,,Spine,1,9,Image 1,3,1,100000000,610000007304,
1,,Spine,1,6,Image 1,2,1,100000000,610000007305,
1,,Spine,1,4,Image 1,2,1,100000000,610000007306,
3,,Spine,1,3,Image 1,1,1,100000000,610000007307,
1,,Spine,1,2,Image 1,1,1,100000000,610000007308,
1,,Spine,1,3,Image 1,3,1,100000000,610000007309,
1,,Spine,1,2,Image 1,2,1,100000000,610000007310,
4,,Spine,1,1,Image 1,2,1,100000000,610000007311,
12,,Spine,1,0,Image 1,1,1,100000000,610000007312,
3,,Spine,1,4,Image 1,3,1,100000000,610000007314,
1,,Spine,1,4,Image 1,3,1,100000000,610000007315,
53,,Spine,1,5,Image 1,3,1,100000000,610000007316,
7,,Spine,1,5,Image 1,2,1,100000000,610000007317,
3,,Spine,1,3,Image 1,2,1,100000000,610000007318,
2,,Spine,1,3,Image 1,2,1,100000000,610000007319,
4,,Spine,1,2,Image 1,1,1,100000000,610000007320,
