
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1464.11,µm,Segment,Segment Position,2,1,1,100000000,510000001556,
1464.19,µm,Segment,Segment Position,1,1,1,100000000,510000001558,
1464.13,µm,Segment,Segment Position,0,1,1,100000000,510000001587,
1465.61,µm,Segment,Segment Position,8,4,1,100000000,510000001605,
1465.95,µm,Segment,Segment Position,7,4,1,100000000,510000001610,
1466.23,µm,Segment,Segment Position,6,4,1,100000000,510000001623,
1465.33,µm,Segment,Segment Position,5,3,1,100000000,510000001637,
1464.69,µm,Segment,Segment Position,4,3,1,100000000,510000001650,
1464.65,µm,Segment,Segment Position,3,3,1,100000000,510000001653,
1464.46,µm,Segment,Segment Position,2,2,1,100000000,510000001664,
1464.23,µm,Segment,Segment Position,1,2,1,100000000,510000001668,
1464.32,µm,Segment,Segment Position,0,1,1,100000000,510000001702,
1464.02,µm,Segment,Segment Position,13,6,1,100000000,510000001714,
1465.83,µm,Segment,Segment Position,8,5,1,100000000,510000001717,
1465.92,µm,Segment,Segment Position,7,5,1,100000000,510000001725,
1464.42,µm,Segment,Segment Position,7,4,1,100000000,510000001733,
1464.65,µm,Segment,Segment Position,6,4,1,100000000,510000001736,
1464.76,µm,Segment,Segment Position,5,4,1,100000000,510000001755,
1464.69,µm,Segment,Segment Position,6,5,1,100000000,510000001763,
1463.66,µm,Segment,Segment Position,12,6,1,100000000,510000001766,
1464.46,µm,Segment,Segment Position,7,5,1,100000000,510000001768,
1466.98,µm,Segment,Segment Position,1,2,1,100000002,510000001812,
1467.51,µm,Segment,Segment Position,0,1,1,100000002,510000001866,
1466.13,µm,Segment,Segment Position,6,3,1,100000000,510000001872,
1463.94,µm,Segment,Segment Position,11,4,1,100000000,510000001891,
1464.29,µm,Segment,Segment Position,6,5,1,100000000,510000001893,
1464.5,µm,Segment,Segment Position,5,4,1,100000000,510000001908,
