
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
38.0312,,Spine,2,7,Image 1,3,1,100000002,610000002594,
9.0625,,Spine,2,2,Image 1,2,1,100000002,610000002596,
40.0625,,Spine,2,1,Image 1,1,1,100000000,610000002602,
18.0625,,Spine,2,1,Image 1,1,1,100000001,610000002605,
17.0078,,Spine,2,2,Image 1,2,1,100000000,610000002607,
17.0625,,Spine,2,3,Image 1,2,1,100000000,610000002609,
103.562,,Spine,2,0,Image 1,1,1,100000000,610000002617,
24.0312,,Spine,2,7,Image 1,4,1,100000002,610000002619,
47.5625,,Spine,2,0,Image 1,1,1,100000001,610000002622,
14.5312,,Spine,2,1,Image 1,2,1,100000001,610000002625,
35.0625,,Spine,2,5,Image 1,3,1,100000002,610000002629,
30.0312,,Spine,2,6,Image 1,3,1,100000002,610000002632,
47.0078,,Spine,2,0,Image 1,1,1,100000000,610000002637,
39.0625,,Spine,2,0,Image 1,1,1,100000000,610000002640,
28.0156,,Spine,2,7,Image 1,3,1,100000000,610000002642,
33.0625,,Spine,2,3,Image 1,1,1,100000002,610000002646,
22.125,,Spine,2,0,Image 1,1,1,100000002,610000002648,
34.0078,,Spine,2,7,Image 1,3,1,100000000,610000002650,
60.0625,,Spine,2,1,Image 1,1,1,100000000,610000002655,
67.0625,,Spine,2,3,Image 1,2,1,100000002,610000002661,
51.0156,,Spine,2,0,Image 1,1,1,100000000,610000002666,
30.0625,,Spine,2,6,Image 1,4,1,100000002,610000002668,
29.0625,,Spine,2,2,Image 1,2,1,100000002,610000002671,
78.125,,Spine,2,0,Image 1,1,1,100000002,610000002674,
37.0156,,Spine,2,0,Image 1,1,1,100000001,610000002678,
23.0625,,Spine,2,7,Image 1,4,1,100000002,610000002680,
20.0312,,Spine,2,7,Image 1,3,1,100000002,610000002682,
18.0078,,Spine,2,0,Image 1,1,1,100000000,610000002684,
28.0078,,Spine,2,2,Image 1,3,1,100000001,610000002686,
24.0625,,Spine,2,7,Image 1,3,1,100000002,610000002688,
12.0156,,Spine,2,4,Image 1,2,1,100000002,610000002691,
24.0156,,Spine,2,4,Image 1,3,1,100000000,610000002695,
35.0312,,Spine,2,0,Image 1,1,1,100000001,610000002697,
21.5625,,Spine,2,3,Image 1,1,1,100000002,610000002700,
15.0625,,Spine,2,1,Image 1,2,1,100000000,610000002702,
17.0625,,Spine,2,4,Image 1,3,1,100000002,610000002704,
25.0312,,Spine,2,5,Image 1,3,1,100000001,610000002707,
33.5625,,Spine,2,0,Image 1,1,1,100000002,610000002713,
88.0156,,Spine,2,0,Image 1,1,1,100000000,610000002725,
79.0312,,Spine,2,0,Image 1,1,1,100000000,610000002733,
30.0156,,Spine,2,5,Image 1,3,1,100000002,610000002735,
30.125,,Spine,2,4,Image 1,2,1,100000002,610000002737,
35.5156,,Spine,2,6,Image 1,3,1,100000002,610000002740,
26.0156,,Spine,2,2,Image 1,3,1,100000001,610000002742,
34.0312,,Spine,2,3,Image 1,1,1,100000001,610000002744,
