
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
24,,Segment,3,1,Image 1,2,1,100000002,510000001648,
79,,Segment,3,0,Image 1,1,1,100000002,510000001669,
39,,Segment,3,0,Image 1,1,1,100000002,510000001688,
45,,Segment,3,0,Image 1,1,1,100000000,510000001691,
28,,Segment,3,0,Image 1,1,1,100000001,510000001701,
30,,Segment,3,0,Image 1,1,1,100000000,510000001721,
55,,Segment,3,0,Image 1,1,1,100000002,510000001739,
50,,Segment,3,0,Image 1,1,1,100000002,510000001746,
27,,Segment,3,4,Image 1,2,1,100000000,510000001754,
0,,Segment,3,5,Image 1,3,1,100000000,510000001755,
51,,Segment,3,3,Image 1,4,1,100000000,510000001756,
33,,Segment,3,3,Image 1,2,1,100000001,510000001762,
52,,Segment,3,3,Image 1,1,1,100000002,510000001766,
135,,Segment,3,3,Image 1,2,1,100000002,510000001767,
97,,Segment,3,3,Image 1,2,1,100000002,510000001768,
32,,Segment,3,2,Image 1,2,1,100000002,510000001773,
