
Spine Part Volume
 ==================== 
Spine Part Volume Ground,Spine Part Volume Head,Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0199783,0.00704457,0,µm^3,Spine,Spine Part Volume,10,4,1,100000000,610000005793,
0.00658793,0.0013294,0,µm^3,Spine,Spine Part Volume,11,3,1,100000000,610000005808,
0.0186785,0.0019452,0.00668469,µm^3,Spine,Spine Part Volume,11,5,1,100000000,610000005312,
0.00887411,0.0012039,0.00339529,µm^3,Spine,Spine Part Volume,11,5,1,100000003,610000005453,
0.0159734,0.00449924,0,µm^3,Spine,Spine Part Volume,11,5,1,100000000,610000005792,
0.0107241,0.00168278,0,µm^3,Spine,Spine Part Volume,11,5,1,100000003,610000005863,
0.0208252,0.00919153,0.00537261,µm^3,Spine,Spine Part Volume,12,6,1,100000003,610000005439,
0.011682,0.00428537,0,µm^3,Spine,Spine Part Volume,12,6,1,100000003,610000005862,
0.0264464,0.00433715,0.00754807,µm^3,Spine,Spine Part Volume,13,5,1,100000003,610000005274,
0.0269849,0.00578204,0,µm^3,Spine,Spine Part Volume,13,5,1,100000003,610000005339,
0.0268019,0.0106128,0,µm^3,Spine,Spine Part Volume,13,5,1,100000003,610000005860,
0.0205113,0.00532033,0,µm^3,Spine,Spine Part Volume,13,5,1,100000003,610000005861,
0.0101563,0.00324649,0,µm^3,Spine,Spine Part Volume,13,7,1,100000000,610000005791,
0.0069139,0.00112339,0,µm^3,Spine,Spine Part Volume,14,5,1,100000003,610000005859,
0.0125461,0.00379142,0,µm^3,Spine,Spine Part Volume,14,8,1,100000000,610000005790,
0.0156646,0.00218752,0,µm^3,Spine,Spine Part Volume,2,1,1,100000001,610000005577,
0.0378613,0.0116015,0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000005579,
0.0109847,0.00141915,0.00386613,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000005613,
0.00933381,0.00379464,0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000005819,
0.0070792,0.00529863,0.00595311,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000005370,
0.0261967,0.00186483,0.00575096,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000005373,
0.061183,0.0107749,0,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000005556,
0.0153496,0.00605263,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000005788,
0.0362833,0.0154669,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000005803,
0.00341907,0.00112339,0,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000005846,
0.0170303,0.0025946,0,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000005886,
0.0122936,0.00379142,0,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000005887,
0.0319661,0.0156598,0,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000005888,
0.00929046,0.00112339,0,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000005898,
0.00798075,0.00186482,0,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000005907,
0.01548,0.00395072,0,µm^3,Spine,Spine Part Volume,2,3,1,100000000,610000005392,
0.0163045,0.00598426,0,µm^3,Spine,Spine Part Volume,2,3,1,100000000,610000005778,
0.0291978,0.0139294,0,µm^3,Spine,Spine Part Volume,2,3,1,100000000,610000005779,
0.0198103,0.00865142,0,µm^3,Spine,Spine Part Volume,2,3,1,100000000,610000005780,
0.0201709,0.00561953,0.00929712,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000005327,
0.0179018,0.00137698,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000005359,
0.0240614,0.00123203,0.0056327,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000005382,
0.0275309,0.00188496,0.00596553,µm^3,Spine,Spine Part Volume,3,1,1,100000003,610000005388,
0.0401727,0.00541953,0,µm^3,Spine,Spine Part Volume,3,1,1,100000003,610000005396,
