
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
59.6667,,Segment,1,3,Image 1,2,1,100000003,510000002068,
47.6957,,Segment,1,2,Image 1,1,1,100000000,510000002090,
121,,Segment,1,1,Image 1,1,1,100000000,510000002098,
55.3846,,Segment,1,0,Image 1,1,1,100000001,510000002127,
63.2857,,Segment,1,1,Image 1,2,1,100000001,510000002154,
58,,Segment,1,2,Image 1,2,1,100000000,510000002168,
92.6,,Segment,1,1,Image 1,1,1,100000001,510000002174,
101.111,,Segment,1,1,Image 1,1,1,100000000,510000002183,
106.067,,Segment,1,0,Image 1,1,1,100000000,510000002197,
35.5,,Segment,1,0,Image 1,1,1,100000000,510000002205,
32.6667,,Segment,1,1,Image 1,2,1,100000000,510000002207,
60.25,,Segment,1,0,Image 1,1,1,100000000,510000002212,
86.5,,Segment,1,0,Image 1,1,1,100000000,510000002239,
78,,Segment,1,1,Image 1,2,1,100000000,510000002251,
133.2,,Segment,1,0,Image 1,1,1,100000000,510000002255,
95.6667,,Segment,1,1,Image 1,1,1,100000000,510000002258,
119.556,,Segment,1,0,Image 1,1,1,100000001,510000002288,
48.5,,Segment,1,2,Image 1,2,1,100000000,510000002289,
27.5,,Segment,1,1,Image 1,2,1,100000002,510000002293,
46,,Segment,1,1,Image 1,1,1,100000002,510000002294,
106.5,,Segment,1,0,Image 1,1,1,100000002,510000002295,
98,,Segment,1,4,Image 1,3,1,100000003,510000002296,
78.5,,Segment,1,1,Image 1,1,1,100000003,510000002297,
