
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.991648,,Segment,4,4,1,100000006,510000001326,
0.978762,,Segment,2,3,1,100000006,510000001329,
0.77506,,Segment,5,3,1,100000004,510000001362,
0.924579,,Segment,3,3,1,100000004,510000001387,
0.978868,,Segment,2,3,1,100000004,510000001400,
0.97717,,Segment,1,2,1,100000004,510000001404,
1,,Segment,0,1,1,100000004,510000001406,
0.980241,,Segment,5,5,1,100000004,510000001435,
0.901544,,Segment,4,4,1,100000004,510000001446,
0.998321,,Segment,5,4,1,100000004,510000001448,
0.969626,,Segment,5,4,1,100000004,510000001455,
0.707339,,Segment,10,4,1,100000003,510000001505,
0.929424,,Segment,9,4,1,100000003,510000001519,
0.903473,,Segment,8,3,1,100000003,510000001534,
0.914125,,Segment,10,5,1,100000003,510000001541,
0.960079,,Segment,1,2,1,100000005,510000001550,
0.973866,,Segment,0,1,1,100000005,510000001583,
0.992692,,Segment,1,1,1,100000005,510000001605,
0.835333,,Segment,8,3,1,100000001,510000001627,
0.995423,,Segment,7,3,1,100000001,510000001631,
0.95651,,Segment,6,3,1,100000001,510000001667,
0.984042,,Segment,5,3,1,100000001,510000001671,
0.986636,,Segment,4,3,1,100000001,510000001679,
0.992128,,Segment,3,2,1,100000001,510000001691,
0.980655,,Segment,2,1,1,100000001,510000001705,
0.971317,,Segment,1,1,1,100000001,510000001713,
0.959453,,Segment,0,1,1,100000001,510000001725,
0.807522,,Segment,4,4,1,100000001,510000001764,
0.646257,,Segment,3,3,1,100000001,510000001812,
0.978262,,Segment,1,1,1,100000001,510000001826,
0.950672,,Segment,0,1,1,100000001,510000001872,
0.838632,,Segment,4,3,1,100000001,510000001885,
0.947757,,Segment,1,2,1,100000006,510000001916,
0.947586,,Segment,0,1,1,100000006,510000001935,
0.941768,,Segment,1,1,1,100000006,510000001953,
0.968347,,Segment,6,4,1,100000001,510000001962,
0.996018,,Segment,5,4,1,100000001,510000001970,
0.848955,,Segment,8,4,1,100000001,510000002010,
0.987175,,Segment,7,3,1,100000001,510000002017,
0.984536,,Segment,6,3,1,100000001,510000002026,
0.798551,,Segment,5,2,1,100000001,510000002055,
0.994813,,Segment,4,2,1,100000001,510000002062,
0.915015,,Segment,3,2,1,100000001,510000002084,
0.9678,,Segment,1,1,1,100000001,510000002091,
0.997954,,Segment,0,1,1,100000001,510000002106,
0.964119,,Segment,8,3,1,100000001,510000002132,
0.980342,,Segment,7,4,1,100000001,510000002136,
0.922567,,Segment,5,3,1,100000002,510000002161,
0.965315,,Segment,4,2,1,100000002,510000002176,
0.955091,,Segment,3,1,1,100000002,510000002180,
0.949408,,Segment,2,1,1,100000002,510000002193,
0.930139,,Segment,1,1,1,100000002,510000002223,
1,,Segment,0,1,1,100000002,510000002250,
0.888001,,Segment,2,2,1,100000005,510000002257,
0.65622,,Segment,1,2,1,100000005,510000002273,
0.948275,,Segment,5,3,1,100000001,510000002293,
0.941907,,Segment,4,2,1,100000001,510000002310,
0.978593,,Segment,5,2,1,100000001,510000002323,
0.940567,,Segment,17,4,1,100000003,510000002335,
0.842705,,Segment,15,4,1,100000003,510000002348,
0.938132,,Segment,14,3,1,100000003,510000002379,
0.839021,,Segment,13,3,1,100000003,510000002426,
0.995251,,Segment,17,5,1,100000003,510000002429,
0.988875,,Segment,16,5,1,100000003,510000002431,
0.742366,,Segment,14,2,1,100000001,510000002445,
0.918683,,Segment,13,2,1,100000001,510000002467,
0.89682,,Segment,12,1,1,100000001,510000002504,
0.993327,,Segment,11,1,1,100000001,510000002508,
0.997376,,Segment,9,1,1,100000001,510000002511,
0.99505,,Segment,8,1,1,100000001,510000002521,
0.986181,,Segment,7,1,1,100000001,510000002524,
0.983659,,Segment,6,1,1,100000001,510000002531,
0.997968,,Segment,5,1,1,100000001,510000002534,
0.952792,,Segment,4,1,1,100000001,510000002556,
0.973414,,Segment,3,1,1,100000001,510000002578,
0.98429,,Segment,14,3,1,100000001,510000002580,
0.980864,,Segment,6,2,1,100000002,510000002592,
0.987764,,Segment,5,1,1,100000002,510000002600,
0.936958,,Segment,4,1,1,100000002,510000002621,
0.99736,,Segment,6,1,1,100000002,510000002623,
0.993243,,Segment,6,2,1,100000002,510000002626,
0.996656,,Segment,6,3,1,100000002,510000002632,
0.95917,,Segment,5,2,1,100000002,510000002650,
0.999693,,Segment,4,1,1,100000002,510000002652,
0.947597,,Segment,3,1,1,100000002,510000002658,
0.960895,,Segment,2,1,1,100000002,510000002678,
0.965101,,Segment,1,1,1,100000002,510000002696,
0.961026,,Segment,0,1,1,100000002,510000002719,
0.970153,,Segment,6,2,1,100000002,510000002723,
0.996644,,Segment,4,2,1,100000002,510000002725,
0.880002,,Segment,15,5,1,100000003,510000002731,
0.930596,,Segment,9,5,1,100000001,510000002758,
0.999938,,Segment,8,4,1,100000001,510000002760,
0.847473,,Segment,7,4,1,100000001,510000002787,
0.980523,,Segment,8,5,1,100000001,510000002790,
0.984321,,Segment,9,4,1,100000001,510000002793,
0.974464,,Segment,8,4,1,100000001,510000002800,
0.991171,,Segment,6,4,1,100000001,510000002807,
0.990941,,Segment,15,3,1,100000003,510000002810,
0.927618,,Segment,1,2,1,100000005,510000002830,
0.869775,,Segment,0,1,1,100000005,510000002944,
0.857425,,Segment,15,5,1,100000003,510000003004,
0.970511,,Segment,14,5,1,100000003,510000003015,
0.996755,,Segment,13,4,1,100000003,510000003020,
0.865579,,Segment,12,4,1,100000003,510000003039,
0.663925,,Segment,1,1,1,100000005,510000003052,
