
Spine Neck Max Diameter
 ==================== 
Spine Neck Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.68723,µm,Spine,3,2,1,100000002,610000007194,
1.20877,µm,Spine,0,1,1,100000004,610000007198,
1.66791,µm,Spine,2,1,1,100000004,610000007204,
1.27395,µm,Spine,0,1,1,100000002,610000007206,
0.416667,µm,Spine,4,1,1,100000002,610000007208,
0.886758,µm,Spine,0,1,1,100000005,610000007211,
0.747658,µm,Spine,0,1,1,100000004,610000007215,
0.578574,µm,Spine,0,1,1,100000001,610000007217,
0.73748,µm,Spine,1,1,1,100000005,610000007219,
1.02781,µm,Spine,3,3,1,100000002,610000007221,
0.525716,µm,Spine,5,4,1,100000006,610000007226,
0.432694,µm,Spine,0,1,1,100000006,610000007229,
0.887408,µm,Spine,10,2,1,100000006,610000007233,
0.716553,µm,Spine,7,2,1,100000001,610000007236,
0,µm,Spine,0,1,1,100000002,610000007238,
0,µm,Spine,0,1,1,100000006,610000007240,
1.48132,µm,Spine,5,2,1,100000002,610000007242,
0.893682,µm,Spine,7,4,1,100000001,610000007244,
1.26486,µm,Spine,0,1,1,100000004,610000007246,
0,µm,Spine,0,1,1,100000002,610000007251,
1.56629,µm,Spine,7,4,1,100000006,610000007255,
1.35654,µm,Spine,6,3,1,100000006,610000007258,
0.783297,µm,Spine,5,3,1,100000001,610000007261,
0.584798,µm,Spine,3,2,1,100000004,610000007265,
0.766518,µm,Spine,1,1,1,100000002,610000007267,
1.23719,µm,Spine,12,1,1,100000001,610000007269,
1.35123,µm,Spine,1,1,1,100000002,610000007271,
0,µm,Spine,0,1,1,100000006,610000007273,
0,µm,Spine,0,1,1,100000006,610000007275,
0.792954,µm,Spine,5,2,1,100000002,610000007277,
0.908915,µm,Spine,2,2,1,100000004,610000007281,
0,µm,Spine,0,1,1,100000006,610000007284,
0.857033,µm,Spine,3,3,1,100000001,610000007286,
1.41978,µm,Spine,1,1,1,100000005,610000007288,
0.982554,µm,Spine,1,2,1,100000001,610000007291,
0.983073,µm,Spine,1,1,1,100000002,610000007294,
0.516995,µm,Spine,8,3,1,100000001,610000007296,
0.579427,µm,Spine,0,1,1,100000001,610000007298,
0.902466,µm,Spine,2,2,1,100000004,610000007300,
0,µm,Spine,1,1,1,100000000,610000007304,
