
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15,,Spine,2,0,Image 1,1,1,100000002,610000007475,
16,,Spine,2,1,Image 1,2,1,100000002,610000007479,
4,,Spine,2,1,Image 1,2,1,100000004,610000007485,
11,,Spine,2,0,Image 1,1,1,100000006,610000007492,
11,,Spine,2,0,Image 1,1,1,100000002,610000007495,
23,,Spine,2,0,Image 1,1,1,100000002,610000007504,
7,,Spine,2,2,Image 1,3,1,100000002,610000007506,
9,,Spine,2,0,Image 1,1,1,100000002,610000007510,
26,,Spine,2,0,Image 1,1,1,100000001,610000007513,
2,,Spine,2,5,Image 1,3,1,100000001,610000007515,
3,,Spine,2,2,Image 1,1,1,100000002,610000007519,
10,,Spine,2,6,Image 1,2,1,100000001,610000007522,
31,,Spine,2,0,Image 1,1,1,100000001,610000007528,
14,,Spine,2,1,Image 1,2,1,100000004,610000007530,
22,,Spine,2,2,Image 1,2,1,100000002,610000007534,
15,,Spine,2,3,Image 1,2,1,100000002,610000007551,
11,,Spine,2,0,Image 1,1,1,100000002,610000007553,
22,,Spine,2,2,Image 1,2,1,100000004,610000007556,
16,,Spine,2,1,Image 1,2,1,100000002,610000007559,
7,,Spine,2,0,Image 1,1,1,100000002,610000007564,
18,,Spine,2,5,Image 1,4,1,100000006,610000007566,
4,,Spine,2,9,Image 1,3,1,100000001,610000007569,
24,,Spine,2,0,Image 1,1,1,100000002,610000007573,
11,,Spine,2,1,Image 1,2,1,100000004,610000007581,
14,,Spine,2,2,Image 1,2,1,100000006,610000007589,
43,,Spine,2,3,Image 1,2,1,100000002,610000007599,
28,,Spine,2,3,Image 1,2,1,100000002,610000007607,
11,,Spine,2,0,Image 1,1,1,100000002,610000007615,
48,,Spine,2,0,Image 1,1,1,100000002,610000007620,
10,,Spine,2,1,Image 1,1,1,100000002,610000007626,
9,,Spine,2,0,Image 1,1,1,100000002,610000007645,
20,,Spine,2,0,Image 1,1,1,100000002,610000007653,
12,,Spine,2,2,Image 1,1,1,100000002,610000007677,
12,,Spine,2,3,Image 1,3,1,100000006,610000007687,
11,,Spine,2,1,Image 1,1,1,100000000,610000007708,
2,,Spine,2,0,Image 1,1,1,100000000,610000007709,
4,,Spine,2,0,Image 1,1,1,100000000,610000007710,
3,,Spine,2,0,Image 1,1,1,100000000,610000007711,
9,,Spine,2,0,Image 1,1,1,100000000,610000007712,
5,,Spine,2,0,Image 1,1,1,100000000,610000007713,
11,,Spine,2,3,Image 1,2,1,100000001,610000007720,
13,,Spine,2,3,Image 1,2,1,100000001,610000007721,
8,,Spine,2,4,Image 1,2,1,100000001,610000007722,
6,,Spine,2,3,Image 1,3,1,100000001,610000007723,
2,,Spine,2,2,Image 1,2,1,100000001,610000007724,
27,,Spine,2,2,Image 1,3,1,100000001,610000007725,
6,,Spine,2,2,Image 1,3,1,100000001,610000007726,
16,,Spine,2,2,Image 1,3,1,100000001,610000007727,
3,,Spine,2,2,Image 1,3,1,100000001,610000007728,
2,,Spine,2,7,Image 1,3,1,100000001,610000007729,
0,,Spine,2,5,Image 1,2,1,100000001,610000007730,
15,,Spine,2,5,Image 1,3,1,100000001,610000007731,
2,,Spine,2,3,Image 1,2,1,100000001,610000007732,
1,,Spine,2,5,Image 1,3,1,100000001,610000007735,
6,,Spine,2,2,Image 1,2,1,100000001,610000007736,
9,,Spine,2,2,Image 1,2,1,100000001,610000007737,
12,,Spine,2,7,Image 1,2,1,100000001,610000007738,
2,,Spine,2,7,Image 1,2,1,100000001,610000007739,
6,,Spine,2,8,Image 1,5,1,100000001,610000007740,
10,,Spine,2,8,Image 1,5,1,100000001,610000007741,
8,,Spine,2,6,Image 1,3,1,100000001,610000007742,
16,,Spine,2,3,Image 1,2,1,100000001,610000007743,
4,,Spine,2,4,Image 1,1,1,100000001,610000007744,
17,,Spine,2,3,Image 1,1,1,100000001,610000007745,
12,,Spine,2,2,Image 1,1,1,100000001,610000007746,
16,,Spine,2,1,Image 1,2,1,100000001,610000007747,
26,,Spine,2,1,Image 1,1,1,100000001,610000007748,
11,,Spine,2,8,Image 1,3,1,100000001,610000007751,
5,,Spine,2,7,Image 1,4,1,100000001,610000007752,
1,,Spine,2,6,Image 1,3,1,100000001,610000007753,
9,,Spine,2,6,Image 1,3,1,100000001,610000007754,
2,,Spine,2,5,Image 1,3,1,100000001,610000007755,
2,,Spine,2,5,Image 1,3,1,100000001,610000007756,
4,,Spine,2,14,Image 1,2,1,100000001,610000007757,
3,,Spine,2,13,Image 1,2,1,100000001,610000007758,
6,,Spine,2,13,Image 1,1,1,100000001,610000007759,
6,,Spine,2,8,Image 1,1,1,100000001,610000007760,
11,,Spine,2,12,Image 1,5,1,100000001,610000007761,
10,,Spine,2,10,Image 1,4,1,100000001,610000007762,
0,,Spine,2,8,Image 1,2,1,100000001,610000007763,
6,,Spine,2,0,Image 1,1,1,100000001,610000007764,
7,,Spine,2,4,Image 1,4,1,100000001,610000007772,
7,,Spine,2,3,Image 1,3,1,100000001,610000007773,
13,,Spine,2,3,Image 1,3,1,100000001,610000007774,
9,,Spine,2,3,Image 1,2,1,100000001,610000007775,
14,,Spine,2,1,Image 1,1,1,100000001,610000007776,
10,,Spine,2,1,Image 1,1,1,100000001,610000007777,
12,,Spine,2,0,Image 1,1,1,100000001,610000007778,
12,,Spine,2,0,Image 1,1,1,100000001,610000007779,
33,,Spine,2,0,Image 1,1,1,100000001,610000007785,
9,,Spine,2,4,Image 1,2,1,100000002,610000007786,
8,,Spine,2,3,Image 1,3,1,100000002,610000007787,
4,,Spine,2,3,Image 1,3,1,100000002,610000007788,
1,,Spine,2,3,Image 1,3,1,100000002,610000007789,
2,,Spine,2,2,Image 1,2,1,100000002,610000007790,
30,,Spine,2,3,Image 1,2,1,100000002,610000007791,
30,,Spine,2,3,Image 1,2,1,100000002,610000007792,
7,,Spine,2,1,Image 1,1,1,100000002,610000007793,
6,,Spine,2,1,Image 1,1,1,100000002,610000007794,
1,,Spine,2,2,Image 1,2,1,100000002,610000007795,
8,,Spine,2,2,Image 1,3,1,100000002,610000007796,
12,,Spine,2,1,Image 1,2,1,100000002,610000007797,
4,,Spine,2,1,Image 1,1,1,100000002,610000007799,
2,,Spine,2,0,Image 1,1,1,100000002,610000007800,
2,,Spine,2,0,Image 1,1,1,100000002,610000007801,
10,,Spine,2,0,Image 1,1,1,100000002,610000007802,
5,,Spine,2,0,Image 1,1,1,100000002,610000007803,
10,,Spine,2,6,Image 1,2,1,100000002,610000007804,
