
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
13,,Segment,4,5,Image 1,2,1,100000001,510000002323,
18,,Segment,4,17,Image 1,4,1,100000003,510000002335,
7,,Segment,4,15,Image 1,4,1,100000003,510000002348,
129,,Segment,4,14,Image 1,3,1,100000003,510000002379,
54,,Segment,4,13,Image 1,3,1,100000003,510000002426,
3,,Segment,4,17,Image 1,5,1,100000003,510000002429,
0,,Segment,4,16,Image 1,5,1,100000003,510000002431,
16,,Segment,4,14,Image 1,2,1,100000001,510000002445,
28,,Segment,4,13,Image 1,2,1,100000001,510000002467,
27,,Segment,4,12,Image 1,1,1,100000001,510000002504,
0,,Segment,4,11,Image 1,1,1,100000001,510000002508,
4,,Segment,4,9,Image 1,1,1,100000001,510000002511,
48,,Segment,4,8,Image 1,1,1,100000001,510000002521,
11,,Segment,4,7,Image 1,1,1,100000001,510000002524,
9,,Segment,4,6,Image 1,1,1,100000001,510000002531,
2,,Segment,4,5,Image 1,1,1,100000001,510000002534,
14,,Segment,4,4,Image 1,1,1,100000001,510000002556,
38,,Segment,4,3,Image 1,1,1,100000001,510000002578,
4,,Segment,4,14,Image 1,3,1,100000001,510000002580,
8,,Segment,4,6,Image 1,2,1,100000002,510000002592,
2,,Segment,4,5,Image 1,1,1,100000002,510000002600,
14,,Segment,4,4,Image 1,1,1,100000002,510000002621,
0,,Segment,4,6,Image 1,1,1,100000002,510000002623,
2,,Segment,4,6,Image 1,2,1,100000002,510000002626,
3,,Segment,4,6,Image 1,3,1,100000002,510000002632,
11,,Segment,4,5,Image 1,2,1,100000002,510000002650,
2,,Segment,4,4,Image 1,1,1,100000002,510000002652,
5,,Segment,4,3,Image 1,1,1,100000002,510000002658,
31,,Segment,4,2,Image 1,1,1,100000002,510000002678,
10,,Segment,4,1,Image 1,1,1,100000002,510000002696,
1,,Segment,4,0,Image 1,1,1,100000002,510000002719,
3,,Segment,4,6,Image 1,2,1,100000002,510000002723,
1,,Segment,4,4,Image 1,2,1,100000002,510000002725,
2,,Segment,4,15,Image 1,5,1,100000003,510000002731,
51,,Segment,4,9,Image 1,5,1,100000001,510000002758,
2,,Segment,4,8,Image 1,4,1,100000001,510000002760,
