
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
6,,Segment,6,2,1,100000002,510000004303,
5,,Segment,5,1,1,100000002,510000004306,
4,,Segment,4,1,1,100000002,510000004311,
3,,Segment,3,1,1,100000002,510000004316,
2,,Segment,2,1,1,100000002,510000004329,
1,,Segment,1,1,1,100000002,510000004331,
0,,Segment,0,1,1,100000002,510000004357,
11,,Segment,11,2,1,100000001,510000004374,
3,,Segment,3,3,1,100000003,510000004408,
2,,Segment,2,3,1,100000001,510000004464,
2,,Segment,2,2,1,100000000,510000004479,
1,,Segment,1,1,1,100000000,510000004483,
0,,Segment,0,1,1,100000000,510000004497,
8,,Segment,8,3,1,100000002,510000004560,
5,,Segment,5,3,1,100000001,510000004563,
1,,Segment,1,2,1,100000005,510000004575,
6,,Segment,6,3,1,100000003,510000004577,
1,,Segment,1,1,1,100000006,510000004599,
9,,Segment,9,2,1,100000001,510000004604,
6,,Segment,6,2,1,100000001,510000004615,
2,,Segment,2,1,1,100000000,510000004626,
11,,Segment,11,2,1,100000002,510000004632,
3,,Segment,3,2,1,100000004,510000004641,
2,,Segment,2,2,1,100000004,510000004667,
1,,Segment,1,2,1,100000004,510000004673,
0,,Segment,0,1,1,100000004,510000004685,
1,,Segment,1,1,1,100000005,510000004751,
3,,Segment,3,2,1,100000001,510000004764,
4,,Segment,4,3,1,100000003,510000004770,
4,,Segment,4,4,1,100000006,510000004796,
4,,Segment,4,3,1,100000001,510000004802,
8,,Segment,8,2,1,100000001,510000004806,
5,,Segment,5,4,1,100000001,510000004810,
3,,Segment,3,3,1,100000001,510000004824,
5,,Segment,5,2,1,100000001,510000004828,
3,,Segment,3,2,1,100000002,510000004836,
3,,Segment,3,4,1,100000006,510000004864,
3,,Segment,3,3,1,100000004,510000004875,
1,,Segment,1,2,1,100000000,510000004877,
2,,Segment,2,2,1,100000002,510000004900,
4,,Segment,4,2,1,100000001,510000004922,
3,,Segment,3,2,1,100000002,510000004928,
2,,Segment,2,1,1,100000001,510000004937,
3,,Segment,3,3,1,100000001,510000004950,
8,,Segment,8,4,1,100000006,510000004957,
7,,Segment,7,4,1,100000006,510000004986,
6,,Segment,6,3,1,100000006,510000004990,
5,,Segment,5,3,1,100000006,510000004998,
5,,Segment,5,2,1,100000002,510000005003,
4,,Segment,4,3,1,100000001,510000005012,
