
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,8,Image 1,3,1,100000001,510000001746,
0,,Segment,4,7,Image 1,3,1,100000001,510000001758,
0,,Segment,4,6,Image 1,2,1,100000001,510000001789,
0,,Segment,4,5,Image 1,2,1,100000001,510000001804,
0,,Segment,4,14,Image 1,6,1,100000001,510000001807,
0,,Segment,4,6,Image 1,4,1,100000004,510000001809,
0,,Segment,4,5,Image 1,3,1,100000004,510000001811,
0,,Segment,4,8,Image 1,4,1,100000001,510000001823,
0,,Segment,4,7,Image 1,3,1,100000001,510000001832,
0,,Segment,4,6,Image 1,3,1,100000001,510000001837,
47,,Segment,4,5,Image 1,2,1,100000001,510000001872,
0,,Segment,4,4,Image 1,2,1,100000001,510000001875,
0,,Segment,4,3,Image 1,2,1,100000001,510000001930,
0,,Segment,4,2,Image 1,1,1,100000001,510000001939,
0,,Segment,4,1,Image 1,1,1,100000001,510000001941,
0,,Segment,4,0,Image 1,1,1,100000001,510000001967,
0,,Segment,4,13,Image 1,5,1,100000001,510000002013,
243,,Segment,4,5,Image 1,2,1,100000002,510000002030,
312,,Segment,4,4,Image 1,1,1,100000002,510000002047,
0,,Segment,4,3,Image 1,1,1,100000002,510000002072,
0,,Segment,4,2,Image 1,1,1,100000002,510000002090,
0,,Segment,4,1,Image 1,1,1,100000002,510000002095,
135,,Segment,4,0,Image 1,1,1,100000002,510000002172,
0,,Segment,4,8,Image 1,3,1,100000001,510000002174,
0,,Segment,4,5,Image 1,3,1,100000004,510000002190,
0,,Segment,4,6,Image 1,2,1,100000001,510000002199,
0,,Segment,4,12,Image 1,6,1,100000001,510000002206,
520,,Segment,4,4,Image 1,2,1,100000002,510000002216,
18,,Segment,4,4,Image 1,2,1,100000002,510000002230,
0,,Segment,4,3,Image 1,2,1,100000002,510000002239,
0,,Segment,4,5,Image 1,3,1,100000002,510000002242,
0,,Segment,4,4,Image 1,3,1,100000002,510000002244,
48,,Segment,4,14,Image 1,6,1,100000000,510000002271,
0,,Segment,4,13,Image 1,6,1,100000000,510000002278,
0,,Segment,4,12,Image 1,5,1,100000000,510000002288,
0,,Segment,4,11,Image 1,5,1,100000000,510000002296,
0,,Segment,4,10,Image 1,4,1,100000000,510000002310,
49,,Segment,4,9,Image 1,4,1,100000000,510000002326,
134,,Segment,4,8,Image 1,3,1,100000000,510000002336,
0,,Segment,4,6,Image 1,2,1,100000000,510000002341,
0,,Segment,4,11,Image 1,6,1,100000001,510000002383,
78,,Segment,4,10,Image 1,6,1,100000001,510000002410,
68,,Segment,4,8,Image 1,2,1,100000001,510000002452,
284,,Segment,4,7,Image 1,2,1,100000001,510000002485,
40,,Segment,4,13,Image 1,4,1,100000001,510000002495,
0,,Segment,4,12,Image 1,3,1,100000001,510000002503,
373,,Segment,4,11,Image 1,3,1,100000001,510000002513,
0,,Segment,4,10,Image 1,3,1,100000001,510000002515,
21,,Segment,4,11,Image 1,3,1,100000000,510000002530,
0,,Segment,4,10,Image 1,3,1,100000000,510000002541,
15,,Segment,4,9,Image 1,3,1,100000000,510000002581,
358,,Segment,4,2,Image 1,2,1,100000002,510000002607,
0,,Segment,4,5,Image 1,4,1,100000004,510000002618,
0,,Segment,4,4,Image 1,4,1,100000004,510000002625,
142,,Segment,4,11,Image 1,4,1,100000001,510000002635,
72,,Segment,4,13,Image 1,5,1,100000001,510000002667,
0,,Segment,4,4,Image 1,3,1,100000004,510000002676,
38,,Segment,4,13,Image 1,3,1,100000001,510000002684,
0,,Segment,4,8,Image 1,3,1,100000001,510000002701,
0,,Segment,4,11,Image 1,4,1,100000000,510000002704,
0,,Segment,4,9,Image 1,3,1,100000000,510000002725,
0,,Segment,4,8,Image 1,2,1,100000000,510000002736,
