
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
210,,Segment,5,10,Image 1,3,1,100000000,510000002541,
770,,Segment,5,9,Image 1,3,1,100000000,510000002581,
414,,Segment,5,2,Image 1,2,1,100000002,510000002607,
137,,Segment,5,5,Image 1,4,1,100000004,510000002618,
152,,Segment,5,4,Image 1,4,1,100000004,510000002625,
242,,Segment,5,11,Image 1,4,1,100000001,510000002635,
439,,Segment,5,13,Image 1,5,1,100000001,510000002667,
236,,Segment,5,4,Image 1,3,1,100000004,510000002676,
156,,Segment,5,13,Image 1,3,1,100000001,510000002684,
262,,Segment,5,8,Image 1,3,1,100000001,510000002701,
66,,Segment,5,11,Image 1,4,1,100000000,510000002704,
413,,Segment,5,9,Image 1,3,1,100000000,510000002725,
535,,Segment,5,8,Image 1,2,1,100000000,510000002736,
66,,Segment,5,14,Image 1,7,1,100000000,510000002740,
162,,Segment,5,10,Image 1,4,1,100000000,510000002749,
164,,Segment,5,3,Image 1,3,1,100000004,510000002754,
48,,Segment,5,5,Image 1,5,1,100000004,510000002756,
271,,Segment,5,13,Image 1,5,1,100000000,510000002765,
364,,Segment,5,2,Image 1,2,1,100000000,510000002776,
111,,Segment,5,1,Image 1,1,1,100000000,510000002778,
1050,,Segment,5,0,Image 1,1,1,100000000,510000002875,
328,,Segment,5,2,Image 1,1,1,100000000,510000002900,
98,,Segment,5,12,Image 1,4,1,100000001,510000002902,
149,,Segment,5,13,Image 1,6,1,100000001,510000002909,
187,,Segment,5,12,Image 1,6,1,100000000,510000002916,
98,,Segment,5,13,Image 1,6,1,100000001,510000002920,
69,,Segment,5,9,Image 1,2,1,100000000,510000002922,
149,,Segment,5,6,Image 1,1,1,100000000,510000002929,
878,,Segment,5,5,Image 1,1,1,100000000,510000002976,
282,,Segment,5,4,Image 1,1,1,100000000,510000002986,
331,,Segment,5,8,Image 1,4,1,100000000,510000003004,
751,,Segment,5,7,Image 1,3,1,100000000,510000003027,
42,,Segment,5,4,Image 1,4,1,100000003,510000003029,
124,,Segment,5,3,Image 1,3,1,100000003,510000003033,
667,,Segment,5,2,Image 1,3,1,100000003,510000003073,
381,,Segment,5,1,Image 1,2,1,100000003,510000003096,
77,,Segment,5,0,Image 1,1,1,100000003,510000003104,
519,,Segment,5,3,Image 1,2,1,100000003,510000003158,
181,,Segment,5,2,Image 1,2,1,100000003,510000003167,
112,,Segment,5,11,Image 1,7,1,100000001,510000003170,
79,,Segment,5,6,Image 1,2,1,100000000,510000003173,
223,,Segment,5,11,Image 1,4,1,100000000,510000003181,
84,,Segment,5,1,Image 1,2,1,100000000,510000003185,
129,,Segment,5,5,Image 1,3,1,100000001,510000003192,
342,,Segment,5,2,Image 1,1,1,100000004,510000003203,
114,,Segment,5,3,Image 1,4,1,100000003,510000003205,
124,,Segment,5,11,Image 1,4,1,100000001,510000003210,
307,,Segment,5,11,Image 1,6,1,100000001,510000003229,
298,,Segment,5,3,Image 1,2,1,100000001,510000003249,
659,,Segment,5,2,Image 1,2,1,100000001,510000003289,
151,,Segment,5,10,Image 1,3,1,100000000,510000003293,
230,,Segment,5,9,Image 1,2,1,100000000,510000003295,
216,,Segment,5,1,Image 1,2,1,100000002,510000003301,
182,,Segment,5,10,Image 1,2,1,100000000,510000003306,
150,,Segment,5,10,Image 1,5,1,100000000,510000003313,
97,,Segment,5,2,Image 1,3,1,100000003,510000003317,
797,,Segment,5,1,Image 1,2,1,100000003,510000003356,
354,,Segment,5,0,Image 1,1,1,100000003,510000003367,
124,,Segment,5,8,Image 1,1,1,100000000,510000003392,
82,,Segment,5,4,Image 1,3,1,100000001,510000003396,
177,,Segment,5,8,Image 1,2,1,100000000,510000003406,
233,,Segment,5,7,Image 1,2,1,100000000,510000003413,
210,,Segment,5,8,Image 1,3,1,100000000,510000003419,
186,,Segment,5,1,Image 1,2,1,100000004,510000003424,
322,,Segment,5,5,Image 1,2,1,100000001,510000003449,
227,,Segment,5,4,Image 1,2,1,100000001,510000003460,
307,,Segment,5,2,Image 1,1,1,100000001,510000003467,
530,,Segment,5,1,Image 1,1,1,100000001,510000003500,
643,,Segment,5,0,Image 1,1,1,100000001,510000003536,
113,,Segment,5,8,Image 1,3,1,100000000,510000003549,
164,,Segment,5,8,Image 1,4,1,100000001,510000003558,
435,,Segment,5,6,Image 1,4,1,100000001,510000003586,
174,,Segment,5,2,Image 1,2,1,100000003,510000003593,
129,,Segment,5,9,Image 1,4,1,100000001,510000003595,
93,,Segment,5,7,Image 1,2,1,100000000,510000003600,
54,,Segment,5,3,Image 1,3,1,100000001,510000003602,
342,,Segment,5,2,Image 1,2,1,100000001,510000003613,
146,,Segment,5,5,Image 1,3,1,100000001,510000003622,
148,,Segment,5,9,Image 1,6,1,100000001,510000003626,
546,,Segment,5,5,Image 1,3,1,100000002,510000003662,
307,,Segment,5,4,Image 1,2,1,100000002,510000003666,
610,,Segment,5,3,Image 1,2,1,100000002,510000003688,
143,,Segment,5,2,Image 1,2,1,100000002,510000003695,
186,,Segment,5,1,Image 1,1,1,100000002,510000003702,
191,,Segment,5,0,Image 1,1,1,100000002,510000003721,
334,,Segment,5,5,Image 1,2,1,100000001,510000003736,
378,,Segment,5,3,Image 1,1,1,100000001,510000003741,
186,,Segment,5,8,Image 1,4,1,100000001,510000003743,
107,,Segment,5,4,Image 1,2,1,100000001,510000003749,
178,,Segment,5,3,Image 1,2,1,100000001,510000003754,
462,,Segment,5,0,Image 1,1,1,100000003,510000003790,
372,,Segment,5,7,Image 1,3,1,100000001,510000003803,
82,,Segment,5,5,Image 1,2,1,100000000,510000003808,
69,,Segment,5,3,Image 1,2,1,100000003,510000003813,
332,,Segment,5,2,Image 1,1,1,100000003,510000003833,
407,,Segment,5,1,Image 1,1,1,100000003,510000003841,
630,,Segment,5,1,Image 1,2,1,100000000,510000003880,
367,,Segment,5,0,Image 1,1,1,100000000,510000003915,
113,,Segment,5,4,Image 1,3,1,100000001,510000003923,
94,,Segment,5,3,Image 1,1,1,100000003,510000003927,
194,,Segment,5,4,Image 1,1,1,100000001,510000003931,
1218,,Segment,5,1,Image 1,1,1,100000003,510000003993,
249,,Segment,5,2,Image 1,2,1,100000001,510000004007,
275,,Segment,5,1,Image 1,2,1,100000001,510000004020,
307,,Segment,5,3,Image 1,3,1,100000000,510000004045,
149,,Segment,5,2,Image 1,2,1,100000000,510000004047,
599,,Segment,5,1,Image 1,2,1,100000000,510000004063,
546,,Segment,5,0,Image 1,1,1,100000000,510000004070,
