
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-7728.69,-23630.5,1522.93,µm,Segment,Segment Position,11,3,1,100000000,510000000302,
-7680.37,-23626,1514.25,µm,Segment,Segment Position,11,4,1,100000000,510000000847,
-7680.73,-23626.2,1513.31,µm,Segment,Segment Position,11,5,1,100000000,510000000908,
-7682.83,-23632.2,1513.39,µm,Segment,Segment Position,11,5,1,100000000,510000000913,
-7682.89,-23633.8,1512.43,µm,Segment,Segment Position,11,6,1,100000000,510000000578,
-7729.32,-23628.5,1523.24,µm,Segment,Segment Position,12,2,1,100000000,510000000306,
-7731.34,-23628.1,1521.4,µm,Segment,Segment Position,12,3,1,100000000,510000000200,
-7679.15,-23625.6,1514.73,µm,Segment,Segment Position,12,4,1,100000000,510000000916,
-7679.17,-23625.7,1514.19,µm,Segment,Segment Position,12,5,1,100000000,510000000844,
-7683.56,-23636.2,1512.74,µm,Segment,Segment Position,12,6,1,100000000,510000000563,
-7683.63,-23636,1513.79,µm,Segment,Segment Position,12,7,1,100000000,510000000904,
-7678.43,-23625.4,1514.21,µm,Segment,Segment Position,13,5,1,100000000,510000001334,
-7677.1,-23623.5,1515.66,µm,Segment,Segment Position,13,6,1,100000000,510000000842,
-7683.97,-23637,1513.09,µm,Segment,Segment Position,13,6,1,100000000,510000001333,
-7683.75,-23637.5,1514.08,µm,Segment,Segment Position,13,7,1,100000000,510000000559,
-7676.92,-23626.1,1513.29,µm,Segment,Segment Position,14,5,1,100000000,510000000872,
-7684.79,-23637.5,1512.38,µm,Segment,Segment Position,14,6,1,100000000,510000000814,
-7676.61,-23620.8,1516.34,µm,Segment,Segment Position,14,6,1,100000000,510000000826,
-7677.68,-23625.8,1513.18,µm,Segment,Segment Position,14,6,1,100000000,510000000899,
-7682.44,-23638.9,1516.31,µm,Segment,Segment Position,14,7,1,100000000,510000000551,
-7675.8,-23621.4,1518.07,µm,Segment,Segment Position,14,7,1,100000000,510000000885,
-7684.51,-23637.5,1511.27,µm,Segment,Segment Position,14,7,1,100000000,510000000897,
-7682.68,-23638.4,1514.98,µm,Segment,Segment Position,14,8,1,100000000,510000000876,
-7674.95,-23626.3,1513.34,µm,Segment,Segment Position,15,5,1,100000000,510000000892,
-7675.94,-23626.1,1512.47,µm,Segment,Segment Position,15,6,1,100000000,510000000866,
