
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3.03125,,Segment,1,4,Image 1,4,1,100000001,510000001202,
3.0625,,Segment,1,3,Image 1,3,1,100000001,510000001276,
2.00195,,Segment,1,2,Image 1,2,1,100000001,510000001278,
1.00391,,Segment,1,1,Image 1,2,1,100000001,510000001297,
3.00391,,Segment,1,0,Image 1,1,1,100000001,510000001359,
4.00391,,Segment,1,10,Image 1,9,1,100000001,510000001364,
2.00391,,Segment,1,27,Image 1,9,1,100000001,510000001366,
4.00781,,Segment,1,26,Image 1,8,1,100000001,510000001398,
4.01562,,Segment,1,25,Image 1,7,1,100000001,510000001468,
3.00391,,Segment,1,24,Image 1,7,1,100000001,510000001486,
2.00391,,Segment,1,23,Image 1,7,1,100000001,510000001492,
1.00195,,Segment,1,22,Image 1,7,1,100000001,510000001494,
2.00195,,Segment,1,21,Image 1,7,1,100000001,510000001497,
2.01562,,Segment,1,20,Image 1,7,1,100000001,510000001515,
4.00391,,Segment,1,19,Image 1,7,1,100000001,510000001518,
3.00391,,Segment,1,18,Image 1,7,1,100000001,510000001522,
2.00391,,Segment,1,17,Image 1,7,1,100000001,510000001539,
2.00781,,Segment,1,15,Image 1,7,1,100000001,510000001616,
2.00781,,Segment,1,9,Image 1,7,1,100000001,510000001657,
5.01562,,Segment,1,8,Image 1,6,1,100000001,510000001661,
3.00781,,Segment,1,9,Image 1,7,1,100000001,510000001680,
3.00781,,Segment,1,7,Image 1,6,1,100000001,510000001724,
5.00391,,Segment,1,6,Image 1,5,1,100000001,510000001728,
3.00781,,Segment,1,5,Image 1,5,1,100000001,510000001768,
3.00391,,Segment,1,17,Image 1,8,1,100000001,510000001804,
13.125,,Segment,1,22,Image 1,10,1,100000001,510000001810,
4.53125,,Segment,1,21,Image 1,10,1,100000001,510000001831,
3.50391,,Segment,1,20,Image 1,10,1,100000001,510000001834,
4.00781,,Segment,1,19,Image 1,9,1,100000001,510000001893,
4.00195,,Segment,1,18,Image 1,8,1,100000001,510000001897,
2.50781,,Segment,1,17,Image 1,8,1,100000001,510000001912,
4.50781,,Segment,1,22,Image 1,11,1,100000001,510000001916,
3.00781,,Segment,1,21,Image 1,8,1,100000001,510000002004,
24.0625,,Segment,1,21,Image 1,11,1,100000001,510000002017,
4.03125,,Segment,1,25,Image 1,8,1,100000001,510000002049,
3.00781,,Segment,1,8,Image 1,5,1,100000001,510000002063,
5.00391,,Segment,1,7,Image 1,5,1,100000001,510000002069,
4.0625,,Segment,1,4,Image 1,3,1,100000001,510000002139,
3.00391,,Segment,1,7,Image 1,5,1,100000001,510000002163,
2.00391,,Segment,1,6,Image 1,6,1,100000001,510000002168,
3.00391,,Segment,1,30,Image 1,12,1,100000001,510000002176,
3,,Segment,1,30,Image 1,11,1,100000001,510000002179,
3.00781,,Segment,1,28,Image 1,13,1,100000001,510000002207,
1.50781,,Segment,1,28,Image 1,12,1,100000001,510000002213,
4.00195,,Segment,1,28,Image 1,12,1,100000001,510000002216,
4.01562,,Segment,1,9,Image 1,6,1,100000001,510000002271,
3.00391,,Segment,1,8,Image 1,6,1,100000001,510000002274,
4.00195,,Segment,1,26,Image 1,7,1,100000001,510000002278,
4.00781,,Segment,1,23,Image 1,8,1,100000001,510000002318,
7,,Segment,1,24,Image 1,8,1,100000001,510000002322,
1.00195,,Segment,1,22,Image 1,8,1,100000001,510000002325,
13.0156,,Segment,1,20,Image 1,8,1,100000001,510000002329,
3.50391,,Segment,1,19,Image 1,8,1,100000001,510000002338,
4.00391,,Segment,1,20,Image 1,9,1,100000001,510000002344,
1.00391,,Segment,1,7,Image 1,5,1,100000001,510000002355,
2.00391,,Segment,1,6,Image 1,4,1,100000001,510000002375,
4.00391,,Segment,1,7,Image 1,4,1,100000001,510000002381,
2.50391,,Segment,1,18,Image 1,9,1,100000001,510000002390,
5.00195,,Segment,1,19,Image 1,8,1,100000001,510000002392,
2.00391,,Segment,1,17,Image 1,9,1,100000001,510000002415,
4.125,,Segment,1,25,Image 1,12,1,100000001,510000002448,
15.0625,,Segment,1,24,Image 1,11,1,100000001,510000002456,
6.03125,,Segment,1,23,Image 1,11,1,100000001,510000002514,
3.00391,,Segment,1,22,Image 1,11,1,100000001,510000002544,
4.51562,,Segment,1,21,Image 1,11,1,100000001,510000002547,
2.00391,,Segment,1,20,Image 1,10,1,100000001,510000002557,
10.0625,,Segment,1,24,Image 1,10,1,100000001,510000002561,
4.50781,,Segment,1,23,Image 1,10,1,100000001,510000002590,
15.0156,,Segment,1,22,Image 1,9,1,100000001,510000002594,
3.00391,,Segment,1,21,Image 1,9,1,100000001,510000002598,
2.00391,,Segment,1,24,Image 1,11,1,100000001,510000002602,
11.0312,,Segment,1,28,Image 1,13,1,100000001,510000002610,
41.0312,,Segment,1,27,Image 1,12,1,100000001,510000002613,
