
Spine Center Intensity Min Ch=1 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1,,Spine,1,0,Image 1,1,1,100000000,610000007199,
1,,Spine,1,15,Image 1,6,1,100000003,610000007203,
1,,Spine,1,7,Image 1,3,1,100000003,610000007214,
2,,Spine,1,23,Image 1,7,1,100000000,610000007240,
1,,Spine,1,23,Image 1,7,1,100000000,610000007241,
1,,Spine,1,22,Image 1,8,1,100000000,610000007242,
0,,Spine,1,19,Image 1,7,1,100000000,610000007243,
1,,Spine,1,19,Image 1,8,1,100000000,610000007244,
0,,Spine,1,19,Image 1,8,1,100000000,610000007245,
1,,Spine,1,15,Image 1,4,1,100000000,610000007246,
2,,Spine,1,15,Image 1,4,1,100000000,610000007247,
2,,Spine,1,14,Image 1,4,1,100000000,610000007248,
1,,Spine,1,14,Image 1,5,1,100000000,610000007249,
1,,Spine,1,13,Image 1,3,1,100000000,610000007250,
1,,Spine,1,11,Image 1,3,1,100000000,610000007251,
1,,Spine,1,11,Image 1,3,1,100000000,610000007252,
1,,Spine,1,23,Image 1,7,1,100000000,610000007253,
1,,Spine,1,23,Image 1,7,1,100000000,610000007254,
0,,Spine,1,23,Image 1,7,1,100000000,610000007255,
1,,Spine,1,23,Image 1,7,1,100000000,610000007256,
0,,Spine,1,24,Image 1,6,1,100000000,610000007257,
1,,Spine,1,24,Image 1,6,1,100000000,610000007258,
0,,Spine,1,22,Image 1,7,1,100000000,610000007259,
3,,Spine,1,19,Image 1,5,1,100000000,610000007260,
2,,Spine,1,19,Image 1,5,1,100000000,610000007261,
2,,Spine,1,19,Image 1,5,1,100000000,610000007262,
1,,Spine,1,19,Image 1,4,1,100000000,610000007263,
4,,Spine,1,18,Image 1,5,1,100000000,610000007264,
6,,Spine,1,17,Image 1,4,1,100000000,610000007265,
8,,Spine,1,17,Image 1,4,1,100000000,610000007266,
2,,Spine,1,16,Image 1,4,1,100000000,610000007267,
2,,Spine,1,16,Image 1,4,1,100000000,610000007268,
4,,Spine,1,16,Image 1,4,1,100000000,610000007269,
0,,Spine,1,17,Image 1,3,1,100000000,610000007270,
2,,Spine,1,14,Image 1,3,1,100000000,610000007271,
2,,Spine,1,14,Image 1,3,1,100000000,610000007272,
1,,Spine,1,12,Image 1,2,1,100000000,610000007273,
0,,Spine,1,10,Image 1,2,1,100000000,610000007274,
2,,Spine,1,10,Image 1,2,1,100000000,610000007275,
2,,Spine,1,10,Image 1,2,1,100000000,610000007276,
1,,Spine,1,9,Image 1,2,1,100000000,610000007277,
20,,Spine,1,9,Image 1,2,1,100000000,610000007278,
1,,Spine,1,11,Image 1,5,1,100000000,610000007279,
2,,Spine,1,10,Image 1,4,1,100000000,610000007280,
1,,Spine,1,8,Image 1,3,1,100000000,610000007281,
6,,Spine,1,8,Image 1,3,1,100000000,610000007282,
1,,Spine,1,6,Image 1,1,1,100000000,610000007283,
6,,Spine,1,6,Image 1,1,1,100000000,610000007284,
1,,Spine,1,7,Image 1,2,1,100000000,610000007285,
1,,Spine,1,7,Image 1,2,1,100000000,610000007286,
0,,Spine,1,6,Image 1,2,1,100000000,610000007287,
1,,Spine,1,6,Image 1,2,1,100000000,610000007288,
1,,Spine,1,5,Image 1,2,1,100000000,610000007289,
0,,Spine,1,3,Image 1,2,1,100000000,610000007290,
0,,Spine,1,3,Image 1,2,1,100000000,610000007291,
1,,Spine,1,2,Image 1,1,1,100000000,610000007292,
0,,Spine,1,2,Image 1,1,1,100000000,610000007293,
3,,Spine,1,0,Image 1,1,1,100000000,610000007294,
1,,Spine,1,0,Image 1,1,1,100000000,610000007295,
1,,Spine,1,4,Image 1,2,1,100000000,610000007296,
3,,Spine,1,4,Image 1,2,1,100000000,610000007297,
1,,Spine,1,3,Image 1,1,1,100000000,610000007298,
0,,Spine,1,2,Image 1,1,1,100000000,610000007299,
0,,Spine,1,1,Image 1,2,1,100000000,610000007300,
0,,Spine,1,1,Image 1,2,1,100000000,610000007301,
0,,Spine,1,6,Image 1,2,1,100000000,610000007302,
4,,Spine,1,5,Image 1,1,1,100000000,610000007303,
1,,Spine,1,5,Image 1,1,1,100000000,610000007304,
1,,Spine,1,6,Image 1,3,1,100000000,610000007305,
0,,Spine,1,6,Image 1,2,1,100000000,610000007306,
4,,Spine,1,5,Image 1,2,1,100000000,610000007307,
3,,Spine,1,5,Image 1,2,1,100000000,610000007308,
0,,Spine,1,3,Image 1,1,1,100000000,610000007309,
0,,Spine,1,1,Image 1,1,1,100000000,610000007310,
0,,Spine,1,1,Image 1,2,1,100000000,610000007311,
0,,Spine,1,5,Image 1,2,1,100000000,610000007312,
0,,Spine,1,5,Image 1,2,1,100000000,610000007313,
0,,Spine,1,4,Image 1,1,1,100000000,610000007314,
2,,Spine,1,4,Image 1,1,1,100000000,610000007315,
2,,Spine,1,4,Image 1,1,1,100000000,610000007316,
0,,Spine,1,3,Image 1,2,1,100000000,610000007317,
0,,Spine,1,2,Image 1,2,1,100000000,610000007318,
1,,Spine,1,1,Image 1,1,1,100000000,610000007319,
0,,Spine,1,1,Image 1,1,1,100000000,610000007320,
1,,Spine,1,1,Image 1,1,1,100000000,610000007321,
1,,Spine,1,0,Image 1,1,1,100000000,610000007322,
9,,Spine,1,3,Image 1,4,1,100000001,610000007326,
8,,Spine,1,3,Image 1,4,1,100000001,610000007327,
2,,Spine,1,3,Image 1,4,1,100000001,610000007328,
7,,Spine,1,3,Image 1,3,1,100000001,610000007329,
