
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
11,,Segment,4,2,Image 1,2,1,100000003,510000003049,
7,,Segment,4,1,Image 1,2,1,100000003,510000003055,
1,,Segment,4,1,Image 1,2,1,100000003,510000003086,
17,,Segment,4,23,Image 1,7,1,100000000,510000003102,
3,,Segment,4,22,Image 1,6,1,100000000,510000003104,
22,,Segment,4,21,Image 1,6,1,100000000,510000003125,
4,,Segment,4,25,Image 1,8,1,100000000,510000003128,
8,,Segment,4,23,Image 1,6,1,100000000,510000003136,
15,,Segment,4,24,Image 1,6,1,100000000,510000003150,
3,,Segment,4,25,Image 1,7,1,100000000,510000003152,
10,,Segment,4,22,Image 1,7,1,100000000,510000003161,
21,,Segment,4,20,Image 1,7,1,100000000,510000003181,
17,,Segment,4,19,Image 1,5,1,100000000,510000003197,
7,,Segment,4,18,Image 1,4,1,100000000,510000003203,
6,,Segment,4,17,Image 1,4,1,100000000,510000003208,
29,,Segment,4,16,Image 1,4,1,100000000,510000003236,
4,,Segment,4,19,Image 1,4,1,100000000,510000003239,
11,,Segment,4,18,Image 1,5,1,100000000,510000003251,
6,,Segment,4,17,Image 1,5,1,100000000,510000003256,
37,,Segment,4,16,Image 1,4,1,100000000,510000003292,
3,,Segment,4,15,Image 1,3,1,100000000,510000003294,
132,,Segment,4,6,Image 1,3,1,100000003,510000003425,
10,,Segment,4,18,Image 1,6,1,100000000,510000003435,
83,,Segment,4,6,Image 1,4,1,100000003,510000003517,
22,,Segment,4,5,Image 1,3,1,100000003,510000003538,
23,,Segment,4,17,Image 1,4,1,100000000,510000003560,
9,,Segment,4,16,Image 1,3,1,100000000,510000003568,
8,,Segment,4,17,Image 1,6,1,100000000,510000003575,
64,,Segment,4,15,Image 1,5,1,100000000,510000003638,
14,,Segment,4,17,Image 1,3,1,100000000,510000003651,
8,,Segment,4,16,Image 1,4,1,100000000,510000003660,
6,,Segment,4,14,Image 1,5,1,100000000,510000003665,
17,,Segment,4,13,Image 1,4,1,100000000,510000003681,
36,,Segment,4,12,Image 1,4,1,100000000,510000003716,
11,,Segment,4,15,Image 1,5,1,100000000,510000003730,
5,,Segment,4,15,Image 1,4,1,100000000,510000003735,
12,,Segment,4,12,Image 1,7,1,100000003,510000003746,
8,,Segment,4,10,Image 1,5,1,100000003,510000003754,
22,,Segment,4,9,Image 1,4,1,100000003,510000003775,
21,,Segment,4,8,Image 1,3,1,100000003,510000003795,
14,,Segment,4,12,Image 1,6,1,100000003,510000003808,
7,,Segment,4,11,Image 1,4,1,100000003,510000003814,
6,,Segment,4,10,Image 1,4,1,100000003,510000003819,
5,,Segment,4,11,Image 1,5,1,100000003,510000003823,
7,,Segment,4,11,Image 1,5,1,100000003,510000003829,
11,,Segment,4,14,Image 1,4,1,100000000,510000003839,
9,,Segment,4,14,Image 1,3,1,100000000,510000003847,
7,,Segment,4,13,Image 1,3,1,100000000,510000003853,
6,,Segment,4,13,Image 1,5,1,100000000,510000003858,
8,,Segment,4,14,Image 1,3,1,100000000,510000003865,
8,,Segment,4,13,Image 1,2,1,100000000,510000003872,
9,,Segment,4,14,Image 1,2,1,100000000,510000003880,
12,,Segment,4,14,Image 1,4,1,100000000,510000003891,
11,,Segment,4,8,Image 1,3,1,100000003,510000003901,
11,,Segment,4,7,Image 1,3,1,100000003,510000003911,
8,,Segment,4,6,Image 1,3,1,100000003,510000003918,
7,,Segment,4,14,Image 1,5,1,100000000,510000003924,
37,,Segment,4,5,Image 1,2,1,100000003,510000003960,
13,,Segment,4,4,Image 1,2,1,100000003,510000003972,
23,,Segment,4,3,Image 1,1,1,100000003,510000003994,
16,,Segment,4,2,Image 1,1,1,100000003,510000004009,
3,,Segment,4,1,Image 1,1,1,100000003,510000004011,
22,,Segment,4,0,Image 1,1,1,100000003,510000004033,
14,,Segment,4,12,Image 1,3,1,100000000,510000004047,
11,,Segment,4,5,Image 1,3,1,100000003,510000004057,
4,,Segment,4,12,Image 1,4,1,100000000,510000004060,
5,,Segment,4,9,Image 1,4,1,100000003,510000004064,
14,,Segment,4,10,Image 1,4,1,100000003,510000004078,
17,,Segment,4,12,Image 1,5,1,100000000,510000004094,
4,,Segment,4,9,Image 1,5,1,100000003,510000004097,
4,,Segment,4,9,Image 1,3,1,100000003,510000004100,
8,,Segment,4,9,Image 1,5,1,100000003,510000004107,
3,,Segment,4,7,Image 1,4,1,100000003,510000004109,
24,,Segment,4,4,Image 1,2,1,100000000,510000004132,
50,,Segment,4,3,Image 1,1,1,100000000,510000004181,
8,,Segment,4,2,Image 1,1,1,100000000,510000004188,
12,,Segment,4,1,Image 1,1,1,100000000,510000004199,
3,,Segment,4,0,Image 1,1,1,100000000,510000004204,
6,,Segment,4,9,Image 1,3,1,100000000,510000004217,
14,,Segment,4,8,Image 1,2,1,100000000,510000004230,
11,,Segment,4,7,Image 1,2,1,100000000,510000004240,
4,,Segment,4,6,Image 1,1,1,100000000,510000004243,
11,,Segment,4,5,Image 1,1,1,100000000,510000004253,
8,,Segment,4,4,Image 1,1,1,100000000,510000004260,
23,,Segment,4,3,Image 1,1,1,100000000,510000004282,
5,,Segment,4,2,Image 1,1,1,100000000,510000004286,
10,,Segment,4,1,Image 1,1,1,100000000,510000004295,
28,,Segment,4,0,Image 1,1,1,100000000,510000004327,
7,,Segment,4,9,Image 1,4,1,100000003,510000004333,
15,,Segment,4,8,Image 1,3,1,100000003,510000004347,
19,,Segment,4,6,Image 1,2,1,100000003,510000004366,
5,,Segment,4,5,Image 1,2,1,100000003,510000004370,
4,,Segment,4,4,Image 1,2,1,100000003,510000004373,
17,,Segment,4,3,Image 1,2,1,100000003,510000004389,
4,,Segment,4,10,Image 1,4,1,100000003,510000004392,
6,,Segment,4,9,Image 1,3,1,100000003,510000004397,
4,,Segment,4,9,Image 1,2,1,100000000,510000004401,
19,,Segment,4,7,Image 1,3,1,100000003,510000004419,
15,,Segment,4,4,Image 1,1,1,100000000,510000004433,
19,,Segment,4,7,Image 1,3,1,100000003,510000004451,
8,,Segment,4,6,Image 1,2,1,100000003,510000004458,
25,,Segment,4,10,Image 1,3,1,100000000,510000004482,
5,,Segment,4,7,Image 1,2,1,100000003,510000004487,
5,,Segment,4,4,Image 1,1,1,100000003,510000004491,
40,,Segment,4,5,Image 1,2,1,100000000,510000004530,
8,,Segment,4,4,Image 1,1,1,100000000,510000004537,
6,,Segment,4,3,Image 1,1,1,100000000,510000004542,
4,,Segment,4,2,Image 1,1,1,100000000,510000004545,
17,,Segment,4,1,Image 1,1,1,100000000,510000004561,
65,,Segment,4,0,Image 1,1,1,100000000,510000004649,
11,,Segment,4,6,Image 1,4,1,100000003,510000004661,
3,,Segment,4,5,Image 1,3,1,100000003,510000004663,
17,,Segment,4,4,Image 1,3,1,100000003,510000004679,
5,,Segment,4,6,Image 1,5,1,100000003,510000004685,
6,,Segment,4,5,Image 1,3,1,100000000,510000004691,
4,,Segment,4,8,Image 1,4,1,100000003,510000004694,
62,,Segment,4,5,Image 1,2,1,100000002,510000004755,
13,,Segment,4,4,Image 1,2,1,100000002,510000004767,
19,,Segment,4,3,Image 1,2,1,100000002,510000004785,
10,,Segment,4,2,Image 1,2,1,100000002,510000004794,
27,,Segment,4,1,Image 1,2,1,100000002,510000004820,
2,,Segment,4,0,Image 1,1,1,100000002,510000004822,
14,,Segment,4,2,Image 1,2,1,100000003,510000004841,
29,,Segment,4,1,Image 1,1,1,100000003,510000004869,
9,,Segment,4,0,Image 1,1,1,100000003,510000004879,
5,,Segment,4,9,Image 1,3,1,100000000,510000004883,
4,,Segment,4,8,Image 1,3,1,100000000,510000004886,
13,,Segment,4,6,Image 1,2,1,100000000,510000004898,
14,,Segment,4,6,Image 1,3,1,100000003,510000004911,
3,,Segment,4,8,Image 1,2,1,100000000,510000004914,
5,,Segment,4,7,Image 1,1,1,100000000,510000004918,
9,,Segment,4,8,Image 1,3,1,100000003,510000004926,
5,,Segment,4,7,Image 1,2,1,100000003,510000004930,
14,,Segment,4,2,Image 1,2,1,100000003,510000004943,
4,,Segment,4,8,Image 1,1,1,100000000,510000004946,
6,,Segment,4,6,Image 1,4,1,100000003,510000004951,
29,,Segment,4,3,Image 1,2,1,100000000,510000004979,
3,,Segment,4,7,Image 1,4,1,100000003,510000004981,
7,,Segment,4,6,Image 1,3,1,100000000,510000004991,
8,,Segment,4,5,Image 1,2,1,100000000,510000004998,
41,,Segment,4,2,Image 1,2,1,100000003,510000005038,
3,,Segment,4,1,Image 1,1,1,100000003,510000005040,
3,,Segment,4,7,Image 1,5,1,100000002,510000005042,
15,,Segment,4,6,Image 1,4,1,100000002,510000005056,
19,,Segment,4,4,Image 1,3,1,100000002,510000005075,
14,,Segment,4,4,Image 1,3,1,100000003,510000005088,
10,,Segment,4,8,Image 1,3,1,100000000,510000005097,
11,,Segment,4,6,Image 1,3,1,100000002,510000005107,
21,,Segment,4,7,Image 1,2,1,100000000,510000005127,
8,,Segment,4,6,Image 1,2,1,100000000,510000005134,
8,,Segment,4,6,Image 1,2,1,100000000,510000005141,
3,,Segment,4,7,Image 1,4,1,100000002,510000005143,
29,,Segment,4,4,Image 1,2,1,100000000,510000005171,
8,,Segment,4,3,Image 1,3,1,100000000,510000005178,
45,,Segment,4,2,Image 1,2,1,100000000,510000005222,
9,,Segment,4,6,Image 1,3,1,100000003,510000005230,
5,,Segment,4,5,Image 1,3,1,100000003,510000005234,
13,,Segment,4,5,Image 1,4,1,100000002,510000005246,
24,,Segment,4,4,Image 1,4,1,100000002,510000005274,
11,,Segment,4,3,Image 1,3,1,100000002,510000005284,
42,,Segment,4,3,Image 1,2,1,100000001,510000005325,
10,,Segment,4,2,Image 1,1,1,100000001,510000005334,
16,,Segment,4,1,Image 1,1,1,100000001,510000005349,
3,,Segment,4,5,Image 1,4,1,100000002,510000005351,
5,,Segment,4,7,Image 1,3,1,100000000,510000005355,
9,,Segment,4,4,Image 1,3,1,100000003,510000005363,
3,,Segment,4,3,Image 1,3,1,100000003,510000005365,
7,,Segment,4,5,Image 1,3,1,100000003,510000005371,
10,,Segment,4,5,Image 1,5,1,100000002,510000005381,
5,,Segment,4,7,Image 1,1,1,100000000,510000005385,
