
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1039,,Segment,5,12,Image 1,2,1,100000000,510000002985,
78,,Segment,5,22,Image 1,7,1,100000000,510000002988,
192,,Segment,5,10,Image 1,5,1,100000003,510000003001,
90,,Segment,5,9,Image 1,4,1,100000003,510000003004,
92,,Segment,5,8,Image 1,3,1,100000003,510000003007,
69,,Segment,5,7,Image 1,3,1,100000003,510000003009,
248,,Segment,5,6,Image 1,2,1,100000003,510000003016,
411,,Segment,5,5,Image 1,2,1,100000003,510000003029,
209,,Segment,5,4,Image 1,2,1,100000003,510000003036,
139,,Segment,5,3,Image 1,2,1,100000003,510000003039,
506,,Segment,5,2,Image 1,2,1,100000003,510000003049,
246,,Segment,5,1,Image 1,2,1,100000003,510000003055,
49,,Segment,5,1,Image 1,2,1,100000003,510000003086,
277,,Segment,5,23,Image 1,7,1,100000000,510000003102,
111,,Segment,5,22,Image 1,6,1,100000000,510000003104,
412,,Segment,5,21,Image 1,6,1,100000000,510000003125,
55,,Segment,5,25,Image 1,8,1,100000000,510000003128,
236,,Segment,5,23,Image 1,6,1,100000000,510000003136,
258,,Segment,5,24,Image 1,6,1,100000000,510000003150,
56,,Segment,5,25,Image 1,7,1,100000000,510000003152,
218,,Segment,5,22,Image 1,7,1,100000000,510000003161,
206,,Segment,5,20,Image 1,7,1,100000000,510000003181,
312,,Segment,5,19,Image 1,5,1,100000000,510000003197,
213,,Segment,5,18,Image 1,4,1,100000000,510000003203,
251,,Segment,5,17,Image 1,4,1,100000000,510000003208,
558,,Segment,5,16,Image 1,4,1,100000000,510000003236,
158,,Segment,5,19,Image 1,4,1,100000000,510000003239,
196,,Segment,5,18,Image 1,5,1,100000000,510000003251,
259,,Segment,5,17,Image 1,5,1,100000000,510000003256,
535,,Segment,5,16,Image 1,4,1,100000000,510000003292,
156,,Segment,5,15,Image 1,3,1,100000000,510000003294,
2265,,Segment,5,6,Image 1,3,1,100000003,510000003425,
186,,Segment,5,18,Image 1,6,1,100000000,510000003435,
984,,Segment,5,6,Image 1,4,1,100000003,510000003517,
407,,Segment,5,5,Image 1,3,1,100000003,510000003538,
226,,Segment,5,17,Image 1,4,1,100000000,510000003560,
187,,Segment,5,16,Image 1,3,1,100000000,510000003568,
166,,Segment,5,17,Image 1,6,1,100000000,510000003575,
982,,Segment,5,15,Image 1,5,1,100000000,510000003638,
183,,Segment,5,17,Image 1,3,1,100000000,510000003651,
134,,Segment,5,16,Image 1,4,1,100000000,510000003660,
113,,Segment,5,14,Image 1,5,1,100000000,510000003665,
286,,Segment,5,13,Image 1,4,1,100000000,510000003681,
343,,Segment,5,12,Image 1,4,1,100000000,510000003716,
173,,Segment,5,15,Image 1,5,1,100000000,510000003730,
129,,Segment,5,15,Image 1,4,1,100000000,510000003735,
87,,Segment,5,12,Image 1,7,1,100000003,510000003746,
136,,Segment,5,10,Image 1,5,1,100000003,510000003754,
365,,Segment,5,9,Image 1,4,1,100000003,510000003775,
393,,Segment,5,8,Image 1,3,1,100000003,510000003795,
119,,Segment,5,12,Image 1,6,1,100000003,510000003808,
107,,Segment,5,11,Image 1,4,1,100000003,510000003814,
124,,Segment,5,10,Image 1,4,1,100000003,510000003819,
94,,Segment,5,11,Image 1,5,1,100000003,510000003823,
199,,Segment,5,11,Image 1,5,1,100000003,510000003829,
237,,Segment,5,14,Image 1,4,1,100000000,510000003839,
160,,Segment,5,14,Image 1,3,1,100000000,510000003847,
270,,Segment,5,13,Image 1,3,1,100000000,510000003853,
104,,Segment,5,13,Image 1,5,1,100000000,510000003858,
110,,Segment,5,14,Image 1,3,1,100000000,510000003865,
272,,Segment,5,13,Image 1,2,1,100000000,510000003872,
216,,Segment,5,14,Image 1,2,1,100000000,510000003880,
194,,Segment,5,14,Image 1,4,1,100000000,510000003891,
153,,Segment,5,8,Image 1,3,1,100000003,510000003901,
192,,Segment,5,7,Image 1,3,1,100000003,510000003911,
167,,Segment,5,6,Image 1,3,1,100000003,510000003918,
192,,Segment,5,14,Image 1,5,1,100000000,510000003924,
570,,Segment,5,5,Image 1,2,1,100000003,510000003960,
260,,Segment,5,4,Image 1,2,1,100000003,510000003972,
330,,Segment,5,3,Image 1,1,1,100000003,510000003994,
290,,Segment,5,2,Image 1,1,1,100000003,510000004009,
88,,Segment,5,1,Image 1,1,1,100000003,510000004011,
528,,Segment,5,0,Image 1,1,1,100000003,510000004033,
361,,Segment,5,12,Image 1,3,1,100000000,510000004047,
84,,Segment,5,5,Image 1,3,1,100000003,510000004057,
50,,Segment,5,12,Image 1,4,1,100000000,510000004060,
120,,Segment,5,9,Image 1,4,1,100000003,510000004064,
95,,Segment,5,10,Image 1,4,1,100000003,510000004078,
163,,Segment,5,12,Image 1,5,1,100000000,510000004094,
113,,Segment,5,9,Image 1,5,1,100000003,510000004097,
116,,Segment,5,9,Image 1,3,1,100000003,510000004100,
59,,Segment,5,9,Image 1,5,1,100000003,510000004107,
85,,Segment,5,7,Image 1,4,1,100000003,510000004109,
432,,Segment,5,4,Image 1,2,1,100000000,510000004132,
699,,Segment,5,3,Image 1,1,1,100000000,510000004181,
161,,Segment,5,2,Image 1,1,1,100000000,510000004188,
406,,Segment,5,1,Image 1,1,1,100000000,510000004199,
132,,Segment,5,0,Image 1,1,1,100000000,510000004204,
81,,Segment,5,9,Image 1,3,1,100000000,510000004217,
221,,Segment,5,8,Image 1,2,1,100000000,510000004230,
200,,Segment,5,7,Image 1,2,1,100000000,510000004240,
128,,Segment,5,6,Image 1,1,1,100000000,510000004243,
286,,Segment,5,5,Image 1,1,1,100000000,510000004253,
155,,Segment,5,4,Image 1,1,1,100000000,510000004260,
359,,Segment,5,3,Image 1,1,1,100000000,510000004282,
143,,Segment,5,2,Image 1,1,1,100000000,510000004286,
202,,Segment,5,1,Image 1,1,1,100000000,510000004295,
628,,Segment,5,0,Image 1,1,1,100000000,510000004327,
102,,Segment,5,9,Image 1,4,1,100000003,510000004333,
207,,Segment,5,8,Image 1,3,1,100000003,510000004347,
313,,Segment,5,6,Image 1,2,1,100000003,510000004366,
166,,Segment,5,5,Image 1,2,1,100000003,510000004370,
158,,Segment,5,4,Image 1,2,1,100000003,510000004373,
518,,Segment,5,3,Image 1,2,1,100000003,510000004389,
89,,Segment,5,10,Image 1,4,1,100000003,510000004392,
201,,Segment,5,9,Image 1,3,1,100000003,510000004397,
150,,Segment,5,9,Image 1,2,1,100000000,510000004401,
327,,Segment,5,7,Image 1,3,1,100000003,510000004419,
352,,Segment,5,4,Image 1,1,1,100000000,510000004433,
322,,Segment,5,7,Image 1,3,1,100000003,510000004451,
291,,Segment,5,6,Image 1,2,1,100000003,510000004458,
463,,Segment,5,10,Image 1,3,1,100000000,510000004482,
184,,Segment,5,7,Image 1,2,1,100000003,510000004487,
106,,Segment,5,4,Image 1,1,1,100000003,510000004491,
357,,Segment,5,5,Image 1,2,1,100000000,510000004530,
202,,Segment,5,4,Image 1,1,1,100000000,510000004537,
114,,Segment,5,3,Image 1,1,1,100000000,510000004542,
107,,Segment,5,2,Image 1,1,1,100000000,510000004545,
321,,Segment,5,1,Image 1,1,1,100000000,510000004561,
1312,,Segment,5,0,Image 1,1,1,100000000,510000004649,
151,,Segment,5,6,Image 1,4,1,100000003,510000004661,
74,,Segment,5,5,Image 1,3,1,100000003,510000004663,
300,,Segment,5,4,Image 1,3,1,100000003,510000004679,
35,,Segment,5,6,Image 1,5,1,100000003,510000004685,
70,,Segment,5,5,Image 1,3,1,100000000,510000004691,
87,,Segment,5,8,Image 1,4,1,100000003,510000004694,
1074,,Segment,5,5,Image 1,2,1,100000002,510000004755,
386,,Segment,5,4,Image 1,2,1,100000002,510000004767,
515,,Segment,5,3,Image 1,2,1,100000002,510000004785,
