
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-18516.2,24281.1,1513.76,µm,Segment,Segment Position,1,1,1,100000001,510000003535,
-18509.4,24267.8,1520.39,µm,Segment,Segment Position,1,1,1,100000001,510000003539,
-18479.4,24326.3,1518.6,µm,Segment,Segment Position,1,1,1,100000003,510000003615,
-18504.2,24277,1516.56,µm,Segment,Segment Position,1,1,1,100000001,510000003654,
-18456.4,24245.2,1503.2,µm,Segment,Segment Position,1,1,1,100000002,510000004097,
-18471.1,24332.6,1514.38,µm,Segment,Segment Position,1,1,1,100000003,510000004223,
-18538.7,24321.9,1505.27,µm,Segment,Segment Position,1,1,1,100000000,510000004266,
-18538.8,24324.1,1523.75,µm,Segment,Segment Position,1,2,1,100000000,510000000481,
-18507.7,24267.2,1520.63,µm,Segment,Segment Position,1,2,1,100000001,510000001831,
-18460.9,24334.2,1507.43,µm,Segment,Segment Position,1,2,1,100000003,510000001923,
-18474.2,24331.6,1512.36,µm,Segment,Segment Position,1,2,1,100000003,510000001989,
-18452,24328.2,1514.95,µm,Segment,Segment Position,1,2,1,100000003,510000002069,
-18469.7,24259.5,1508.42,µm,Segment,Segment Position,1,2,1,100000002,510000002151,
-18537.9,24316.4,1504.43,µm,Segment,Segment Position,1,2,1,100000000,510000002204,
-18479.5,24320.2,1512.46,µm,Segment,Segment Position,1,2,1,100000003,510000002294,
-18508.5,24290.2,1518.1,µm,Segment,Segment Position,1,2,1,100000001,510000002518,
-18471.6,24325.6,1510.49,µm,Segment,Segment Position,1,2,1,100000003,510000002550,
-18519.4,24268.9,1515.07,µm,Segment,Segment Position,1,2,1,100000001,510000002630,
-18513.9,24280.9,1509.03,µm,Segment,Segment Position,1,2,1,100000001,510000002843,
-18505.1,24275.1,1517.88,µm,Segment,Segment Position,1,2,1,100000001,510000003210,
-18505,24280.6,1517.35,µm,Segment,Segment Position,1,2,1,100000001,510000003246,
-18457.2,24268.8,1510.81,µm,Segment,Segment Position,1,2,1,100000002,510000003553,
-18455.3,24248.5,1507.73,µm,Segment,Segment Position,1,2,1,100000002,510000004007,
-18459.8,24322.4,1523.63,µm,Segment,Segment Position,1,2,1,100000003,510000004109,
-18446.7,24273.3,1513.84,µm,Segment,Segment Position,2,1,1,100000002,510000001164,
-18453.8,24340.6,1510.83,µm,Segment,Segment Position,2,1,1,100000003,510000003025,
-18500.5,24279,1512.77,µm,Segment,Segment Position,2,1,1,100000001,510000003635,
