
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
23260,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000001,800000109,
23254.6,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000001,800000110,
23254.5,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000001,800000111,
23250.8,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000001,800000112,
23247.9,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000001,800000113,
23240.3,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000001,800000114,
23236,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000115,
23248,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000001,800000116,
23243.3,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000117,
23252.3,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000001,800000118,
23251.7,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000001,800000119,
23251.8,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000001,800000120,
23252.9,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000001,800000121,
23250.9,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000001,800000122,
23257.5,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000001,800000123,
23249,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000001,800000124,
23251.1,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000001,800000125,
23252,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000001,800000126,
23224.8,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000001,800000127,
23196,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000001,800000128,
23193.8,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000001,800000129,
23189.2,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000001,800000130,
23189.4,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000001,800000131,
23193.1,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000001,800000132,
23193.6,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000001,800000133,
23195.3,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000001,800000134,
23184.5,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000001,800000135,
23194.1,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000001,800000136,
23188.2,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000001,800000137,
23194,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000001,800000138,
23261,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000001,800000139,
23213.3,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000140,
23210.8,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000001,800000141,
23207.8,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000001,800000142,
23253.4,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000001,800000143,
23260.5,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000001,800000144,
23257.8,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000001,800000145,
23257.4,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000001,800000146,
