
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.48843,µm^2,Segment,15,5,1,100000001,510000002668,
2.22564,µm^2,Segment,4,3,1,100000002,510000002689,
0.300903,µm^2,Segment,16,1,1,100000001,510000002692,
0.78065,µm^2,Segment,15,1,1,100000001,510000002699,
0.386199,µm^2,Segment,12,3,1,100000000,510000002701,
0.432755,µm^2,Segment,6,4,1,100000002,510000002704,
1.73847,µm^2,Segment,12,4,1,100000000,510000002722,
0.267674,µm^2,Segment,16,2,1,100000001,510000002724,
1.32592,µm^2,Segment,15,4,1,100000000,510000002735,
1.67095,µm^2,Segment,10,4,1,100000003,510000002746,
0.86391,µm^2,Segment,14,5,1,100000001,510000002755,
1.59124,µm^2,Segment,9,3,1,100000000,510000002771,
1.06329,µm^2,Segment,14,5,1,100000000,510000002782,
0.750255,µm^2,Segment,13,5,1,100000000,510000002787,
0.324674,µm^2,Segment,12,5,1,100000000,510000002789,
1.31501,µm^2,Segment,11,4,1,100000000,510000002800,
0.89426,µm^2,Segment,10,5,1,100000000,510000002803,
0.818133,µm^2,Segment,13,4,1,100000000,510000002809,
0.808711,µm^2,Segment,12,4,1,100000000,510000002814,
0.791495,µm^2,Segment,10,2,1,100000000,510000002820,
0.605652,µm^2,Segment,14,6,1,100000003,510000002824,
1.37784,µm^2,Segment,13,5,1,100000000,510000002834,
0.490173,µm^2,Segment,10,2,1,100000001,510000002840,
1.08975,µm^2,Segment,9,2,1,100000001,510000002845,
0.844235,µm^2,Segment,12,4,1,100000003,510000002851,
0.640867,µm^2,Segment,13,4,1,100000000,510000002858,
2.12219,µm^2,Segment,12,3,1,100000000,510000002877,
1.03885,µm^2,Segment,13,3,1,100000000,510000002885,
1.83878,µm^2,Segment,14,5,1,100000000,510000002902,
0.245804,µm^2,Segment,10,6,1,100000002,510000002904,
0.416515,µm^2,Segment,9,5,1,100000002,510000002906,
0.326317,µm^2,Segment,13,6,1,100000003,510000002908,
0.430032,µm^2,Segment,14,2,1,100000001,510000002913,
2.1427,µm^2,Segment,8,3,1,100000002,510000002934,
0.463822,µm^2,Segment,8,4,1,100000002,510000002941,
0.654821,µm^2,Segment,7,3,1,100000002,510000002947,
3.48831,µm^2,Segment,6,3,1,100000002,510000002979,
0.582158,µm^2,Segment,5,2,1,100000002,510000002983,
4.01987,µm^2,Segment,4,1,1,100000002,510000003010,
2.16454,µm^2,Segment,2,1,1,100000002,510000003023,
1.44352,µm^2,Segment,1,1,1,100000002,510000003033,
1.91971,µm^2,Segment,0,1,1,100000002,510000003050,
0.727704,µm^2,Segment,10,5,1,100000002,510000003054,
0.868313,µm^2,Segment,13,5,1,100000000,510000003060,
1.56267,µm^2,Segment,4,3,1,100000000,510000003068,
2.20598,µm^2,Segment,3,3,1,100000000,510000003095,
1.95975,µm^2,Segment,2,2,1,100000000,510000003110,
0.603246,µm^2,Segment,13,2,1,100000002,510000003115,
0.530474,µm^2,Segment,12,2,1,100000002,510000003120,
0.484816,µm^2,Segment,11,2,1,100000002,510000003124,
0.945788,µm^2,Segment,10,2,1,100000002,510000003134,
1.3101,µm^2,Segment,9,2,1,100000002,510000003145,
2.55317,µm^2,Segment,7,2,1,100000002,510000003170,
0.660961,µm^2,Segment,6,2,1,100000002,510000003175,
0.323309,µm^2,Segment,5,2,1,100000002,510000003178,
0.487202,µm^2,Segment,4,2,1,100000002,510000003181,
2.09821,µm^2,Segment,7,2,1,100000002,510000003197,
0.346703,µm^2,Segment,15,2,1,100000001,510000003200,
0.979935,µm^2,Segment,14,2,1,100000001,510000003208,
1.6436,µm^2,Segment,13,2,1,100000001,510000003223,
1.98185,µm^2,Segment,12,2,1,100000001,510000003247,
1.3922,µm^2,Segment,11,2,1,100000001,510000003258,
0.432474,µm^2,Segment,8,3,1,100000002,510000003260,
0.961034,µm^2,Segment,12,3,1,100000002,510000003271,
2.28881,µm^2,Segment,3,2,1,100000002,510000003297,
