
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
8.772,4934.47,µm^3,Cumulative Volume,Image 1,1,,
8.908,4974.91,µm^3,Cumulative Volume,Image 1,1,,
9.044,5015.95,µm^3,Cumulative Volume,Image 1,1,,
9.18,5056.95,µm^3,Cumulative Volume,Image 1,1,,
9.316,5098.23,µm^3,Cumulative Volume,Image 1,1,,
9.452,5139.1,µm^3,Cumulative Volume,Image 1,1,,
9.588,5180.02,µm^3,Cumulative Volume,Image 1,1,,
9.724,5221.48,µm^3,Cumulative Volume,Image 1,1,,
9.86,5262.84,µm^3,Cumulative Volume,Image 1,1,,
9.996,5304.6,µm^3,Cumulative Volume,Image 1,1,,
10.132,5346.16,µm^3,Cumulative Volume,Image 1,1,,
10.268,5387.95,µm^3,Cumulative Volume,Image 1,1,,
10.404,5429.45,µm^3,Cumulative Volume,Image 1,1,,
10.54,5471.06,µm^3,Cumulative Volume,Image 1,1,,
10.676,5513.31,µm^3,Cumulative Volume,Image 1,1,,
10.812,5555.45,µm^3,Cumulative Volume,Image 1,1,,
10.948,5597.76,µm^3,Cumulative Volume,Image 1,1,,
11.084,5639.54,µm^3,Cumulative Volume,Image 1,1,,
11.22,5681.34,µm^3,Cumulative Volume,Image 1,1,,
11.356,5723.36,µm^3,Cumulative Volume,Image 1,1,,
11.492,5764.39,µm^3,Cumulative Volume,Image 1,1,,
11.628,5804.71,µm^3,Cumulative Volume,Image 1,1,,
11.764,5843.77,µm^3,Cumulative Volume,Image 1,1,,
11.9,5882.15,µm^3,Cumulative Volume,Image 1,1,,
12.036,5920.49,µm^3,Cumulative Volume,Image 1,1,,
12.172,5958.14,µm^3,Cumulative Volume,Image 1,1,,
12.308,5995.53,µm^3,Cumulative Volume,Image 1,1,,
12.444,6032.17,µm^3,Cumulative Volume,Image 1,1,,
12.58,6068.65,µm^3,Cumulative Volume,Image 1,1,,
12.716,6105.29,µm^3,Cumulative Volume,Image 1,1,,
12.852,6141.59,µm^3,Cumulative Volume,Image 1,1,,
12.988,6177.96,µm^3,Cumulative Volume,Image 1,1,,
13.124,6213.86,µm^3,Cumulative Volume,Image 1,1,,
13.26,6249.68,µm^3,Cumulative Volume,Image 1,1,,
13.396,6285.83,µm^3,Cumulative Volume,Image 1,1,,
13.532,6321.72,µm^3,Cumulative Volume,Image 1,1,,
13.668,6357.8,µm^3,Cumulative Volume,Image 1,1,,
13.804,6393.64,µm^3,Cumulative Volume,Image 1,1,,
13.94,6429.5,µm^3,Cumulative Volume,Image 1,1,,
14.076,6464.86,µm^3,Cumulative Volume,Image 1,1,,
14.212,6500.22,µm^3,Cumulative Volume,Image 1,1,,
14.348,6535.95,µm^3,Cumulative Volume,Image 1,1,,
14.484,6571.46,µm^3,Cumulative Volume,Image 1,1,,
14.62,6607.09,µm^3,Cumulative Volume,Image 1,1,,
14.756,6642.23,µm^3,Cumulative Volume,Image 1,1,,
14.892,6677.29,µm^3,Cumulative Volume,Image 1,1,,
15.028,6712.72,µm^3,Cumulative Volume,Image 1,1,,
15.164,6748.01,µm^3,Cumulative Volume,Image 1,1,,
15.3,6783.36,µm^3,Cumulative Volume,Image 1,1,,
15.436,6818.23,µm^3,Cumulative Volume,Image 1,1,,
15.572,6853.09,µm^3,Cumulative Volume,Image 1,1,,
15.708,6888.38,µm^3,Cumulative Volume,Image 1,1,,
15.844,6923.64,µm^3,Cumulative Volume,Image 1,1,,
15.98,6959.11,µm^3,Cumulative Volume,Image 1,1,,
16.116,6993.65,µm^3,Cumulative Volume,Image 1,1,,
16.252,7028.71,µm^3,Cumulative Volume,Image 1,1,,
16.388,7063.7,µm^3,Cumulative Volume,Image 1,1,,
16.524,7097.84,µm^3,Cumulative Volume,Image 1,1,,
16.66,7132.65,µm^3,Cumulative Volume,Image 1,1,,
16.796,7167.52,µm^3,Cumulative Volume,Image 1,1,,
16.932,7201.67,µm^3,Cumulative Volume,Image 1,1,,
17.068,7236.64,µm^3,Cumulative Volume,Image 1,1,,
17.204,7272.02,µm^3,Cumulative Volume,Image 1,1,,
17.34,7307.03,µm^3,Cumulative Volume,Image 1,1,,
17.476,7341.19,µm^3,Cumulative Volume,Image 1,1,,
17.612,7375.97,µm^3,Cumulative Volume,Image 1,1,,
17.748,7410.63,µm^3,Cumulative Volume,Image 1,1,,
17.884,7444.6,µm^3,Cumulative Volume,Image 1,1,,
18.02,7479.44,µm^3,Cumulative Volume,Image 1,1,,
18.156,7514.6,µm^3,Cumulative Volume,Image 1,1,,
18.292,7549.31,µm^3,Cumulative Volume,Image 1,1,,
18.428,7583.2,µm^3,Cumulative Volume,Image 1,1,,
18.564,7617.77,µm^3,Cumulative Volume,Image 1,1,,
18.7,7652.37,µm^3,Cumulative Volume,Image 1,1,,
18.836,7686.25,µm^3,Cumulative Volume,Image 1,1,,
18.972,7720.76,µm^3,Cumulative Volume,Image 1,1,,
19.108,7755.21,µm^3,Cumulative Volume,Image 1,1,,
19.244,7788.91,µm^3,Cumulative Volume,Image 1,1,,
19.38,7823.4,µm^3,Cumulative Volume,Image 1,1,,
19.516,7858.25,µm^3,Cumulative Volume,Image 1,1,,
19.652,7892.67,µm^3,Cumulative Volume,Image 1,1,,
19.788,7926.29,µm^3,Cumulative Volume,Image 1,1,,
19.924,7960.63,µm^3,Cumulative Volume,Image 1,1,,
20.06,7994.99,µm^3,Cumulative Volume,Image 1,1,,
20.196,8028.67,µm^3,Cumulative Volume,Image 1,1,,
20.332,8063.14,µm^3,Cumulative Volume,Image 1,1,,
20.468,8097.95,µm^3,Cumulative Volume,Image 1,1,,
20.604,8132.39,µm^3,Cumulative Volume,Image 1,1,,
20.74,8165.96,µm^3,Cumulative Volume,Image 1,1,,
20.876,8200.1,µm^3,Cumulative Volume,Image 1,1,,
21.012,8234.29,µm^3,Cumulative Volume,Image 1,1,,
21.148,8267.8,µm^3,Cumulative Volume,Image 1,1,,
21.284,8302.04,µm^3,Cumulative Volume,Image 1,1,,
21.42,8336.2,µm^3,Cumulative Volume,Image 1,1,,
21.556,8369.66,µm^3,Cumulative Volume,Image 1,1,,
21.692,8404.04,µm^3,Cumulative Volume,Image 1,1,,
21.828,8438.81,µm^3,Cumulative Volume,Image 1,1,,
21.964,8473.05,µm^3,Cumulative Volume,Image 1,1,,
22.1,8506.36,µm^3,Cumulative Volume,Image 1,1,,
22.236,8540.35,µm^3,Cumulative Volume,Image 1,1,,
22.372,8574.32,µm^3,Cumulative Volume,Image 1,1,,
22.508,8607.62,µm^3,Cumulative Volume,Image 1,1,,
22.644,8641.61,µm^3,Cumulative Volume,Image 1,1,,
22.78,8675.58,µm^3,Cumulative Volume,Image 1,1,,
22.916,8708.96,µm^3,Cumulative Volume,Image 1,1,,
23.052,8743.25,µm^3,Cumulative Volume,Image 1,1,,
23.188,8777.84,µm^3,Cumulative Volume,Image 1,1,,
23.324,8812,µm^3,Cumulative Volume,Image 1,1,,
23.46,8845.31,µm^3,Cumulative Volume,Image 1,1,,
23.596,8879.2,µm^3,Cumulative Volume,Image 1,1,,
23.732,8913.05,µm^3,Cumulative Volume,Image 1,1,,
23.868,8946.36,µm^3,Cumulative Volume,Image 1,1,,
24.004,8980.49,µm^3,Cumulative Volume,Image 1,1,,
24.14,9014.92,µm^3,Cumulative Volume,Image 1,1,,
24.276,9048.93,µm^3,Cumulative Volume,Image 1,1,,
24.412,9082.08,µm^3,Cumulative Volume,Image 1,1,,
24.548,9115.93,µm^3,Cumulative Volume,Image 1,1,,
24.684,9149.79,µm^3,Cumulative Volume,Image 1,1,,
24.82,9182.85,µm^3,Cumulative Volume,Image 1,1,,
24.956,9216.62,µm^3,Cumulative Volume,Image 1,1,,
25.092,9250.5,µm^3,Cumulative Volume,Image 1,1,,
25.228,9283.69,µm^3,Cumulative Volume,Image 1,1,,
25.364,9317.62,µm^3,Cumulative Volume,Image 1,1,,
25.5,9351.93,µm^3,Cumulative Volume,Image 1,1,,
25.636,9385.9,µm^3,Cumulative Volume,Image 1,1,,
25.772,9419.06,µm^3,Cumulative Volume,Image 1,1,,
25.908,9452.83,µm^3,Cumulative Volume,Image 1,1,,
26.044,9486.38,µm^3,Cumulative Volume,Image 1,1,,
26.18,9518.69,µm^3,Cumulative Volume,Image 1,1,,
26.316,9550.56,µm^3,Cumulative Volume,Image 1,1,,
26.452,9581.22,µm^3,Cumulative Volume,Image 1,1,,
26.588,9610.27,µm^3,Cumulative Volume,Image 1,1,,
26.724,9639.32,µm^3,Cumulative Volume,Image 1,1,,
26.86,9668.11,µm^3,Cumulative Volume,Image 1,1,,
26.996,9695.97,µm^3,Cumulative Volume,Image 1,1,,
27.132,9722.75,µm^3,Cumulative Volume,Image 1,1,,
27.268,9749.67,µm^3,Cumulative Volume,Image 1,1,,
27.404,9776.22,µm^3,Cumulative Volume,Image 1,1,,
27.54,9801.9,µm^3,Cumulative Volume,Image 1,1,,
27.676,9827.65,µm^3,Cumulative Volume,Image 1,1,,
27.812,9852.72,µm^3,Cumulative Volume,Image 1,1,,
27.948,9875.95,µm^3,Cumulative Volume,Image 1,1,,
28.084,9896.84,µm^3,Cumulative Volume,Image 1,1,,
28.22,9916.56,µm^3,Cumulative Volume,Image 1,1,,
28.356,9934.99,µm^3,Cumulative Volume,Image 1,1,,
28.492,9951.94,µm^3,Cumulative Volume,Image 1,1,,
28.628,9968.33,µm^3,Cumulative Volume,Image 1,1,,
28.764,9984.12,µm^3,Cumulative Volume,Image 1,1,,
28.9,9999.17,µm^3,Cumulative Volume,Image 1,1,,
29.036,10014.2,µm^3,Cumulative Volume,Image 1,1,,
29.172,10029.1,µm^3,Cumulative Volume,Image 1,1,,
29.308,10043.4,µm^3,Cumulative Volume,Image 1,1,,
29.444,10057.1,µm^3,Cumulative Volume,Image 1,1,,
29.58,10070.6,µm^3,Cumulative Volume,Image 1,1,,
29.716,10083.9,µm^3,Cumulative Volume,Image 1,1,,
29.852,10096.6,µm^3,Cumulative Volume,Image 1,1,,
29.988,10109.2,µm^3,Cumulative Volume,Image 1,1,,
30.124,10121.6,µm^3,Cumulative Volume,Image 1,1,,
30.26,10133.4,µm^3,Cumulative Volume,Image 1,1,,
30.396,10145.2,µm^3,Cumulative Volume,Image 1,1,,
30.532,10156.9,µm^3,Cumulative Volume,Image 1,1,,
30.668,10168.2,µm^3,Cumulative Volume,Image 1,1,,
30.804,10178.9,µm^3,Cumulative Volume,Image 1,1,,
30.94,10189.7,µm^3,Cumulative Volume,Image 1,1,,
31.076,10200.1,µm^3,Cumulative Volume,Image 1,1,,
31.212,10210.1,µm^3,Cumulative Volume,Image 1,1,,
31.348,10220.1,µm^3,Cumulative Volume,Image 1,1,,
31.484,10230,µm^3,Cumulative Volume,Image 1,1,,
31.62,10239.5,µm^3,Cumulative Volume,Image 1,1,,
31.756,10248.6,µm^3,Cumulative Volume,Image 1,1,,
31.892,10257.7,µm^3,Cumulative Volume,Image 1,1,,
32.028,10266.6,µm^3,Cumulative Volume,Image 1,1,,
32.164,10274.9,µm^3,Cumulative Volume,Image 1,1,,
32.3,10283.1,µm^3,Cumulative Volume,Image 1,1,,
32.436,10291.3,µm^3,Cumulative Volume,Image 1,1,,
32.572,10299,µm^3,Cumulative Volume,Image 1,1,,
32.708,10306.5,µm^3,Cumulative Volume,Image 1,1,,
32.844,10314.1,µm^3,Cumulative Volume,Image 1,1,,
32.98,10321.1,µm^3,Cumulative Volume,Image 1,1,,
33.116,10328,µm^3,Cumulative Volume,Image 1,1,,
33.252,10335,µm^3,Cumulative Volume,Image 1,1,,
33.388,10341.5,µm^3,Cumulative Volume,Image 1,1,,
33.524,10347.8,µm^3,Cumulative Volume,Image 1,1,,
