
Spine Intensity StdDev Ch=1 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
31.9755,,Spine,1,0,Image 1,1,1,100000000,610000003609,
14.1578,,Spine,1,2,Image 1,2,1,100000000,610000003612,
11.8673,,Spine,1,2,Image 1,2,1,100000000,610000003613,
17.0258,,Spine,1,1,Image 1,2,1,100000000,610000003614,
15.1417,,Spine,1,1,Image 1,2,1,100000000,610000003615,
20.7522,,Spine,1,1,Image 1,2,1,100000000,610000003618,
22.3241,,Spine,1,1,Image 1,2,1,100000000,610000003619,
23.0994,,Spine,1,4,Image 1,1,1,100000000,610000003621,
25.4496,,Spine,1,3,Image 1,1,1,100000000,610000003622,
16.0265,,Spine,1,3,Image 1,1,1,100000000,610000003623,
13.7361,,Spine,1,3,Image 1,1,1,100000000,610000003624,
18.1948,,Spine,1,6,Image 1,3,1,100000000,610000003625,
19.7942,,Spine,1,6,Image 1,2,1,100000000,610000003626,
19.5408,,Spine,1,6,Image 1,2,1,100000000,610000003627,
24.2111,,Spine,1,5,Image 1,2,1,100000000,610000003628,
13.6232,,Spine,1,4,Image 1,2,1,100000000,610000003629,
21.9683,,Spine,1,5,Image 1,3,1,100000000,610000003630,
51.7441,,Spine,1,5,Image 1,4,1,100000000,610000003631,
15.8767,,Spine,1,4,Image 1,4,1,100000000,610000003632,
24.4785,,Spine,1,4,Image 1,4,1,100000000,610000003633,
18.9936,,Spine,1,4,Image 1,4,1,100000000,610000003634,
23.1638,,Spine,1,3,Image 1,3,1,100000000,610000003635,
27.1553,,Spine,1,3,Image 1,3,1,100000000,610000003636,
19.2165,,Spine,1,2,Image 1,3,1,100000000,610000003637,
26.0861,,Spine,1,5,Image 1,2,1,100000000,610000003638,
9.11295,,Spine,1,5,Image 1,2,1,100000000,610000003639,
15.8292,,Spine,1,5,Image 1,2,1,100000000,610000003640,
16.079,,Spine,1,5,Image 1,2,1,100000000,610000003641,
19.2039,,Spine,1,5,Image 1,2,1,100000000,610000003642,
14.3813,,Spine,1,5,Image 1,3,1,100000000,610000003643,
19.0686,,Spine,1,4,Image 1,1,1,100000000,610000003644,
14.4262,,Spine,1,4,Image 1,1,1,100000000,610000003645,
13.4847,,Spine,1,3,Image 1,1,1,100000000,610000003646,
24.0001,,Spine,1,3,Image 1,1,1,100000000,610000003647,
12.4633,,Spine,1,2,Image 1,1,1,100000000,610000003648,
15.0419,,Spine,1,0,Image 1,1,1,100000000,610000003649,
15.6642,,Spine,1,0,Image 1,1,1,100000000,610000003652,
14.2586,,Spine,1,0,Image 1,1,1,100000000,610000003653,
16.7185,,Spine,1,0,Image 1,1,1,100000000,610000003654,
18.076,,Spine,1,0,Image 1,1,1,100000001,610000003658,
28.5043,,Spine,1,0,Image 1,1,1,100000001,610000003659,
15.3064,,Spine,1,0,Image 1,1,1,100000001,610000003660,
28.5026,,Spine,1,0,Image 1,1,1,100000001,610000003661,
13.9237,,Spine,1,0,Image 1,1,1,100000001,610000003664,
14.3996,,Spine,1,0,Image 1,1,1,100000001,610000003665,
