
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
28,,Segment,4,6,Image 1,5,1,100000003,510000009315,
11,,Segment,4,5,Image 1,4,1,100000003,510000009325,
25,,Segment,4,4,Image 1,4,1,100000003,510000009349,
72,,Segment,4,3,Image 1,3,1,100000003,510000009420,
29,,Segment,4,2,Image 1,2,1,100000003,510000009448,
18,,Segment,4,1,Image 1,2,1,100000003,510000009465,
3,,Segment,4,9,Image 1,6,1,100000002,510000009467,
33,,Segment,4,10,Image 1,6,1,100000002,510000009499,
13,,Segment,4,5,Image 1,4,1,100000003,510000009511,
17,,Segment,4,4,Image 1,3,1,100000003,510000009527,
49,,Segment,4,3,Image 1,2,1,100000003,510000009575,
4,,Segment,4,2,Image 1,1,1,100000003,510000009578,
6,,Segment,4,1,Image 1,1,1,100000003,510000009583,
4,,Segment,4,0,Image 1,1,1,100000003,510000009614,
21,,Segment,4,0,Image 1,1,1,100000003,510000009635,
40,,Segment,4,8,Image 1,5,1,100000003,510000009675,
3,,Segment,4,7,Image 1,4,1,100000003,510000009677,
9,,Segment,4,6,Image 1,4,1,100000003,510000009685,
6,,Segment,4,6,Image 1,4,1,100000003,510000009691,
9,,Segment,4,5,Image 1,4,1,100000003,510000009699,
26,,Segment,4,6,Image 1,5,1,100000002,510000009724,
4,,Segment,4,5,Image 1,4,1,100000002,510000009727,
40,,Segment,4,4,Image 1,3,1,100000002,510000009766,
3,,Segment,4,5,Image 1,3,1,100000003,510000009768,
9,,Segment,4,11,Image 1,6,1,100000002,510000009776,
4,,Segment,4,10,Image 1,5,1,100000002,510000009779,
28,,Segment,4,8,Image 1,5,1,100000002,510000009807,
14,,Segment,4,5,Image 1,5,1,100000003,510000009820,
24,,Segment,4,6,Image 1,5,1,100000003,510000009843,
16,,Segment,4,5,Image 1,5,1,100000003,510000009858,
22,,Segment,4,4,Image 1,4,1,100000003,510000009879,
5,,Segment,4,3,Image 1,3,1,100000003,510000009883,
74,,Segment,4,2,Image 1,3,1,100000003,510000009956,
3,,Segment,4,6,Image 1,6,1,100000003,510000009958,
18,,Segment,4,4,Image 1,2,1,100000003,510000009975,
4,,Segment,4,6,Image 1,4,1,100000002,510000009992,
14,,Segment,4,9,Image 1,6,1,100000003,510000010017,
11,,Segment,4,8,Image 1,5,1,100000003,510000010027,
20,,Segment,4,9,Image 1,5,1,100000003,510000010046,
27,,Segment,4,19,Image 1,6,1,100000002,510000010072,
4,,Segment,4,18,Image 1,5,1,100000002,510000010075,
4,,Segment,4,17,Image 1,5,1,100000002,510000010078,
18,,Segment,4,16,Image 1,5,1,100000002,510000010095,
15,,Segment,4,20,Image 1,5,1,100000002,510000010109,
6,,Segment,4,19,Image 1,5,1,100000002,510000010114,
8,,Segment,4,20,Image 1,6,1,100000002,510000010121,
7,,Segment,4,18,Image 1,6,1,100000002,510000010127,
7,,Segment,4,17,Image 1,6,1,100000002,510000010133,
38,,Segment,4,8,Image 1,2,1,100000003,510000010170,
42,,Segment,4,7,Image 1,2,1,100000003,510000010211,
4,,Segment,4,5,Image 1,4,1,100000003,510000010214,
8,,Segment,4,5,Image 1,5,1,100000002,510000010221,
7,,Segment,4,4,Image 1,4,1,100000002,510000010227,
28,,Segment,4,3,Image 1,4,1,100000002,510000010254,
5,,Segment,4,2,Image 1,3,1,100000002,510000010258,
4,,Segment,4,4,Image 1,5,1,100000002,510000010261,
29,,Segment,4,10,Image 1,5,1,100000002,510000010290,
13,,Segment,4,12,Image 1,4,1,100000002,510000010302,
78,,Segment,4,3,Image 1,2,1,100000003,510000010379,
18,,Segment,4,5,Image 1,3,1,100000002,510000010396,
9,,Segment,4,4,Image 1,3,1,100000002,510000010404,
40,,Segment,4,3,Image 1,3,1,100000002,510000010443,
5,,Segment,4,4,Image 1,4,1,100000002,510000010448,
19,,Segment,4,8,Image 1,4,1,100000002,510000010466,
15,,Segment,4,10,Image 1,6,1,100000002,510000010481,
15,,Segment,4,5,Image 1,2,1,100000003,510000010495,
79,,Segment,4,12,Image 1,5,1,100000002,510000010573,
3,,Segment,4,11,Image 1,5,1,100000002,510000010575,
6,,Segment,4,12,Image 1,6,1,100000002,510000010580,
7,,Segment,4,9,Image 1,6,1,100000002,510000010586,
35,,Segment,4,11,Image 1,2,1,100000002,510000010620,
56,,Segment,4,12,Image 1,5,1,100000002,510000010675,
21,,Segment,4,10,Image 1,3,1,100000002,510000010696,
12,,Segment,4,12,Image 1,4,1,100000002,510000010708,
6,,Segment,4,15,Image 1,6,1,100000002,510000010713,
16,,Segment,4,11,Image 1,3,1,100000002,510000010728,
27,,Segment,4,8,Image 1,4,1,100000002,510000010754,
24,,Segment,4,7,Image 1,3,1,100000002,510000010777,
6,,Segment,4,12,Image 1,4,1,100000002,510000010782,
3,,Segment,4,10,Image 1,4,1,100000002,510000010784,
29,,Segment,4,9,Image 1,3,1,100000002,510000010812,
4,,Segment,4,11,Image 1,5,1,100000002,510000010816,
12,,Segment,4,8,Image 1,3,1,100000002,510000010827,
36,,Segment,4,7,Image 1,4,1,100000002,510000010862,
4,,Segment,4,6,Image 1,3,1,100000002,510000010865,
6,,Segment,4,8,Image 1,3,1,100000002,510000010870,
4,,Segment,4,9,Image 1,5,1,100000002,510000010873,
14,,Segment,4,7,Image 1,4,1,100000002,510000010886,
7,,Segment,4,7,Image 1,3,1,100000002,510000010892,
10,,Segment,4,5,Image 1,3,1,100000002,510000010901,
10,,Segment,4,3,Image 1,3,1,100000002,510000010911,
4,,Segment,4,2,Image 1,1,1,100000002,510000010916,
5,,Segment,4,3,Image 1,3,1,100000002,510000010920,
34,,Segment,4,8,Image 1,2,1,100000003,510000010953,
8,,Segment,4,9,Image 1,1,1,100000003,510000010960,
14,,Segment,4,8,Image 1,4,1,100000003,510000010973,
3,,Segment,4,7,Image 1,5,1,100000003,510000010974,
5,,Segment,4,10,Image 1,5,1,100000003,510000010979,
5,,Segment,4,9,Image 1,4,1,100000003,510000010983,
21,,Segment,4,8,Image 1,3,1,100000003,510000011003,
3,,Segment,4,10,Image 1,4,1,100000003,510000011005,
15,,Segment,4,7,Image 1,3,1,100000003,510000011020,
12,,Segment,4,6,Image 1,2,1,100000003,510000011031,
13,,Segment,4,7,Image 1,2,1,100000003,510000011043,
5,,Segment,4,5,Image 1,2,1,100000003,510000011047,
8,,Segment,4,4,Image 1,3,1,100000003,510000011054,
8,,Segment,4,4,Image 1,3,1,100000003,510000011061,
18,,Segment,4,10,Image 1,3,1,100000003,510000011078,
4,,Segment,4,9,Image 1,4,1,100000003,510000011081,
19,,Segment,4,3,Image 1,4,1,100000003,510000011099,
13,,Segment,4,2,Image 1,1,1,100000002,510000011111,
20,,Segment,4,1,Image 1,1,1,100000002,510000011130,
50,,Segment,4,0,Image 1,1,1,100000002,510000011183,
13,,Segment,4,7,Image 1,3,1,100000003,510000011195,
5,,Segment,4,8,Image 1,2,1,100000003,510000011199,
16,,Segment,4,1,Image 1,2,1,100000002,510000011214,
8,,Segment,4,7,Image 1,3,1,100000003,510000011221,
15,,Segment,4,5,Image 1,1,1,100000003,510000011235,
9,,Segment,4,3,Image 1,2,1,100000003,510000011244,
24,,Segment,4,4,Image 1,5,1,100000002,510000011267,
3,,Segment,4,3,Image 1,4,1,100000002,510000011269,
6,,Segment,4,4,Image 1,2,1,100000003,510000011274,
5,,Segment,4,4,Image 1,3,1,100000002,510000011278,
5,,Segment,4,4,Image 1,4,1,100000002,510000011282,
39,,Segment,4,2,Image 1,2,1,100000002,510000011320,
10,,Segment,4,2,Image 1,2,1,100000003,510000011330,
16,,Segment,4,2,Image 1,2,1,100000003,510000011345,
10,,Segment,4,2,Image 1,2,1,100000002,510000011354,
11,,Segment,4,1,Image 1,1,1,100000002,510000011364,
15,,Segment,4,1,Image 1,2,1,100000003,510000011378,
7,,Segment,4,2,Image 1,2,1,100000003,510000011384,
3,,Segment,4,1,Image 1,1,1,100000003,510000011386,
6,,Segment,4,0,Image 1,1,1,100000003,510000011393,
5,,Segment,4,1,Image 1,2,1,100000002,510000011397,
22,,Segment,4,0,Image 1,1,1,100000002,510000011419,
6,,Segment,4,3,Image 1,1,1,100000003,510000011425,
9,,Segment,4,1,Image 1,1,1,100000002,510000011434,
5,,Segment,4,1,Image 1,2,1,100000003,510000011469,
13,,Segment,4,0,Image 1,1,1,100000003,510000011489,
6,,Segment,4,1,Image 1,2,1,100000003,510000011494,
8,,Segment,4,0,Image 1,1,1,100000003,510000011504,
7,,Segment,4,2,Image 1,2,1,100000003,510000011511,
5,,Segment,4,3,Image 1,2,1,100000003,510000011515,
3,,Segment,4,2,Image 1,1,1,100000003,510000011517,
3,,Segment,4,1,Image 1,2,1,100000003,510000011522,
5,,Segment,4,0,Image 1,1,1,100000003,510000011529,
2,,Segment,4,2,Image 1,2,1,100000002,510000011531,
2,,Segment,4,4,Image 1,2,1,100000002,510000011532,
2,,Segment,4,8,Image 1,4,1,100000002,510000011533,
2,,Segment,4,9,Image 1,5,1,100000002,510000011534,
2,,Segment,4,7,Image 1,3,1,100000002,510000011535,
2,,Segment,4,8,Image 1,3,1,100000002,510000011536,
2,,Segment,4,5,Image 1,2,1,100000002,510000011537,
2,,Segment,4,4,Image 1,3,1,100000002,510000011538,
2,,Segment,4,5,Image 1,4,1,100000002,510000011539,
2,,Segment,4,5,Image 1,2,1,100000002,510000011540,
2,,Segment,4,11,Image 1,4,1,100000002,510000011541,
2,,Segment,4,10,Image 1,3,1,100000002,510000011542,
2,,Segment,4,5,Image 1,3,1,100000002,510000011543,
2,,Segment,4,5,Image 1,4,1,100000002,510000011544,
2,,Segment,4,2,Image 1,2,1,100000002,510000011547,
2,,Segment,4,6,Image 1,4,1,100000002,510000011549,
2,,Segment,4,2,Image 1,1,1,100000002,510000011550,
2,,Segment,4,11,Image 1,4,1,100000003,510000011551,
2,,Segment,4,9,Image 1,5,1,100000003,510000011552,
2,,Segment,4,8,Image 1,5,1,100000003,510000011553,
2,,Segment,4,8,Image 1,1,1,100000003,510000011554,
2,,Segment,4,9,Image 1,3,1,100000003,510000011555,
2,,Segment,4,1,Image 1,1,1,100000003,510000011556,
2,,Segment,4,17,Image 1,5,1,100000003,510000011558,
2,,Segment,4,19,Image 1,7,1,100000003,510000011559,
2,,Segment,4,20,Image 1,7,1,100000003,510000011560,
2,,Segment,4,20,Image 1,6,1,100000003,510000011561,
2,,Segment,4,19,Image 1,5,1,100000003,510000011562,
2,,Segment,4,6,Image 1,2,1,100000003,510000011563,
2,,Segment,4,14,Image 1,6,1,100000003,510000011564,
2,,Segment,4,7,Image 1,3,1,100000003,510000011565,
2,,Segment,4,4,Image 1,2,1,100000003,510000011566,
2,,Segment,4,3,Image 1,1,1,100000003,510000011567,
