
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
2,,Segment,5,2,1,100000000,510000004562,
4,,Segment,4,4,1,100000000,510000004577,
2,,Segment,6,2,1,100000000,510000004582,
2,,Segment,2,2,1,100000002,510000004584,
2,,Segment,2,2,1,100000000,510000004599,
3,,Segment,3,3,1,100000000,510000004610,
2,,Segment,3,2,1,100000002,510000004619,
2,,Segment,4,2,1,100000002,510000004626,
2,,Segment,5,2,1,100000000,510000004628,
4,,Segment,3,4,1,100000000,510000004631,
2,,Segment,1,2,1,100000002,510000004636,
1,,Segment,1,1,1,100000001,510000004641,
2,,Segment,3,2,1,100000000,510000004644,
2,,Segment,1,2,1,100000000,510000004653,
2,,Segment,1,2,1,100000000,510000004666,
1,,Segment,0,1,1,100000000,510000004689,
1,,Segment,1,1,1,100000000,510000004697,
1,,Segment,0,1,1,100000002,510000004708,
1,,Segment,0,1,1,100000001,510000004744,
1,,Segment,2,1,1,100000000,510000004747,
2,,Segment,1,2,1,100000000,510000004748,
2,,Segment,3,2,1,100000000,510000004749,
4,,Segment,9,4,1,100000001,510000004750,
1,,Segment,3,1,1,100000001,510000004751,
