
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.335275,µm,Segment,4,2,1,100000002,510000004626,
0.334194,µm,Segment,5,2,1,100000000,510000004628,
0.282836,µm,Segment,3,4,1,100000000,510000004631,
0.34061,µm,Segment,1,2,1,100000002,510000004636,
0.297729,µm,Segment,1,1,1,100000001,510000004641,
0.466747,µm,Segment,3,2,1,100000000,510000004644,
0.27122,µm,Segment,1,2,1,100000000,510000004653,
0.232967,µm,Segment,1,2,1,100000000,510000004666,
0.242094,µm,Segment,0,1,1,100000000,510000004689,
0.319882,µm,Segment,1,1,1,100000000,510000004697,
0.288599,µm,Segment,0,1,1,100000002,510000004708,
0.456686,µm,Segment,0,1,1,100000001,510000004744,
0.345593,µm,Segment,2,1,1,100000000,510000004747,
0.453458,µm,Segment,1,2,1,100000000,510000004748,
0.380748,µm,Segment,3,2,1,100000000,510000004749,
0.279405,µm,Segment,9,4,1,100000001,510000004750,
0.577756,µm,Segment,3,1,1,100000001,510000004751,
