
Spine Intensity Median Ch=4 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
85.125,,Spine,4,0,Image 1,1,1,100000001,610000005662,
50.125,,Spine,4,0,Image 1,1,1,100000001,610000005663,
26.0625,,Spine,4,0,Image 1,1,1,100000001,610000005664,
34.0625,,Spine,4,1,Image 1,2,1,100000001,610000005671,
74.125,,Spine,4,1,Image 1,2,1,100000001,610000005672,
135.125,,Spine,4,0,Image 1,1,1,100000001,610000005673,
132.625,,Spine,4,0,Image 1,1,1,100000001,610000005674,
79.125,,Spine,4,0,Image 1,1,1,100000001,610000005675,
45.0625,,Spine,4,4,Image 1,3,1,100000002,610000005676,
55.0625,,Spine,4,4,Image 1,3,1,100000002,610000005677,
31.0625,,Spine,4,4,Image 1,3,1,100000002,610000005678,
29.5625,,Spine,4,3,Image 1,3,1,100000002,610000005679,
71.125,,Spine,4,2,Image 1,2,1,100000002,610000005680,
42.0625,,Spine,4,8,Image 1,3,1,100000002,610000005681,
30.5625,,Spine,4,6,Image 1,2,1,100000002,610000005682,
46.125,,Spine,4,4,Image 1,1,1,100000002,610000005683,
88.625,,Spine,4,4,Image 1,1,1,100000002,610000005684,
30.0625,,Spine,4,3,Image 1,1,1,100000002,610000005685,
55.625,,Spine,4,2,Image 1,1,1,100000002,610000005686,
53.0625,,Spine,4,0,Image 1,1,1,100000003,610000005687,
51.0625,,Spine,4,0,Image 1,1,1,100000003,610000005688,
35.0625,,Spine,4,0,Image 1,1,1,100000003,610000005689,
56.125,,Spine,4,0,Image 1,1,1,100000003,610000005690,
105.125,,Spine,4,0,Image 1,1,1,100000003,610000005691,
26.5625,,Spine,4,4,Image 1,3,1,100000003,610000005692,
55.125,,Spine,4,3,Image 1,3,1,100000003,610000005693,
54.0625,,Spine,4,3,Image 1,4,1,100000003,610000005694,
38.0625,,Spine,4,2,Image 1,3,1,100000003,610000005695,
68.125,,Spine,4,2,Image 1,2,1,100000003,610000005696,
