
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2.50391,,Spine,2,1,Image 1,1,1,100000001,610000006649,
1,,Spine,2,1,Image 1,1,1,100000001,610000006652,
6.00391,,Spine,2,10,Image 1,3,1,100000002,610000006655,
2.50098,,Spine,2,0,Image 1,1,1,100000001,610000006660,
2.00195,,Spine,2,0,Image 1,1,1,100000001,610000006662,
3.00195,,Spine,2,12,Image 1,4,1,100000001,610000006666,
5.03125,,Spine,2,20,Image 1,7,1,100000001,610000006676,
4,,Spine,2,0,Image 1,1,1,100000001,610000006681,
1.00195,,Spine,2,1,Image 1,1,1,100000000,610000006684,
3.00391,,Spine,2,0,Image 1,1,1,100000002,610000006691,
4.01562,,Spine,2,0,Image 1,1,1,100000000,610000006694,
3.00391,,Spine,2,7,Image 1,4,1,100000001,610000006697,
2.00195,,Spine,2,0,Image 1,1,1,100000001,610000006701,
3,,Spine,2,2,Image 1,1,1,100000001,610000006703,
1.00391,,Spine,2,1,Image 1,1,1,100000001,610000006708,
2.00391,,Spine,2,2,Image 1,1,1,100000001,610000006714,
2,,Spine,2,5,Image 1,3,1,100000001,610000006719,
6,,Spine,2,7,Image 1,2,1,100000000,610000006722,
1.00195,,Spine,2,2,Image 1,1,1,100000001,610000006725,
2.50098,,Spine,2,0,Image 1,1,1,100000001,610000006730,
8.00781,,Spine,2,10,Image 1,5,1,100000001,610000006744,
0.500977,,Spine,2,0,Image 1,1,1,100000001,610000006750,
2.00195,,Spine,2,0,Image 1,1,1,100000001,610000006765,
2.00391,,Spine,2,5,Image 1,2,1,100000001,610000006774,
2,,Spine,2,3,Image 1,1,1,100000000,610000006782,
0.500977,,Spine,2,8,Image 1,4,1,100000000,610000006819,
1.00195,,Spine,2,7,Image 1,3,1,100000000,610000006820,
1.50098,,Spine,2,7,Image 1,4,1,100000000,610000006821,
11.0078,,Spine,2,4,Image 1,2,1,100000000,610000006822,
1.50098,,Spine,2,0,Image 1,1,1,100000000,610000006823,
1.00195,,Spine,2,0,Image 1,1,1,100000000,610000006824,
3,,Spine,2,4,Image 1,2,1,100000000,610000006825,
1,,Spine,2,4,Image 1,1,1,100000000,610000006826,
2.50098,,Spine,2,2,Image 1,1,1,100000000,610000006827,
3.00195,,Spine,2,2,Image 1,1,1,100000000,610000006828,
3.50391,,Spine,2,2,Image 1,1,1,100000000,610000006829,
5.00391,,Spine,2,1,Image 1,2,1,100000000,610000006830,
1.00195,,Spine,2,1,Image 1,1,1,100000000,610000006831,
2.50098,,Spine,2,7,Image 1,2,1,100000000,610000006832,
2.50098,,Spine,2,7,Image 1,2,1,100000000,610000006833,
98.0625,,Spine,2,5,Image 1,2,1,100000000,610000006834,
4.00391,,Spine,2,2,Image 1,2,1,100000000,610000006835,
3.00391,,Spine,2,1,Image 1,1,1,100000000,610000006836,
1,,Spine,2,4,Image 1,3,1,100000000,610000006837,
7.00391,,Spine,2,4,Image 1,3,1,100000000,610000006838,
59.5625,,Spine,2,3,Image 1,3,1,100000000,610000006839,
13.501,,Spine,2,3,Image 1,3,1,100000000,610000006840,
1.50098,,Spine,2,2,Image 1,2,1,100000000,610000006841,
1.50098,,Spine,2,2,Image 1,3,1,100000000,610000006842,
1,,Spine,2,0,Image 1,1,1,100000000,610000006843,
2.00391,,Spine,2,0,Image 1,1,1,100000000,610000006844,
1.50098,,Spine,2,10,Image 1,1,1,100000000,610000006846,
2.00195,,Spine,2,10,Image 1,1,1,100000000,610000006847,
6.00781,,Spine,2,6,Image 1,1,1,100000000,610000006848,
8.00391,,Spine,2,5,Image 1,2,1,100000000,610000006849,
1.50098,,Spine,2,4,Image 1,2,1,100000000,610000006850,
1.50195,,Spine,2,3,Image 1,3,1,100000000,610000006851,
1.00195,,Spine,2,2,Image 1,2,1,100000000,610000006852,
4.50098,,Spine,2,2,Image 1,1,1,100000000,610000006853,
3.00195,,Spine,2,2,Image 1,1,1,100000000,610000006854,
2.00195,,Spine,2,2,Image 1,1,1,100000000,610000006855,
1.50098,,Spine,2,1,Image 1,2,1,100000000,610000006856,
2.00391,,Spine,2,0,Image 1,1,1,100000000,610000006857,
5.00391,,Spine,2,19,Image 1,8,1,100000001,610000006858,
1.00195,,Spine,2,13,Image 1,8,1,100000001,610000006859,
4.00195,,Spine,2,12,Image 1,8,1,100000001,610000006860,
