
Spine Attachment Pt Time
 ==================== 
Spine Attachment Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,1,2,1,100000001,610000003096,
0,s,Spine,3,4,1,100000001,610000003098,
0,s,Spine,2,1,1,100000003,610000003100,
0,s,Spine,4,1,1,100000003,610000003115,
0,s,Spine,7,1,1,100000003,610000003124,
0,s,Spine,4,2,1,100000001,610000003127,
0,s,Spine,2,1,1,100000003,610000003132,
0,s,Spine,0,1,1,100000000,610000003153,
0,s,Spine,3,3,1,100000001,610000003163,
0,s,Spine,4,1,1,100000003,610000003166,
0,s,Spine,0,1,1,100000003,610000003174,
0,s,Spine,7,1,1,100000003,610000003182,
0,s,Spine,1,1,1,100000001,610000003185,
0,s,Spine,0,1,1,100000003,610000003210,
0,s,Spine,1,1,1,100000000,610000003214,
0,s,Spine,2,1,1,100000003,610000003220,
0,s,Spine,0,1,1,100000002,610000003232,
0,s,Spine,1,2,1,,610000003645,
0,s,Spine,0,1,1,,610000003645,
0,s,Spine,1,1,1,,610000003645,
0,s,Spine,0,1,1,,610000003646,
0,s,Spine,1,1,1,,610000003646,
0,s,Spine,0,1,1,,610000003647,
0,s,Spine,1,1,1,,610000003647,
0,s,Spine,0,1,1,,610000003648,
0,s,Spine,1,1,1,,610000003648,
0,s,Spine,1,2,1,,610000003649,
0,s,Spine,6,5,1,,610000003649,
0,s,Spine,2,2,1,,610000003650,
0,s,Spine,1,2,1,,610000003650,
0,s,Spine,1,1,1,,610000003650,
0,s,Spine,6,5,1,,610000003650,
0,s,Spine,2,2,1,,610000003651,
0,s,Spine,5,4,1,,610000003651,
0,s,Spine,1,1,1,,610000003651,
0,s,Spine,5,4,1,,610000003652,
0,s,Spine,1,1,1,,610000003652,
0,s,Spine,4,2,1,,610000003652,
0,s,Spine,2,1,1,,610000003652,
0,s,Spine,1,2,1,,610000003653,
0,s,Spine,5,4,1,,610000003653,
0,s,Spine,4,3,1,,610000003653,
0,s,Spine,2,1,1,,610000003653,
0,s,Spine,3,2,1,,610000003654,
0,s,Spine,5,4,1,,610000003654,
0,s,Spine,2,1,1,,610000003654,
0,s,Spine,3,2,1,,610000003655,
0,s,Spine,5,4,1,,610000003655,
0,s,Spine,2,1,1,,610000003655,
0,s,Spine,3,2,1,,610000003656,
0,s,Spine,5,4,1,,610000003656,
0,s,Spine,4,3,1,,610000003656,
0,s,Spine,2,1,1,,610000003656,
0,s,Spine,3,2,1,,610000003657,
0,s,Spine,5,4,1,,610000003658,
0,s,Spine,4,3,1,,610000003658,
0,s,Spine,1,2,1,,610000003659,
0,s,Spine,4,1,1,,610000003659,
0,s,Spine,4,4,1,,610000003659,
0,s,Spine,1,2,1,,610000003660,
0,s,Spine,4,4,1,,610000003660,
0,s,Spine,7,5,1,,610000003660,
0,s,Spine,7,1,1,,610000003660,
0,s,Spine,1,1,1,,610000003661,
0,s,Spine,4,4,1,,610000003661,
0,s,Spine,7,5,1,,610000003661,
