
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.270508,0.225471,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002851,
0.314784,0.464486,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002853,
0.550741,0.326423,0.504113,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002863,
0.326444,0.482396,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002865,
0.359236,0.246033,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002880,
0.327544,0.637145,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002884,
0.23335,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002889,
0.405827,0.522772,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002895,
0.20412,0.174315,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002913,
0.491116,0.945501,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002917,
0.27026,0.493899,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002928,
0.562391,0.46036,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002932,
0.437902,0.37342,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002937,
0.527409,0.842775,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002946,
0.234779,0.474667,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002948,
0.259874,0.230147,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002960,
0.271458,0.162331,0.256178,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002965,
0.257705,0.266482,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002971,
0.382999,0.43884,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002984,
