
Spine Branch Depth
 ==================== 
Spine Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
-1,,Spine,4,4,1,100000000,610000002722,
-1,,Spine,0,1,1,100000001,610000002724,
-1,,Spine,4,4,1,100000000,610000002730,
4,,Spine,4,2,1,100000001,610000002733,
0,,Spine,0,1,1,100000003,610000002736,
2,,Spine,2,1,1,100000001,610000002741,
1,,Spine,1,1,1,100000001,610000002744,
4,,Spine,4,3,1,100000001,610000002747,
0,,Spine,0,1,1,100000003,610000002749,
2,,Spine,2,1,1,100000003,610000002752,
0,,Spine,0,1,1,100000002,610000002754,
5,,Spine,5,4,1,100000001,610000002757,
-1,,Spine,0,1,1,100000003,610000002760,
0,,Spine,0,1,1,100000003,610000002763,
6,,Spine,6,2,1,100000003,610000002765,
6,,Spine,6,4,1,100000001,610000002767,
2,,Spine,2,1,1,100000003,610000002769,
4,,Spine,4,4,1,100000001,610000002773,
0,,Spine,0,1,1,100000000,610000002775,
4,,Spine,4,1,1,100000003,610000002778,
3,,Spine,3,3,1,100000001,610000002780,
3,,Spine,3,3,1,100000001,610000002782,
1,,Spine,1,1,1,100000001,610000002785,
-1,,Spine,0,1,1,100000003,610000002791,
5,,Spine,5,3,1,100000001,610000002793,
2,,Spine,2,1,1,100000003,610000002795,
-1,,Spine,0,1,1,100000003,610000002797,
6,,Spine,6,2,1,100000003,610000002799,
6,,Spine,6,2,1,100000003,610000002801,
0,,Spine,0,1,1,100000001,610000002803,
-1,,Spine,0,1,1,100000001,610000002805,
0,,Spine,0,1,1,100000002,610000002808,
0,,Spine,0,1,1,100000002,610000002811,
5,,Spine,5,4,1,100000001,610000002813,
6,,Spine,6,3,1,100000001,610000002816,
3,,Spine,3,2,1,100000002,610000002819,
-1,,Spine,0,1,1,100000003,610000002822,
0,,Spine,0,1,1,100000003,610000002824,
5,,Spine,5,4,1,100000001,610000002827,
6,,Spine,6,3,1,100000001,610000002829,
4,,Spine,4,1,1,100000003,610000002831,
1,,Spine,1,1,1,100000001,610000002834,
0,,Spine,0,1,1,100000003,610000002837,
5,,Spine,5,2,1,100000001,610000002839,
1,,Spine,1,1,1,100000002,610000002843,
5,,Spine,5,1,1,100000003,610000002846,
2,,Spine,2,1,1,100000003,610000002849,
0,,Spine,0,1,1,100000002,610000002851,
-1,,Spine,0,1,1,100000001,610000002853,
-1,,Spine,4,4,1,100000000,610000002858,
0,,Spine,0,1,1,100000003,610000002863,
-1,,Spine,0,1,1,100000002,610000002865,
4,,Spine,4,2,1,100000002,610000002868,
1,,Spine,1,1,1,100000002,610000002873,
1,,Spine,1,1,1,100000001,610000002875,
2,,Spine,2,2,1,100000003,610000002877,
0,,Spine,0,1,1,100000000,610000002880,
-1,,Spine,0,1,1,100000001,610000002884,
1,,Spine,1,1,1,100000001,610000002886,
