
Segment Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
38.8085,,Segment,1,0,Image 1,1,1,100000000,510000002796,
34.7904,,Segment,1,7,Image 1,6,1,100000000,510000002797,
37.7918,,Segment,1,4,Image 1,5,1,100000000,510000002798,
49.5432,,Segment,1,4,Image 1,4,1,100000000,510000002799,
39.3601,,Segment,1,2,Image 1,2,1,100000000,510000002800,
34.559,,Segment,1,4,Image 1,3,1,100000000,510000002801,
23.374,,Segment,1,6,Image 1,1,1,100000000,510000002803,
24.1161,,Segment,1,6,Image 1,2,1,100000000,510000002804,
28.6696,,Segment,1,3,Image 1,3,1,100000000,510000002806,
28.1713,,Segment,1,1,Image 1,2,1,100000001,510000002807,
32.6795,,Segment,1,13,Image 1,6,1,100000001,510000002808,
48.9113,,Segment,1,10,Image 1,4,1,100000001,510000002809,
40.7869,,Segment,1,4,Image 1,2,1,100000001,510000002810,
45.768,,Segment,1,1,Image 1,1,1,100000001,510000002812,
30.9455,,Segment,1,3,Image 1,2,1,100000001,510000002814,
41.4278,,Segment,1,3,Image 1,1,1,100000002,510000002815,
