
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
155.935,20811.9,1390.71,µm,Segment,Segment Position,11,5,1,100000001,510000002250,
188.001,20806.5,1388.46,µm,Segment,Segment Position,11,5,1,100000003,510000004241,
167.68,20787.2,1389.95,µm,Segment,Segment Position,11,5,1,100000000,510000004349,
158.469,20826.1,1391.39,µm,Segment,Segment Position,11,6,1,100000002,510000002767,
150.137,20808.7,1390.16,µm,Segment,Segment Position,11,6,1,100000001,510000003441,
159.141,20825.7,1391.15,µm,Segment,Segment Position,11,7,1,100000002,510000003126,
149.8,20808.8,1390.09,µm,Segment,Segment Position,11,7,1,100000001,510000003556,
183.75,20811.3,1388.25,µm,Segment,Segment Position,12,2,1,100000003,510000002626,
192.621,20815.2,1389.79,µm,Segment,Segment Position,12,2,1,100000003,510000002877,
157.146,20786.9,1389.54,µm,Segment,Segment Position,12,2,1,100000000,510000002977,
160.634,20811.3,1388.26,µm,Segment,Segment Position,12,3,1,100000001,510000000438,
185.303,20811.6,1389.09,µm,Segment,Segment Position,12,3,1,100000003,510000001238,
149.542,20786.7,1388.98,µm,Segment,Segment Position,12,3,1,100000000,510000001497,
192.655,20815.2,1389.83,µm,Segment,Segment Position,12,3,1,100000003,510000001579,
155.773,20785,1389.25,µm,Segment,Segment Position,12,3,1,100000000,510000002657,
192.591,20814.6,1390,µm,Segment,Segment Position,12,3,1,100000003,510000002745,
165.809,20791.3,1389.42,µm,Segment,Segment Position,12,3,1,100000000,510000003163,
189.672,20813.9,1389.1,µm,Segment,Segment Position,12,3,1,100000003,510000003172,
184.049,20811.1,1388.12,µm,Segment,Segment Position,12,3,1,100000003,510000003279,
187.17,20805.9,1389.35,µm,Segment,Segment Position,12,3,1,100000003,510000003918,
156.587,20785.6,1390.74,µm,Segment,Segment Position,12,3,1,100000000,510000003964,
157.236,20786.7,1389.83,µm,Segment,Segment Position,12,3,1,100000000,510000006555,
185.622,20811.3,1389.03,µm,Segment,Segment Position,12,4,1,100000003,510000001737,
159.594,20811.3,1388.03,µm,Segment,Segment Position,12,4,1,100000001,510000001761,
168.38,20786.8,1389.79,µm,Segment,Segment Position,12,4,1,100000000,510000001908,
166.511,20791.1,1389.25,µm,Segment,Segment Position,12,4,1,100000000,510000002086,
188.818,20816.1,1391.78,µm,Segment,Segment Position,12,4,1,100000003,510000002139,
148.948,20785.5,1388.25,µm,Segment,Segment Position,12,4,1,100000000,510000002236,
155.749,20784.9,1389.21,µm,Segment,Segment Position,12,4,1,100000000,510000002692,
150.148,20785.9,1388.94,µm,Segment,Segment Position,12,4,1,100000000,510000002838,
189.028,20814,1389.55,µm,Segment,Segment Position,12,4,1,100000003,510000002901,
163.035,20788.4,1389.45,µm,Segment,Segment Position,12,4,1,100000000,510000003108,
186.799,20805.7,1388.55,µm,Segment,Segment Position,12,4,1,100000003,510000003184,
185.129,20809.7,1389.55,µm,Segment,Segment Position,12,4,1,100000003,510000003273,
187.326,20805.7,1389.41,µm,Segment,Segment Position,12,4,1,100000003,510000003840,
156.311,20785.6,1390.61,µm,Segment,Segment Position,12,4,1,100000000,510000004414,
188.697,20816.2,1391.62,µm,Segment,Segment Position,12,5,1,100000003,510000002300,
149.337,20785.2,1388.62,µm,Segment,Segment Position,12,5,1,100000000,510000002326,
163.293,20788.6,1389.23,µm,Segment,Segment Position,12,5,1,100000000,510000002711,
168.335,20786.2,1390.32,µm,Segment,Segment Position,12,5,1,100000000,510000002835,
186.887,20805.8,1388.75,µm,Segment,Segment Position,12,5,1,100000003,510000003227,
184.874,20809.9,1389.65,µm,Segment,Segment Position,12,5,1,100000003,510000003991,
