
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10,,Spine,2,6,Image 1,3,1,100000003,610000008123,
5,,Spine,2,7,Image 1,3,1,100000002,610000008128,
16,,Spine,2,0,Image 1,1,1,100000002,610000008130,
12,,Spine,2,0,Image 1,1,1,100000003,610000008132,
14,,Spine,2,0,Image 1,1,1,100000001,610000008137,
24,,Spine,2,0,Image 1,1,1,100000001,610000008141,
28,,Spine,2,4,Image 1,2,1,100000003,610000008143,
8,,Spine,2,5,Image 1,3,1,100000003,610000008145,
0,,Spine,2,7,Image 1,5,1,100000002,610000008147,
26,,Spine,2,0,Image 1,1,1,100000001,610000008149,
60,,Spine,2,2,Image 1,2,1,100000000,610000008152,
6,,Spine,2,12,Image 1,3,1,100000000,610000008155,
14,,Spine,2,8,Image 1,5,1,100000001,610000008157,
3,,Spine,2,0,Image 1,1,1,100000003,610000008161,
9,,Spine,2,3,Image 1,2,1,100000000,610000008164,
17,,Spine,2,7,Image 1,3,1,100000001,610000008166,
24,,Spine,2,6,Image 1,3,1,100000002,610000008168,
21,,Spine,2,17,Image 1,5,1,100000000,610000008172,
5,,Spine,2,4,Image 1,2,1,100000002,610000008175,
9,,Spine,2,7,Image 1,4,1,100000001,610000008177,
15,,Spine,2,2,Image 1,2,1,100000003,610000008179,
10,,Spine,2,3,Image 1,2,1,100000002,610000008181,
15,,Spine,2,2,Image 1,1,1,100000001,610000008188,
2,,Spine,2,13,Image 1,4,1,100000001,610000008194,
31,,Spine,2,0,Image 1,1,1,100000002,610000008197,
4,,Spine,2,0,Image 1,1,1,100000003,610000008199,
13,,Spine,2,13,Image 1,3,1,100000000,610000008203,
19,,Spine,2,7,Image 1,2,1,100000003,610000008205,
15,,Spine,2,5,Image 1,3,1,100000002,610000008207,
12,,Spine,2,3,Image 1,2,1,100000003,610000008209,
6,,Spine,2,2,Image 1,2,1,100000002,610000008211,
10,,Spine,2,5,Image 1,2,1,100000001,610000008214,
24,,Spine,2,9,Image 1,2,1,100000003,610000008218,
7,,Spine,2,2,Image 1,2,1,100000003,610000008221,
4,,Spine,2,3,Image 1,2,1,100000001,610000008223,
18,,Spine,2,0,Image 1,1,1,100000001,610000008226,
3,,Spine,2,13,Image 1,4,1,100000001,610000008228,
9,,Spine,2,0,Image 1,1,1,100000003,610000008231,
34,,Spine,2,1,Image 1,1,1,100000001,610000008238,
22,,Spine,2,0,Image 1,1,1,100000001,610000008242,
10,,Spine,2,10,Image 1,2,1,100000003,610000008245,
11,,Spine,2,3,Image 1,2,1,100000003,610000008248,
11,,Spine,2,0,Image 1,1,1,100000003,610000008250,
6,,Spine,2,1,Image 1,1,1,100000003,610000008256,
14,,Spine,2,0,Image 1,1,1,100000003,610000008259,
11,,Spine,2,2,Image 1,2,1,100000002,610000008261,
7,,Spine,2,0,Image 1,1,1,100000002,610000008267,
10,,Spine,2,0,Image 1,1,1,100000003,610000008277,
36,,Spine,2,0,Image 1,1,1,100000003,610000008285,
36,,Spine,2,0,Image 1,1,1,100000002,610000008308,
15,,Spine,2,0,Image 1,1,1,100000003,610000008311,
10,,Spine,2,2,Image 1,3,1,100000001,610000008314,
15,,Spine,2,0,Image 1,1,1,100000002,610000008325,
10,,Spine,2,2,Image 1,1,1,100000001,610000008369,
8,,Spine,2,13,Image 1,4,1,100000000,610000008412,
6,,Spine,2,12,Image 1,4,1,100000000,610000008413,
5,,Spine,2,12,Image 1,4,1,100000000,610000008414,
11,,Spine,2,10,Image 1,3,1,100000000,610000008415,
2,,Spine,2,7,Image 1,2,1,100000000,610000008416,
16,,Spine,2,7,Image 1,2,1,100000000,610000008417,
8,,Spine,2,5,Image 1,3,1,100000000,610000008418,
17,,Spine,2,16,Image 1,5,1,100000000,610000008419,
5,,Spine,2,15,Image 1,4,1,100000000,610000008420,
10,,Spine,2,15,Image 1,3,1,100000000,610000008421,
9,,Spine,2,15,Image 1,3,1,100000000,610000008422,
13,,Spine,2,11,Image 1,2,1,100000000,610000008423,
4,,Spine,2,12,Image 1,4,1,100000000,610000008425,
9,,Spine,2,11,Image 1,4,1,100000000,610000008426,
16,,Spine,2,17,Image 1,6,1,100000000,610000008427,
18,,Spine,2,17,Image 1,6,1,100000000,610000008428,
8,,Spine,2,15,Image 1,5,1,100000000,610000008429,
2,,Spine,2,13,Image 1,4,1,100000000,610000008430,
8,,Spine,2,14,Image 1,6,1,100000000,610000008431,
5,,Spine,2,12,Image 1,4,1,100000000,610000008432,
4,,Spine,2,11,Image 1,4,1,100000000,610000008433,
13,,Spine,2,11,Image 1,4,1,100000000,610000008434,
7,,Spine,2,10,Image 1,3,1,100000000,610000008435,
5,,Spine,2,7,Image 1,3,1,100000000,610000008436,
7,,Spine,2,5,Image 1,1,1,100000000,610000008437,
8,,Spine,2,5,Image 1,2,1,100000000,610000008438,
7,,Spine,2,3,Image 1,1,1,100000000,610000008439,
11,,Spine,2,3,Image 1,2,1,100000000,610000008440,
10,,Spine,2,2,Image 1,1,1,100000000,610000008441,
10,,Spine,2,4,Image 1,3,1,100000000,610000008442,
11,,Spine,2,3,Image 1,2,1,100000000,610000008443,
14,,Spine,2,3,Image 1,3,1,100000000,610000008444,
3,,Spine,2,2,Image 1,2,1,100000000,610000008445,
8,,Spine,2,1,Image 1,1,1,100000000,610000008446,
11,,Spine,2,18,Image 1,6,1,100000001,610000008447,
7,,Spine,2,15,Image 1,4,1,100000001,610000008448,
10,,Spine,2,15,Image 1,3,1,100000001,610000008449,
