
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
120,,Spine,2,9,Image 1,3,1,100000003,610000007884,
239,,Spine,2,9,Image 1,2,1,100000003,610000007887,
218,,Spine,2,0,Image 1,1,1,100000001,610000007889,
103,,Spine,2,3,Image 1,3,1,100000001,610000007891,
178,,Spine,2,2,Image 1,2,1,100000002,610000007893,
291,,Spine,2,0,Image 1,1,1,100000002,610000007896,
188,,Spine,2,7,Image 1,4,1,100000001,610000007899,
135,,Spine,2,11,Image 1,3,1,100000003,610000007901,
221,,Spine,2,0,Image 1,1,1,100000001,610000007904,
209,,Spine,2,4,Image 1,3,1,100000000,610000007906,
176,,Spine,2,5,Image 1,3,1,100000002,610000007910,
174,,Spine,2,5,Image 1,2,1,100000001,610000007913,
244,,Spine,2,5,Image 1,2,1,100000001,610000007916,
157,,Spine,2,3,Image 1,2,1,100000000,610000007918,
411,,Spine,2,0,Image 1,1,1,100000002,610000007923,
533,,Spine,2,0,Image 1,1,1,100000001,610000007928,
327,,Spine,2,4,Image 1,1,1,100000001,610000007932,
183,,Spine,2,0,Image 1,1,1,100000003,610000007935,
124,,Spine,2,13,Image 1,4,1,100000003,610000007938,
216,,Spine,2,14,Image 1,6,1,100000000,610000007942,
201,,Spine,2,5,Image 1,2,1,100000001,610000007945,
168,,Spine,2,8,Image 1,2,1,100000001,610000007947,
262,,Spine,2,0,Image 1,1,1,100000002,610000007951,
170,,Spine,2,4,Image 1,2,1,100000002,610000007953,
249,,Spine,2,6,Image 1,1,1,100000003,610000007956,
209,,Spine,2,3,Image 1,1,1,100000000,610000007958,
200,,Spine,2,4,Image 1,2,1,100000002,610000007961,
247,,Spine,2,14,Image 1,4,1,100000001,610000007963,
261,,Spine,2,5,Image 1,3,1,100000003,610000007966,
321,,Spine,2,2,Image 1,2,1,100000003,610000007969,
211,,Spine,2,0,Image 1,1,1,100000003,610000007972,
269,,Spine,2,0,Image 1,1,1,100000002,610000007974,
406,,Spine,2,1,Image 1,1,1,100000001,610000007979,
215,,Spine,2,3,Image 1,2,1,100000001,610000007981,
227,,Spine,2,6,Image 1,2,1,100000001,610000007985,
226,,Spine,2,0,Image 1,1,1,100000001,610000007988,
282,,Spine,2,5,Image 1,2,1,100000000,610000007991,
172,,Spine,2,3,Image 1,2,1,100000000,610000007993,
198,,Spine,2,5,Image 1,2,1,100000001,610000007995,
93,,Spine,2,0,Image 1,1,1,100000001,610000007997,
259,,Spine,2,3,Image 1,2,1,100000001,610000008000,
276,,Spine,2,0,Image 1,1,1,100000002,610000008003,
254,,Spine,2,1,Image 1,1,1,100000002,610000008006,
629,,Spine,2,0,Image 1,1,1,100000003,610000008012,
283,,Spine,2,4,Image 1,2,1,100000003,610000008015,
187,,Spine,2,0,Image 1,1,1,100000003,610000008020,
147,,Spine,2,2,Image 1,2,1,100000002,610000008024,
137,,Spine,2,17,Image 1,6,1,100000000,610000008029,
168,,Spine,2,6,Image 1,2,1,100000001,610000008031,
248,,Spine,2,3,Image 1,2,1,100000001,610000008034,
462,,Spine,2,7,Image 1,3,1,100000001,610000008038,
229,,Spine,2,0,Image 1,1,1,100000002,610000008040,
458,,Spine,2,0,Image 1,1,1,100000002,610000008046,
176,,Spine,2,11,Image 1,3,1,100000003,610000008049,
123,,Spine,2,2,Image 1,2,1,100000000,610000008051,
289,,Spine,2,7,Image 1,4,1,100000001,610000008054,
197,,Spine,2,17,Image 1,6,1,100000000,610000008058,
165,,Spine,2,0,Image 1,1,1,100000001,610000008060,
409,,Spine,2,6,Image 1,2,1,100000001,610000008064,
239,,Spine,2,3,Image 1,1,1,100000001,610000008066,
139,,Spine,2,10,Image 1,6,1,100000002,610000008068,
245,,Spine,2,2,Image 1,2,1,100000003,610000008072,
161,,Spine,2,10,Image 1,3,1,100000001,610000008076,
165,,Spine,2,4,Image 1,2,1,100000003,610000008078,
292,,Spine,2,7,Image 1,2,1,100000001,610000008080,
998,,Spine,2,0,Image 1,1,1,100000003,610000008086,
196,,Spine,2,2,Image 1,1,1,100000000,610000008089,
379,,Spine,2,0,Image 1,1,1,100000003,610000008092,
265,,Spine,2,3,Image 1,3,1,100000001,610000008094,
282,,Spine,2,0,Image 1,1,1,100000003,610000008096,
315,,Spine,2,0,Image 1,1,1,100000001,610000008100,
148,,Spine,2,0,Image 1,1,1,100000001,610000008102,
223,,Spine,2,0,Image 1,1,1,100000002,610000008105,
320,,Spine,2,0,Image 1,1,1,100000001,610000008110,
195,,Spine,2,9,Image 1,2,1,100000003,610000008113,
169,,Spine,2,3,Image 1,1,1,100000001,610000008115,
317,,Spine,2,1,Image 1,2,1,100000003,610000008117,
268,,Spine,2,0,Image 1,1,1,100000001,610000008120,
305,,Spine,2,6,Image 1,3,1,100000003,610000008123,
166,,Spine,2,7,Image 1,3,1,100000002,610000008128,
249,,Spine,2,0,Image 1,1,1,100000002,610000008130,
206,,Spine,2,0,Image 1,1,1,100000003,610000008132,
311,,Spine,2,0,Image 1,1,1,100000001,610000008137,
230,,Spine,2,0,Image 1,1,1,100000001,610000008141,
218,,Spine,2,4,Image 1,2,1,100000003,610000008143,
254,,Spine,2,5,Image 1,3,1,100000003,610000008145,
187,,Spine,2,7,Image 1,5,1,100000002,610000008147,
250,,Spine,2,0,Image 1,1,1,100000001,610000008149,
313,,Spine,2,2,Image 1,2,1,100000000,610000008152,
187,,Spine,2,12,Image 1,3,1,100000000,610000008155,
221,,Spine,2,8,Image 1,5,1,100000001,610000008157,
255,,Spine,2,0,Image 1,1,1,100000003,610000008161,
146,,Spine,2,3,Image 1,2,1,100000000,610000008164,
287,,Spine,2,7,Image 1,3,1,100000001,610000008166,
282,,Spine,2,6,Image 1,3,1,100000002,610000008168,
188,,Spine,2,17,Image 1,5,1,100000000,610000008172,
215,,Spine,2,4,Image 1,2,1,100000002,610000008175,
133,,Spine,2,7,Image 1,4,1,100000001,610000008177,
203,,Spine,2,2,Image 1,2,1,100000003,610000008179,
241,,Spine,2,3,Image 1,2,1,100000002,610000008181,
328,,Spine,2,2,Image 1,1,1,100000001,610000008188,
178,,Spine,2,13,Image 1,4,1,100000001,610000008194,
249,,Spine,2,0,Image 1,1,1,100000002,610000008197,
216,,Spine,2,0,Image 1,1,1,100000003,610000008199,
376,,Spine,2,13,Image 1,3,1,100000000,610000008203,
299,,Spine,2,7,Image 1,2,1,100000003,610000008205,
252,,Spine,2,5,Image 1,3,1,100000002,610000008207,
251,,Spine,2,3,Image 1,2,1,100000003,610000008209,
239,,Spine,2,2,Image 1,2,1,100000002,610000008211,
280,,Spine,2,5,Image 1,2,1,100000001,610000008214,
262,,Spine,2,9,Image 1,2,1,100000003,610000008218,
229,,Spine,2,2,Image 1,2,1,100000003,610000008221,
174,,Spine,2,3,Image 1,2,1,100000001,610000008223,
212,,Spine,2,0,Image 1,1,1,100000001,610000008226,
201,,Spine,2,13,Image 1,4,1,100000001,610000008228,
328,,Spine,2,0,Image 1,1,1,100000003,610000008231,
471,,Spine,2,1,Image 1,1,1,100000001,610000008238,
288,,Spine,2,0,Image 1,1,1,100000001,610000008242,
331,,Spine,2,10,Image 1,2,1,100000003,610000008245,
331,,Spine,2,3,Image 1,2,1,100000003,610000008248,
208,,Spine,2,0,Image 1,1,1,100000003,610000008250,
369,,Spine,2,1,Image 1,1,1,100000003,610000008256,
457,,Spine,2,0,Image 1,1,1,100000003,610000008259,
243,,Spine,2,2,Image 1,2,1,100000002,610000008261,
218,,Spine,2,0,Image 1,1,1,100000002,610000008267,
333,,Spine,2,0,Image 1,1,1,100000003,610000008277,
225,,Spine,2,0,Image 1,1,1,100000003,610000008285,
367,,Spine,2,0,Image 1,1,1,100000002,610000008308,
346,,Spine,2,0,Image 1,1,1,100000003,610000008311,
482,,Spine,2,2,Image 1,3,1,100000001,610000008314,
282,,Spine,2,0,Image 1,1,1,100000002,610000008325,
271,,Spine,2,2,Image 1,1,1,100000001,610000008369,
107,,Spine,2,13,Image 1,4,1,100000000,610000008412,
100,,Spine,2,12,Image 1,4,1,100000000,610000008413,
101,,Spine,2,12,Image 1,4,1,100000000,610000008414,
124,,Spine,2,10,Image 1,3,1,100000000,610000008415,
200,,Spine,2,7,Image 1,2,1,100000000,610000008416,
190,,Spine,2,7,Image 1,2,1,100000000,610000008417,
151,,Spine,2,5,Image 1,3,1,100000000,610000008418,
94,,Spine,2,16,Image 1,5,1,100000000,610000008419,
47,,Spine,2,15,Image 1,4,1,100000000,610000008420,
107,,Spine,2,15,Image 1,3,1,100000000,610000008421,
155,,Spine,2,15,Image 1,3,1,100000000,610000008422,
168,,Spine,2,11,Image 1,2,1,100000000,610000008423,
87,,Spine,2,12,Image 1,4,1,100000000,610000008425,
142,,Spine,2,11,Image 1,4,1,100000000,610000008426,
102,,Spine,2,17,Image 1,6,1,100000000,610000008427,
136,,Spine,2,17,Image 1,6,1,100000000,610000008428,
197,,Spine,2,15,Image 1,5,1,100000000,610000008429,
65,,Spine,2,13,Image 1,4,1,100000000,610000008430,
98,,Spine,2,14,Image 1,6,1,100000000,610000008431,
113,,Spine,2,12,Image 1,4,1,100000000,610000008432,
95,,Spine,2,11,Image 1,4,1,100000000,610000008433,
143,,Spine,2,11,Image 1,4,1,100000000,610000008434,
94,,Spine,2,10,Image 1,3,1,100000000,610000008435,
130,,Spine,2,7,Image 1,3,1,100000000,610000008436,
221,,Spine,2,5,Image 1,1,1,100000000,610000008437,
123,,Spine,2,5,Image 1,2,1,100000000,610000008438,
129,,Spine,2,3,Image 1,1,1,100000000,610000008439,
119,,Spine,2,3,Image 1,2,1,100000000,610000008440,
144,,Spine,2,2,Image 1,1,1,100000000,610000008441,
143,,Spine,2,4,Image 1,3,1,100000000,610000008442,
103,,Spine,2,3,Image 1,2,1,100000000,610000008443,
165,,Spine,2,3,Image 1,3,1,100000000,610000008444,
44,,Spine,2,2,Image 1,2,1,100000000,610000008445,
119,,Spine,2,1,Image 1,1,1,100000000,610000008446,
80,,Spine,2,18,Image 1,6,1,100000001,610000008447,
168,,Spine,2,15,Image 1,4,1,100000001,610000008448,
105,,Spine,2,15,Image 1,3,1,100000001,610000008449,
75,,Spine,2,11,Image 1,3,1,100000001,610000008450,
142,,Spine,2,9,Image 1,3,1,100000001,610000008451,
205,,Spine,2,8,Image 1,2,1,100000001,610000008452,
180,,Spine,2,8,Image 1,2,1,100000001,610000008453,
159,,Spine,2,8,Image 1,2,1,100000001,610000008454,
203,,Spine,2,6,Image 1,3,1,100000001,610000008455,
166,,Spine,2,6,Image 1,3,1,100000001,610000008456,
110,,Spine,2,5,Image 1,2,1,100000001,610000008457,
138,,Spine,2,5,Image 1,2,1,100000001,610000008458,
228,,Spine,2,5,Image 1,3,1,100000001,610000008459,
150,,Spine,2,3,Image 1,1,1,100000001,610000008460,
128,,Spine,2,2,Image 1,1,1,100000001,610000008461,
244,,Spine,2,10,Image 1,4,1,100000001,610000008462,
90,,Spine,2,9,Image 1,5,1,100000001,610000008463,
84,,Spine,2,7,Image 1,3,1,100000001,610000008464,
64,,Spine,2,7,Image 1,2,1,100000001,610000008465,
165,,Spine,2,10,Image 1,6,1,100000001,610000008466,
144,,Spine,2,8,Image 1,6,1,100000001,610000008467,
96,,Spine,2,7,Image 1,4,1,100000001,610000008468,
179,,Spine,2,7,Image 1,4,1,100000001,610000008469,
125,,Spine,2,6,Image 1,3,1,100000001,610000008470,
109,,Spine,2,2,Image 1,2,1,100000001,610000008471,
180,,Spine,2,2,Image 1,2,1,100000001,610000008472,
204,,Spine,2,2,Image 1,2,1,100000001,610000008473,
195,,Spine,2,1,Image 1,1,1,100000001,610000008474,
205,,Spine,2,3,Image 1,2,1,100000001,610000008475,
146,,Spine,2,2,Image 1,2,1,100000001,610000008476,
204,,Spine,2,0,Image 1,1,1,100000001,610000008477,
133,,Spine,2,6,Image 1,2,1,100000001,610000008478,
145,,Spine,2,6,Image 1,2,1,100000001,610000008479,
159,,Spine,2,7,Image 1,2,1,100000001,610000008480,
