
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.419958,µm,Spine,20,7,1,100000001,610000008137,
0.285048,µm,Spine,9,6,1,100000001,610000008140,
0.350275,µm,Spine,3,2,1,100000000,610000008142,
0.515018,µm,Spine,2,2,1,100000003,610000008144,
0.319184,µm,Spine,2,1,1,100000000,610000008148,
0.515746,µm,Spine,1,1,1,100000000,610000008150,
0.447254,µm,Spine,,,1,100000004,610000008155,
0.370327,µm,Spine,2,2,1,100000003,610000008158,
0.386083,µm,Spine,0,1,1,100000001,610000008161,
0.415697,µm,Spine,21,8,1,100000001,610000008164,
0.435834,µm,Spine,23,8,1,100000001,610000008167,
0.898626,µm,Spine,0,1,1,100000000,610000008170,
0.445592,µm,Spine,,,1,100000004,610000008173,
0.418006,µm,Spine,5,2,1,100000001,610000008177,
0.712045,µm,Spine,4,1,1,100000003,610000008179,
0.283342,µm,Spine,13,2,1,100000001,610000008182,
0.362582,µm,Spine,0,1,1,100000003,610000008185,
0.411772,µm,Spine,22,8,1,100000001,610000008189,
0.401846,µm,Spine,0,1,1,100000003,610000008195,
0.430218,µm,Spine,5,2,1,100000003,610000008197,
0.308268,µm,Spine,0,1,1,100000001,610000008199,
0.662987,µm,Spine,4,1,1,100000000,610000008204,
0.369237,µm,Spine,1,2,1,100000003,610000008210,
0.389191,µm,Spine,7,1,1,100000000,610000008212,
0.350251,µm,Spine,8,3,1,100000003,610000008215,
0.235474,µm,Spine,,,1,100000004,610000008218,
0.340309,µm,Spine,6,3,1,100000001,610000008221,
0.521312,µm,Spine,,,1,100000004,610000008224,
0.339913,µm,Spine,28,11,1,100000001,610000008226,
0.417442,µm,Spine,21,8,1,100000001,610000008240,
0.336197,µm,Spine,21,8,1,100000001,610000008247,
0.31504,µm,Spine,4,3,1,100000003,610000008250,
0.346577,µm,Spine,11,5,1,100000001,610000008258,
0.404693,µm,Spine,2,2,1,100000000,610000008262,
0.355625,µm,Spine,3,2,1,100000001,610000008268,
0.38817,µm,Spine,19,7,1,100000001,610000008270,
0.514226,µm,Spine,0,1,1,100000003,610000008274,
0.563698,µm,Spine,0,1,1,100000000,610000008279,
0.502996,µm,Spine,1,1,1,100000001,610000008283,
0.4875,µm,Spine,,,1,100000004,610000008286,
0.265851,µm,Spine,16,7,1,100000001,610000008288,
0.37079,µm,Spine,,,1,100000004,610000008292,
0.474466,µm,Spine,0,1,1,100000000,610000008296,
0.300291,µm,Spine,12,4,1,100000003,610000008298,
0.415697,µm,Spine,21,8,1,100000001,610000008300,
0.404981,µm,Spine,6,2,1,100000001,610000008303,
0.375209,µm,Spine,,,1,100000004,610000008308,
0.33581,µm,Spine,12,3,1,100000001,610000008310,
0.366864,µm,Spine,1,1,1,100000000,610000008314,
0.29917,µm,Spine,9,2,1,100000001,610000008316,
0.325,µm,Spine,3,2,1,100000000,610000008320,
0.462934,µm,Spine,4,2,1,100000001,610000008324,
0.379247,µm,Spine,4,3,1,100000000,610000008327,
0.295161,µm,Spine,6,3,1,100000001,610000008330,
0.331376,µm,Spine,5,2,1,100000003,610000008335,
0.398376,µm,Spine,2,1,1,100000000,610000008338,
0.371247,µm,Spine,,,1,100000004,610000008341,
0.359701,µm,Spine,4,3,1,100000000,610000008343,
0.451888,µm,Spine,,,1,100000004,610000008347,
0.370125,µm,Spine,7,1,1,100000000,610000008349,
0.494031,µm,Spine,1,1,1,100000000,610000008358,
0.425835,µm,Spine,21,8,1,100000001,610000008361,
0.535792,µm,Spine,2,1,1,100000000,610000008364,
0.357138,µm,Spine,1,1,1,100000003,610000008367,
0.350157,µm,Spine,2,3,1,100000001,610000008371,
0.517917,µm,Spine,2,1,1,100000000,610000008373,
0.446039,µm,Spine,,,1,100000004,610000008377,
0.355402,µm,Spine,2,1,1,100000003,610000008380,
0.262593,µm,Spine,13,2,1,100000001,610000008383,
0.643628,µm,Spine,0,1,1,100000000,610000008386,
0.401971,µm,Spine,21,8,1,100000001,610000008388,
0.298889,µm,Spine,,,1,100000004,610000008390,
0.408787,µm,Spine,4,2,1,100000000,610000008396,
0.494288,µm,Spine,0,1,1,100000000,610000008400,
0.511941,µm,Spine,0,1,1,100000000,610000008402,
0.607722,µm,Spine,0,1,1,100000000,610000008404,
0.33137,µm,Spine,9,2,1,100000001,610000008408,
0.262593,µm,Spine,13,2,1,100000001,610000008410,
0.440484,µm,Spine,0,1,1,100000003,610000008414,
0.570677,µm,Spine,5,1,1,100000000,610000008425,
0.413908,µm,Spine,1,2,1,100000003,610000008429,
0.362975,µm,Spine,0,1,1,100000003,610000008432,
0.356772,µm,Spine,,,1,100000004,610000008445,
0.380449,µm,Spine,3,1,1,100000000,610000008448,
0.509999,µm,Spine,4,2,1,100000000,610000008459,
0.895962,µm,Spine,0,1,1,100000003,610000008463,
0.414173,µm,Spine,1,1,1,100000001,610000008470,
0.281537,µm,Spine,9,3,1,100000003,610000008472,
0.463106,µm,Spine,5,2,1,100000001,610000008474,
0.550637,µm,Spine,0,1,1,100000003,610000008482,
0.418241,µm,Spine,5,2,1,100000001,610000008486,
0.460535,µm,Spine,0,1,1,100000000,610000008489,
0.379768,µm,Spine,2,2,1,100000003,610000008496,
0.394561,µm,Spine,,,1,100000004,610000008500,
0.401961,µm,Spine,,,1,100000004,610000008504,
0.343076,µm,Spine,12,3,1,100000001,610000008508,
0.499657,µm,Spine,0,1,1,100000000,610000008517,
0.316113,µm,Spine,5,2,1,100000003,610000008520,
0.40625,µm,Spine,7,2,1,100000000,610000008524,
0.303277,µm,Spine,0,1,1,100000003,610000008527,
0.289001,µm,Spine,,,1,100000004,610000008529,
0.339143,µm,Spine,6,2,1,100000001,610000008534,
0.282418,µm,Spine,4,3,1,100000003,610000008538,
0.400529,µm,Spine,0,1,1,100000003,610000008545,
0.335259,µm,Spine,12,4,1,100000003,610000008558,
0.384381,µm,Spine,7,4,1,100000001,610000008566,
0.305131,µm,Spine,0,1,1,100000001,610000008569,
0.680081,µm,Spine,0,1,1,100000003,610000008571,
