
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.654227,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008812,
0.873708,µm,Spine,Spine Part Mean Diameter,14,5,1,100000001,610000008814,
0.813466,µm,Spine,Spine Part Mean Diameter,14,7,1,100000001,610000008817,
0.82786,µm,Spine,Spine Part Mean Diameter,12,7,1,100000001,610000008824,
1.11679,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000008829,
0.866295,µm,Spine,Spine Part Mean Diameter,3,3,1,100000003,610000008834,
0.506185,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000008841,
1.19362,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000008843,
0.95083,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000008846,
1.04139,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008849,
1.29618,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008852,
1.13488,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000008859,
0.885476,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008865,
1.7714,µm,Spine,Spine Part Mean Diameter,5,2,1,100000001,610000008867,
1.32535,µm,Spine,Spine Part Mean Diameter,1,1,1,100000002,610000008869,
1.41772,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000008872,
1.36246,µm,Spine,Spine Part Mean Diameter,4,1,1,100000001,610000008877,
0.526701,µm,Spine,Spine Part Mean Diameter,14,6,1,100000001,610000008884,
1.09111,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000008895,
2.0609,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008907,
0.986716,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000008918,
1.13932,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000008921,
1.02684,µm,Spine,Spine Part Mean Diameter,4,3,1,100000003,610000008938,
0.709947,µm,Spine,Spine Part Mean Diameter,7,6,1,100000000,610000008993,
1.11467,µm,Spine,Spine Part Mean Diameter,7,5,1,100000000,610000008994,
0.904164,µm,Spine,Spine Part Mean Diameter,6,5,1,100000000,610000008995,
0.8245,µm,Spine,Spine Part Mean Diameter,6,4,1,100000000,610000008996,
0.961952,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000008997,
0.854961,µm,Spine,Spine Part Mean Diameter,10,2,1,100000000,610000008998,
0.879929,µm,Spine,Spine Part Mean Diameter,10,2,1,100000000,610000008999,
0.774612,µm,Spine,Spine Part Mean Diameter,10,2,1,100000000,610000009000,
1.1477,µm,Spine,Spine Part Mean Diameter,12,4,1,100000000,610000009001,
0.801045,µm,Spine,Spine Part Mean Diameter,11,3,1,100000000,610000009002,
0.852411,µm,Spine,Spine Part Mean Diameter,11,5,1,100000000,610000009003,
1.34101,µm,Spine,Spine Part Mean Diameter,7,2,1,100000000,610000009004,
1.24084,µm,Spine,Spine Part Mean Diameter,7,2,1,100000000,610000009005,
1.41687,µm,Spine,Spine Part Mean Diameter,5,2,1,100000000,610000009006,
0.896582,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000009007,
1.03135,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000009008,
1.70055,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000009009,
0.816567,µm,Spine,Spine Part Mean Diameter,15,6,1,100000001,610000009010,
